script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, intensityPlain, intensityCipher, intensityDecipher, entropyPlain, entropyCipher, entropyDecipher, diff_NPCRscore, diff_NPCRpval, diff_UACIscore, diff_UACIpval, corr_plain_H, corr_plain_V, corr_plain_D, corr_cipher_H, corr_cipher_V, corr_cipher_D, corr_decipher_H, corr_decipher_V, corr_decipher_D, corr_keySensCipher, corr_keySensDecipher  
[25-02-17 01.09.45.862],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F,512,512,1,3.674690,0.078608,0.023960,0.003364,0.000012,0.011088,0.000885,0.117985,0.074266,0.024017,0.003510,0.000015,0.011301,0.000975,0.114157,0.077206,0.025514,0.002914,0.000012,0.010714,0.000906,0.117339,0.083349,0.026853,0.003732,0.000018,0.012404,0.000879,0.127303,0.085272,0.026523,0.002993,0.000016,0.009818,0.000833,0.125513,4.294980,113.801506,127.294533,113.801506,5.705560,7.999338,7.999338,0.996189,0.783122,0.335300,0.150718,0.942777,0.933327,0.895389,0.010508,0.033658,-0.009336,0.942777,0.933327,0.895389,0.001235,0.000591 
[25-02-17 01.11.17.969],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDAD,512,512,1,3.612546,0.082254,0.024546,0.002495,0.000009,0.010065,0.000990,0.120409,0.076846,0.023795,0.002537,0.000010,0.010901,0.000983,0.115127,0.079861,0.024541,0.002499,0.000009,0.010413,0.001023,0.118404,0.090722,0.030651,0.004899,0.000013,0.012158,0.001395,0.139905,0.094383,0.030119,0.004546,0.000015,0.011830,0.001095,0.142065,4.264327,113.801506,127.455715,113.801506,5.705560,7.999301,7.999301,0.995907,0.062484,0.334636,0.999225,0.946674,0.927105,0.899138,-0.021376,0.009080,-0.009182,0.946674,0.927105,0.899138,-0.003148,-0.002095 
[25-02-17 01.12.50.114],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461,512,512,1,3.594175,0.078300,0.022976,0.002799,0.000012,0.010900,0.000817,0.115859,0.082664,0.025820,0.002930,0.000011,0.011142,0.000909,0.123532,0.075839,0.024164,0.002525,0.000009,0.010947,0.001060,0.114614,0.081889,0.026303,0.003523,0.000015,0.012059,0.000863,0.124710,0.083069,0.027313,0.003227,0.000012,0.010517,0.000813,0.125009,4.213602,113.801506,127.455120,113.801506,5.705560,7.999371,7.999371,0.995956,0.129828,0.334784,0.747034,0.936755,0.928949,0.891702,-0.011226,-0.015173,0.009260,0.936755,0.928949,0.891702,0.000190,0.001582 
[25-02-17 01.14.23.201],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03,512,512,1,3.650256,0.075056,0.023361,0.002956,0.000011,0.011067,0.001029,0.113534,0.076808,0.025591,0.003230,0.000012,0.010555,0.000860,0.117118,0.076565,0.023376,0.003716,0.000016,0.011219,0.001034,0.116000,0.087979,0.026717,0.002519,0.000010,0.011284,0.000887,0.129460,0.082791,0.025902,0.002505,0.000009,0.011437,0.001380,0.124086,4.268614,113.801506,127.326347,113.801506,5.705560,7.999280,7.999280,0.996098,0.512489,0.334312,0.483502,0.943481,0.925709,0.891322,0.025596,0.005730,0.011215,0.943481,0.925709,0.891322,0.001125,0.001241 
[25-02-17 01.15.56.330],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266,512,512,1,3.681082,0.092572,0.024669,0.002702,0.000010,0.012209,0.001077,0.133312,0.077448,0.023670,0.002784,0.000012,0.010060,0.000890,0.114928,0.074037,0.025393,0.003066,0.000015,0.010900,0.000774,0.114246,0.084242,0.026198,0.002932,0.000012,0.011344,0.000983,0.125780,0.082622,0.025277,0.002507,0.000009,0.012092,0.001099,0.123659,4.310046,113.801506,127.493858,113.801506,5.705560,7.999270,7.999270,0.996262,0.915851,0.334453,0.692561,0.938979,0.928834,0.899694,0.027713,0.012611,0.005703,0.938979,0.928834,0.899694,-0.000440,-0.001925 
[25-02-17 01.17.29.995],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C8243297,512,512,1,3.661760,0.077184,0.023961,0.004176,0.000022,0.011421,0.001015,0.117857,0.078841,0.023662,0.004220,0.000014,0.011996,0.001110,0.119915,0.079298,0.024811,0.003557,0.000012,0.010803,0.000769,0.119311,0.082737,0.026886,0.003327,0.000012,0.010566,0.000999,0.124592,0.082185,0.025956,0.002553,0.000010,0.011015,0.000917,0.122697,4.281421,113.801506,127.193001,113.801506,5.705560,7.999337,7.999337,0.996113,0.562203,0.335171,0.246132,0.938630,0.930379,0.901006,0.005247,0.010404,-0.014393,0.938630,0.930379,0.901006,0.000578,-0.003860 
[25-02-17 01.19.03.085],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B0,512,512,1,3.627591,0.075250,0.023590,0.002872,0.000012,0.011905,0.000842,0.114537,0.076010,0.026485,0.002610,0.000011,0.011720,0.000807,0.117700,0.081846,0.026118,0.002518,0.000009,0.011624,0.000836,0.123002,0.087434,0.025017,0.002545,0.000016,0.010935,0.000934,0.126938,0.097405,0.030994,0.002498,0.000010,0.011173,0.001057,0.143192,4.268444,113.801506,127.653561,113.801506,5.705560,7.999254,7.999254,0.996193,0.792204,0.334539,0.835557,0.940095,0.919939,0.899995,-0.012621,-0.000354,0.026025,0.940095,0.919939,0.899995,-0.001051,-0.002467 
[25-02-17 01.20.37.556],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3,512,512,1,3.621848,0.084805,0.025432,0.002560,0.000012,0.010480,0.000752,0.124094,0.077338,0.026316,0.002932,0.000012,0.011090,0.000940,0.118692,0.081230,0.028454,0.002792,0.000010,0.011078,0.000981,0.124601,0.083330,0.031291,0.003515,0.000012,0.010319,0.000893,0.129423,0.082345,0.028946,0.002661,0.000011,0.012265,0.001096,0.127387,4.261698,113.801506,127.521500,113.801506,5.705560,7.999230,7.999230,0.996178,0.754540,0.334884,0.590557,0.939567,0.929485,0.895619,0.029194,0.006262,-0.000268,0.939567,0.929485,0.895619,-0.001418,0.003082 
[25-02-17 01.22.12.270],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1,512,512,1,3.641357,0.074721,0.026909,0.003541,0.000012,0.010129,0.001023,0.116403,0.080373,0.027765,0.003385,0.000018,0.012339,0.000836,0.124788,0.075125,0.025494,0.002506,0.000010,0.012584,0.000737,0.116512,0.083571,0.028543,0.002498,0.000010,0.011869,0.000911,0.127469,0.093179,0.027390,0.002793,0.000012,0.011293,0.000982,0.135709,4.279153,113.801506,127.596886,113.801506,5.705560,7.999399,7.999399,0.995804,0.008664,0.333481,0.012524,0.941230,0.926739,0.893987,-0.006229,0.015877,-0.000336,0.941230,0.926739,0.893987,0.000790,0.001147 
[25-02-17 01.23.46.065],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A,512,512,1,3.667013,0.075739,0.023427,0.002837,0.000020,0.011637,0.001040,0.114776,0.074647,0.025955,0.002873,0.000011,0.010544,0.001010,0.115102,0.078143,0.023813,0.002577,0.000018,0.011319,0.000827,0.116757,0.083228,0.026116,0.003221,0.000012,0.010137,0.001002,0.123775,0.085773,0.027114,0.002953,0.000011,0.010522,0.000931,0.127369,4.281521,113.801506,127.393398,113.801506,5.705560,7.999256,7.999256,0.996216,0.841818,0.335078,0.338433,0.939643,0.929154,0.899117,0.002379,0.020426,-0.021836,0.939643,0.929154,0.899117,-0.002371,0.000544 
