script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, intensityPlain, intensityCipher, intensityDecipher, entropyPlain, entropyCipher, entropyDecipher, diff_NPCRscore, diff_NPCRpval, diff_UACIscore, diff_UACIpval, corr_plain_H, corr_plain_V, corr_plain_D, corr_cipher_H, corr_cipher_V, corr_cipher_D, corr_decipher_H, corr_decipher_V, corr_decipher_D, corr_keySensCipher, corr_keySensDecipher  
[26-02-17 21.58.46.830],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F,512,512,1,4.191378,0.100544,0.034231,0.004101,0.000022,0.014667,0.000649,0.154303,0.099191,0.031477,0.002873,0.000012,0.011374,0.000551,0.145549,0.092208,0.029777,0.004202,0.000017,0.012355,0.001445,0.140085,0.101283,0.029931,0.003214,0.000012,0.011779,0.000733,0.147031,0.098505,0.043377,0.004125,0.000020,0.015030,0.001042,0.162181,4.960827,129.707966,127.607372,129.707966,7.191370,7.999248,7.999248,0.996189,0.783122,0.334976,0.461084,0.936272,0.969555,0.929343,0.011993,-0.004193,0.003844,0.936272,0.969555,0.929343,0.000375,-0.001846 
[26-02-17 22.00.17.063],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDAD,512,512,1,3.708667,0.077049,0.024341,0.002751,0.000015,0.010612,0.000599,0.115435,0.079352,0.025555,0.003089,0.000012,0.010386,0.000715,0.119169,0.080966,0.025412,0.002536,0.000009,0.010385,0.000659,0.120027,0.087830,0.027737,0.004465,0.000017,0.010434,0.000751,0.131299,0.082346,0.031219,0.002663,0.000011,0.010747,0.000580,0.127621,4.340322,129.707966,127.589645,129.707966,7.191370,7.999294,7.999294,0.995907,0.062484,0.334856,0.632890,0.931933,0.972773,0.916782,-0.009753,-0.017913,-0.006014,0.931933,0.972773,0.916782,-0.002562,-0.002450 
[26-02-17 22.01.40.255],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461,512,512,1,3.591585,0.080349,0.024441,0.002800,0.000012,0.010528,0.000549,0.118744,0.083664,0.026927,0.003947,0.000017,0.010610,0.001158,0.126401,0.075534,0.026800,0.002505,0.000009,0.010739,0.000532,0.116173,0.082414,0.026335,0.002778,0.000014,0.010369,0.000586,0.122558,0.087019,0.027475,0.002852,0.000012,0.010295,0.000740,0.128455,4.222826,129.707966,127.746803,129.707966,7.191370,7.999367,7.999367,0.995956,0.129828,0.335038,0.383363,0.937857,0.972293,0.921515,-0.006039,0.006455,0.022015,0.937857,0.972293,0.921515,0.000299,-0.000950 
[26-02-17 22.03.02.987],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03,512,512,1,3.696140,0.081182,0.027061,0.004349,0.000013,0.012762,0.001632,0.127075,0.083674,0.026521,0.003460,0.000017,0.010311,0.000592,0.124639,0.082674,0.024224,0.003218,0.000015,0.011054,0.000556,0.121816,0.084557,0.026621,0.002796,0.000010,0.010968,0.000789,0.125789,0.087648,0.025982,0.003896,0.000012,0.010379,0.000567,0.128544,4.341481,129.707966,127.340443,129.707966,7.191370,7.999314,7.999314,0.996098,0.512489,0.334500,0.768904,0.937478,0.974118,0.922051,0.003435,-0.008611,0.004192,0.937478,0.974118,0.922051,0.002921,-0.000117 
[26-02-17 22.04.25.418],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266,512,512,1,3.719297,0.074246,0.026079,0.003449,0.000012,0.011129,0.000616,0.115592,0.073933,0.025670,0.003278,0.000012,0.010212,0.001079,0.114256,0.075505,0.027782,0.002506,0.000009,0.011112,0.000580,0.117551,0.078623,0.027252,0.002524,0.000011,0.011131,0.000762,0.120354,0.092300,0.032948,0.002979,0.000011,0.011660,0.000839,0.140800,4.343762,129.707966,127.341251,129.707966,7.191370,7.999285,7.999285,0.996262,0.915851,0.334229,0.379700,0.943734,0.970013,0.920123,-0.002791,0.002124,-0.011017,0.943734,0.970013,0.920123,-0.001143,-0.000252 
[26-02-17 22.05.48.661],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C8243297,512,512,1,3.586992,0.085074,0.025545,0.003097,0.000012,0.010196,0.000760,0.124758,0.078027,0.026732,0.002615,0.000009,0.010919,0.000599,0.118949,0.075252,0.025942,0.002534,0.000009,0.010869,0.000553,0.115219,0.087094,0.028866,0.002585,0.000012,0.011310,0.001484,0.131424,0.086676,0.024749,0.002504,0.000009,0.011203,0.000576,0.125771,4.221314,129.707966,127.429073,129.707966,7.191370,7.999309,7.999309,0.996113,0.562203,0.334914,0.546922,0.941275,0.969738,0.925290,-0.016975,0.003384,-0.016909,0.941275,0.969738,0.925290,-0.004116,-0.002234 
[26-02-17 22.07.10.611],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B0,512,512,1,3.595353,0.080860,0.024776,0.002561,0.000016,0.013390,0.000618,0.122279,0.081719,0.026849,0.003184,0.000012,0.011973,0.000768,0.124579,0.078886,0.026478,0.002630,0.000012,0.011262,0.000866,0.120189,0.085471,0.026951,0.003499,0.000012,0.011229,0.000722,0.127946,0.081505,0.027242,0.002546,0.000008,0.011623,0.000568,0.123553,4.231793,129.707966,127.529068,129.707966,7.191370,7.999307,7.999307,0.996193,0.792204,0.335038,0.383610,0.937537,0.972813,0.924088,-0.010659,0.010135,0.009351,0.937537,0.972813,0.924088,-0.000806,-0.001078 
[26-02-17 22.08.32.255],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3,512,512,1,3.583951,0.081295,0.026754,0.002541,0.000010,0.011333,0.000634,0.122623,0.077089,0.027485,0.003698,0.000012,0.010528,0.000930,0.119810,0.081135,0.027221,0.003023,0.000012,0.010613,0.000842,0.122912,0.085825,0.027471,0.002726,0.000011,0.011342,0.000638,0.128078,0.086377,0.031937,0.003328,0.000025,0.011707,0.000600,0.134053,4.229196,129.707966,127.299198,129.707966,7.191370,7.999284,7.999284,0.996178,0.754540,0.334982,0.452995,0.947550,0.970382,0.920628,0.010469,-0.010095,0.012704,0.947550,0.970382,0.920628,0.003064,0.001895 
[26-02-17 22.09.54.629],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1,512,512,1,3.607675,0.082701,0.026732,0.004362,0.000018,0.011711,0.000597,0.126189,0.076455,0.025890,0.002553,0.000011,0.010516,0.000551,0.116027,0.082307,0.025266,0.003454,0.000015,0.010019,0.000739,0.121866,0.088283,0.026539,0.002514,0.000009,0.011048,0.000951,0.129405,0.081259,0.027581,0.003151,0.000010,0.011029,0.000561,0.123652,4.243797,129.707966,127.680683,129.707966,7.191370,7.999214,7.999214,0.995804,0.008664,0.333873,0.098926,0.932530,0.971598,0.926795,-0.007429,-0.015251,-0.015116,0.932530,0.971598,0.926795,-0.000324,-0.001507 
[26-02-17 22.11.16.972],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A,512,512,1,3.593677,0.084759,0.027691,0.003590,0.000015,0.012178,0.000560,0.128854,0.083545,0.026496,0.002943,0.000010,0.011782,0.001066,0.125915,0.078257,0.026516,0.003771,0.000014,0.011124,0.000706,0.120456,0.085578,0.027131,0.003226,0.000015,0.011154,0.001029,0.128204,0.086580,0.028104,0.004438,0.000018,0.011383,0.000703,0.131298,4.247120,129.707966,127.425308,129.707966,7.191370,7.999214,7.999214,0.996216,0.841818,0.335135,0.280138,0.934681,0.972376,0.924389,-0.012656,0.025427,-0.005660,0.934681,0.972376,0.924389,-0.001653,-0.000642 
