script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, intensityPlain, intensityCipher, intensityDecipher, entropyPlain, entropyCipher, entropyDecipher, diff_NPCRscore, diff_NPCRpval, diff_UACIscore, diff_UACIpval, corr_plain_H, corr_plain_V, corr_plain_D, corr_cipher_H, corr_cipher_V, corr_cipher_D, corr_decipher_H, corr_decipher_V, corr_decipher_D, corr_keySensCipher, corr_keySensDecipher  
[27-02-17 00.17.25.602],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F,512,512,1,3.597991,0.064280,0.022391,0.002792,0.000011,0.011225,0.000742,0.101499,0.065492,0.023113,0.002988,0.000010,0.012065,0.001327,0.105070,0.072291,0.022004,0.002917,0.000019,0.012750,0.000946,0.111006,0.083402,0.027723,0.004470,0.000013,0.012051,0.000893,0.128626,0.082896,0.027522,0.002479,0.000010,0.010474,0.000838,0.124272,4.186044,127.038322,127.631836,127.038322,4.392295,7.999296,7.999296,0.996189,0.783122,0.335202,0.220166,0.997482,0.999856,0.995150,0.015705,0.002438,0.009527,0.997482,0.999856,0.995150,0.001141,0.001555 
[27-02-17 00.18.48.538],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDAD,512,512,1,3.607482,0.065892,0.022316,0.002918,0.000010,0.010085,0.000993,0.102282,0.069725,0.022001,0.002750,0.000011,0.011494,0.000741,0.106780,0.063802,0.020919,0.002757,0.000012,0.012470,0.000869,0.100897,0.083806,0.027098,0.004250,0.000016,0.010910,0.000658,0.126811,0.084694,0.028834,0.003170,0.000018,0.010843,0.000857,0.128482,4.192938,127.038322,127.420940,127.038322,4.392295,7.999277,7.999277,0.995907,0.062484,0.335203,0.219484,0.995862,0.999862,0.997519,-0.019431,-0.016137,0.000092,0.995862,0.999862,0.997519,-0.003370,-0.003083 
[27-02-17 00.20.12.296],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461,512,512,1,3.616303,0.061672,0.021431,0.002819,0.000015,0.010860,0.000835,0.097691,0.063566,0.020274,0.002497,0.000009,0.011309,0.000722,0.098429,0.066296,0.020666,0.003742,0.000012,0.011832,0.000715,0.103321,0.086664,0.025731,0.003898,0.000017,0.012451,0.000836,0.129668,0.081232,0.025285,0.003664,0.000015,0.012105,0.000719,0.123086,4.185592,127.038322,127.566448,127.038322,4.392295,7.999343,7.999343,0.995956,0.129828,0.334742,0.817077,0.996611,0.999876,0.994789,-0.009196,0.002205,0.028813,0.996611,0.999876,0.994789,0.002396,0.001132 
[27-02-17 00.21.35.380],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03,512,512,1,3.606649,0.058858,0.020687,0.002529,0.000009,0.010775,0.001186,0.094100,0.065450,0.023558,0.002571,0.000013,0.011644,0.000733,0.104027,0.070343,0.021608,0.002530,0.000011,0.011454,0.000774,0.106788,0.089738,0.027307,0.003239,0.000012,0.010633,0.000913,0.131908,0.092018,0.026096,0.002851,0.000012,0.010872,0.000975,0.132887,4.192706,127.038322,127.554871,127.038322,4.392295,7.999064,7.999064,0.996098,0.512489,0.334428,0.654191,0.995939,0.999825,0.997595,0.023582,0.001107,-0.009345,0.995939,0.999825,0.997595,0.000411,0.000173 
[27-02-17 00.22.58.719],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266,512,512,1,3.700388,0.065351,0.022501,0.002550,0.000010,0.010535,0.000768,0.101780,0.061395,0.021636,0.003759,0.000012,0.012889,0.001235,0.101004,0.067461,0.022232,0.003066,0.000012,0.010910,0.000688,0.104433,0.086283,0.028854,0.003138,0.000015,0.010879,0.000683,0.129907,0.080441,0.032286,0.004320,0.000018,0.012524,0.000969,0.130630,4.285390,127.038322,127.260178,127.038322,4.392295,7.999259,7.999259,0.996262,0.915851,0.334420,0.641626,0.995431,0.999838,0.996249,0.028581,-0.004933,-0.011388,0.995431,0.999838,0.996249,0.000240,0.000288 
[27-02-17 00.24.22.472],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C8243297,512,512,1,3.610294,0.064736,0.020116,0.004477,0.000015,0.012518,0.001150,0.103080,0.067677,0.021047,0.004439,0.000014,0.010787,0.000712,0.104734,0.061341,0.020994,0.002512,0.000010,0.010538,0.000775,0.096231,0.084852,0.026769,0.002743,0.000015,0.011508,0.000674,0.126627,0.093751,0.027939,0.004089,0.000017,0.012229,0.000859,0.138969,4.198244,127.038322,127.696037,127.038322,4.392295,7.999180,7.999180,0.996113,0.562203,0.335295,0.153319,0.995742,0.999840,0.997422,0.010630,0.015156,-0.018032,0.995742,0.999840,0.997422,-0.002117,-0.001719 
[27-02-17 00.25.46.348],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B0,512,512,1,3.610847,0.068710,0.023163,0.002810,0.000011,0.010739,0.000655,0.106151,0.063635,0.022354,0.002537,0.000009,0.011703,0.000653,0.100946,0.063522,0.022312,0.002805,0.000015,0.010982,0.001144,0.100849,0.083714,0.027832,0.002567,0.000010,0.011103,0.000734,0.126011,0.083109,0.027002,0.002566,0.000010,0.010551,0.000756,0.124047,4.185427,127.038322,127.466740,127.038322,4.392295,7.999297,7.999297,0.996193,0.792204,0.334847,0.647849,0.998466,0.999872,0.995714,-0.006724,0.017656,0.008460,0.998466,0.999872,0.995714,-0.002145,-0.003684 
[27-02-17 00.27.10.394],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3,512,512,1,3.608798,0.071386,0.020819,0.003406,0.000012,0.010487,0.000921,0.107093,0.064819,0.020287,0.002495,0.000010,0.011652,0.000839,0.100166,0.064785,0.020754,0.002571,0.000010,0.010526,0.000830,0.099527,0.086120,0.026945,0.002565,0.000010,0.010861,0.000786,0.127345,0.082595,0.028036,0.003044,0.000012,0.011096,0.000733,0.125581,4.185254,127.038322,127.497169,127.038322,4.392295,7.999316,7.999316,0.996178,0.754540,0.334682,0.919045,0.997003,0.999847,0.995031,0.032762,0.014347,0.005460,0.997003,0.999847,0.995031,0.000023,-0.001147 
[27-02-17 00.28.35.106],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1,512,512,1,3.602184,0.068365,0.022997,0.002809,0.000010,0.011143,0.000739,0.106127,0.076074,0.021814,0.002500,0.000009,0.012072,0.001522,0.114061,0.065119,0.022155,0.002513,0.000009,0.011047,0.000853,0.101750,0.086980,0.028098,0.003382,0.000014,0.013327,0.000827,0.132702,0.076841,0.028318,0.002535,0.000011,0.010856,0.000916,0.119551,4.194720,127.038322,127.600151,127.038322,4.392295,7.999272,7.999272,0.995804,0.008664,0.333917,0.119904,0.997067,0.999846,0.996490,-0.011575,-0.015761,0.004755,0.997067,0.999846,0.996490,-0.000475,0.000092 
[27-02-17 00.29.58.566],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A,512,512,1,3.598844,0.062956,0.021298,0.002887,0.000012,0.010222,0.000718,0.098157,0.066403,0.022402,0.002494,0.000009,0.011073,0.000906,0.103342,0.065183,0.023174,0.002964,0.000013,0.011771,0.000721,0.103892,0.086154,0.026713,0.004352,0.000016,0.010663,0.000706,0.128677,0.085701,0.026156,0.002825,0.000012,0.010859,0.000854,0.126465,4.175597,127.038322,127.462841,127.038322,4.392295,7.999338,7.999338,0.996216,0.841818,0.335602,0.036467,0.997049,0.999869,0.996575,-0.005427,0.003041,-0.019473,0.997049,0.999869,0.996575,0.000408,-0.000628 
