script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, intensityPlain, intensityCipher, intensityDecipher, entropyPlain, entropyCipher, entropyDecipher, diff_NPCRscore, diff_NPCRpval, diff_UACIscore, diff_UACIpval, corr_plain_H, corr_plain_V, corr_plain_D, corr_cipher_H, corr_cipher_V, corr_cipher_D, corr_decipher_H, corr_decipher_V, corr_decipher_D, corr_keySensCipher, corr_keySensDecipher  
[27-02-17 04.15.45.132],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F,512,512,1,3.713746,0.091998,0.033127,0.003238,0.000012,0.015993,0.001259,0.145694,0.087291,0.028701,0.002527,0.000009,0.011210,0.000934,0.130724,0.083368,0.026803,0.004211,0.000017,0.011428,0.001233,0.127121,0.090397,0.030672,0.004216,0.000020,0.011765,0.001335,0.138485,0.083070,0.025361,0.002829,0.000011,0.010834,0.001233,0.123398,4.395544,103.519405,127.284702,103.519405,7.729247,7.999331,7.999331,0.996189,0.783122,0.335536,0.051271,0.743661,0.703792,0.640166,-0.000779,-0.009335,0.003374,0.743661,0.703792,0.640166,0.001988,0.000178 
[27-02-17 04.17.15.213],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDAD,512,512,1,3.829341,0.089096,0.032101,0.003549,0.000012,0.010952,0.001366,0.137141,0.077517,0.026036,0.002571,0.000011,0.011541,0.001097,0.118832,0.075139,0.032810,0.004428,0.000017,0.012365,0.001379,0.126220,0.087812,0.025646,0.002498,0.000009,0.011937,0.001152,0.129110,0.089936,0.027116,0.003180,0.000016,0.011011,0.000964,0.132287,4.491291,103.519405,127.664436,103.519405,7.729247,7.999279,7.999279,0.995907,0.062484,0.335131,0.283729,0.735192,0.731918,0.636523,-0.004265,-0.007346,-0.009229,0.735192,0.731918,0.636523,-0.002423,-0.001464 
[27-02-17 04.18.45.901],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461,512,512,1,3.720915,0.078182,0.025775,0.002973,0.000012,0.011073,0.000861,0.118944,0.079385,0.025651,0.002515,0.000009,0.011755,0.001111,0.120485,0.075039,0.025175,0.003502,0.000012,0.010931,0.001141,0.115868,0.087226,0.027473,0.004284,0.000017,0.011440,0.001039,0.131551,0.089985,0.030248,0.002521,0.000010,0.011588,0.001207,0.135623,4.359886,103.519405,127.578171,103.519405,7.729247,7.999305,7.999305,0.995956,0.129828,0.335556,0.046450,0.733153,0.698936,0.597013,0.003766,0.001724,0.037051,0.733153,0.698936,0.597013,-0.000233,0.001336 
[27-02-17 04.20.16.761],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03,512,512,1,3.810169,0.080563,0.025620,0.002512,0.000009,0.011218,0.000969,0.120946,0.078508,0.025191,0.003514,0.000012,0.010763,0.001084,0.119134,0.078218,0.026315,0.003379,0.000012,0.010897,0.001186,0.120091,0.091276,0.025277,0.003528,0.000013,0.011042,0.001243,0.132456,0.083250,0.027380,0.002785,0.000012,0.011193,0.001222,0.125894,4.445811,103.519405,127.436527,103.519405,7.729247,7.999298,7.999298,0.996098,0.512489,0.334322,0.497346,0.750705,0.719460,0.661263,0.012516,0.008155,0.015651,0.750705,0.719460,0.661263,0.003062,0.002940 
[27-02-17 04.21.46.522],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266,512,512,1,3.802307,0.081430,0.025868,0.002838,0.000011,0.010219,0.001009,0.121444,0.077444,0.025110,0.003163,0.000013,0.010999,0.001112,0.117917,0.076100,0.026677,0.002793,0.000011,0.011090,0.001483,0.118224,0.089914,0.027096,0.004176,0.000017,0.012300,0.001525,0.135108,0.089349,0.026221,0.003277,0.000012,0.011671,0.001268,0.131861,4.444711,103.519405,127.552708,103.519405,7.729247,7.999357,7.999357,0.996262,0.915851,0.334095,0.241861,0.755372,0.693100,0.643590,0.019644,0.021778,0.001573,0.755372,0.693100,0.643590,-0.001948,0.002218 
[27-02-17 04.23.17.381],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C8243297,512,512,1,3.796564,0.075438,0.024581,0.003302,0.000015,0.011839,0.001177,0.116415,0.079697,0.026088,0.002535,0.000010,0.011286,0.000917,0.120588,0.071388,0.025756,0.004255,0.000018,0.010989,0.001153,0.113624,0.087063,0.028344,0.002512,0.000009,0.011186,0.001166,0.130344,0.088491,0.026522,0.003309,0.000015,0.011222,0.001166,0.130803,4.424587,103.519405,127.294804,103.519405,7.729247,7.999295,7.999295,0.996113,0.562203,0.334419,0.639194,0.721656,0.705796,0.607827,0.001682,0.011778,-0.003502,0.721656,0.705796,0.607827,-0.003508,-0.002960 
[27-02-17 04.24.46.978],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B0,512,512,1,3.675458,0.078854,0.026569,0.002951,0.000010,0.010777,0.000865,0.120088,0.074766,0.026375,0.002668,0.000017,0.012771,0.000896,0.117546,0.077408,0.027213,0.002712,0.000009,0.011618,0.001175,0.120190,0.082579,0.028152,0.002514,0.000010,0.011043,0.000998,0.125341,0.090495,0.031700,0.004513,0.000015,0.012271,0.001548,0.140609,4.314104,103.519405,127.433350,103.519405,7.729247,7.999376,7.999376,0.996193,0.792204,0.334713,0.866003,0.755993,0.707594,0.641188,-0.002370,0.024805,-0.013055,0.755993,0.707594,0.641188,-0.000329,-0.003397 
[27-02-17 04.26.18.660],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3,512,512,1,3.773428,0.082851,0.026566,0.002521,0.000011,0.010996,0.000916,0.123909,0.081662,0.026098,0.002510,0.000009,0.011905,0.001090,0.123336,0.075035,0.025775,0.002520,0.000011,0.012258,0.001236,0.116895,0.086490,0.029636,0.002714,0.000010,0.009921,0.001103,0.129931,0.089984,0.026107,0.002756,0.000013,0.010962,0.000882,0.130764,4.414994,103.519405,127.701389,103.519405,7.729247,7.999280,7.999280,0.996178,0.754540,0.334576,0.897700,0.724606,0.713673,0.595418,0.000886,0.005426,0.009849,0.724606,0.713673,0.595418,0.000889,-0.000397 
[27-02-17 04.27.48.587],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1,512,512,1,3.660421,0.082419,0.025051,0.002652,0.000012,0.011564,0.001139,0.122898,0.088125,0.027137,0.003314,0.000013,0.010420,0.001173,0.130244,0.080328,0.026332,0.002536,0.000012,0.011834,0.000851,0.121947,0.089232,0.028721,0.003499,0.000012,0.011655,0.001098,0.134283,0.092725,0.025613,0.002781,0.000017,0.011880,0.001042,0.134119,4.321181,103.519405,127.461765,103.519405,7.729247,7.999307,7.999307,0.995804,0.008664,0.334053,0.207654,0.743074,0.744567,0.630160,-0.007735,-0.014595,-0.015612,0.743074,0.744567,0.630160,0.000128,0.001822 
[27-02-17 04.29.20.991],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A,512,512,1,3.746707,0.076614,0.025172,0.004173,0.000016,0.010763,0.001724,0.118532,0.082311,0.026790,0.002842,0.000010,0.010914,0.001194,0.124124,0.073202,0.026703,0.002881,0.000017,0.011325,0.001293,0.115481,0.092028,0.026003,0.004296,0.000012,0.011277,0.000870,0.134550,0.090402,0.028070,0.002509,0.000009,0.011317,0.001077,0.133447,4.388553,103.519405,127.634956,103.519405,7.729247,7.999231,7.999231,0.996216,0.841818,0.335288,0.157984,0.756188,0.742789,0.634422,-0.006685,0.026638,-0.008853,0.756188,0.742789,0.634422,-0.001858,-0.001515 
