script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, intensityPlain, intensityCipher, intensityDecipher, entropyPlain, entropyCipher, entropyDecipher, diff_NPCRscore, diff_NPCRpval, diff_UACIscore, diff_UACIpval, corr_plain_H, corr_plain_V, corr_plain_D, corr_cipher_H, corr_cipher_V, corr_cipher_D, corr_decipher_H, corr_decipher_V, corr_decipher_D, corr_keySensCipher, corr_keySensDecipher  
[27-02-17 05.30.07.839],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F,512,512,1,3.691241,0.067497,0.022301,0.002508,0.000010,0.011370,0.001622,0.105369,0.067267,0.022055,0.002856,0.000016,0.011312,0.000982,0.104544,0.076529,0.021955,0.002709,0.000013,0.010342,0.001129,0.112737,0.085080,0.028143,0.002733,0.000010,0.010614,0.001276,0.127924,0.088304,0.030859,0.002763,0.000015,0.011395,0.001279,0.134682,4.292977,226.940117,128.000221,226.940117,0.500033,7.999320,7.999320,0.996189,0.783122,0.334952,0.493763,0.427305,0.491782,-0.025049,0.005645,0.011243,-0.013354,0.427305,0.491782,-0.025049,0.000954,0.001158 
[27-02-17 05.31.35.851],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDAD,512,512,1,3.798440,0.068088,0.021749,0.003801,0.000015,0.010735,0.001213,0.105661,0.075429,0.025004,0.003802,0.000017,0.011928,0.000978,0.117227,0.068283,0.022122,0.003165,0.000016,0.011748,0.001210,0.106617,0.083032,0.027746,0.003780,0.000018,0.012730,0.001707,0.129097,0.088545,0.025742,0.003123,0.000015,0.011429,0.001194,0.130117,4.406574,226.940117,127.301632,226.940117,0.500033,7.999293,7.999293,0.995907,0.062484,0.334723,0.848926,0.473736,0.448515,-0.018205,-0.026510,-0.007671,0.002503,0.473736,0.448515,-0.018205,0.001071,-0.003965 
[27-02-17 05.33.03.481],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461,512,512,1,3.784862,0.068869,0.022932,0.004158,0.000018,0.010555,0.001314,0.107921,0.071789,0.020837,0.004299,0.000019,0.012344,0.001428,0.110795,0.068662,0.020932,0.002702,0.000010,0.011230,0.001213,0.104886,0.084742,0.028705,0.002748,0.000010,0.011283,0.001209,0.128760,0.089548,0.027545,0.002536,0.000010,0.011144,0.001101,0.131939,4.386755,226.940117,127.802105,226.940117,0.500033,7.999308,7.999308,0.995956,0.129828,0.335165,0.251939,0.414052,0.467368,-0.028196,-0.031421,-0.010894,0.001965,0.414052,0.467368,-0.028196,0.001605,0.000773 
[27-02-17 05.34.31.765],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03,512,512,1,3.693245,0.070671,0.022079,0.002766,0.000014,0.011306,0.000965,0.107858,0.068987,0.023985,0.002728,0.000012,0.011277,0.000988,0.108029,0.067594,0.020006,0.002517,0.000010,0.011004,0.001058,0.102238,0.089257,0.033972,0.002895,0.000012,0.012659,0.001316,0.140167,0.087457,0.032156,0.003381,0.000015,0.010933,0.000995,0.135004,4.302372,226.940117,127.329651,226.940117,0.500033,7.999254,7.999254,0.996098,0.512489,0.334449,0.686243,0.415694,0.401819,-0.039295,0.009335,-0.023415,-0.000883,0.415694,0.401819,-0.039295,0.000221,0.001389 
[27-02-17 05.35.59.253],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266,512,512,1,3.694654,0.071794,0.021190,0.002708,0.000017,0.011067,0.001212,0.108059,0.082118,0.021612,0.003127,0.000016,0.012536,0.000962,0.120436,0.073770,0.022840,0.002620,0.000011,0.011149,0.001216,0.111662,0.091732,0.028269,0.002952,0.000012,0.010669,0.001034,0.134739,0.093047,0.026894,0.002783,0.000012,0.010691,0.001270,0.134759,4.320603,226.940117,127.246727,226.940117,0.500033,7.999199,7.999199,0.996262,0.915851,0.334257,0.412664,0.442564,0.453462,-0.012777,0.017164,0.001726,-0.008204,0.442564,0.453462,-0.012777,0.001597,0.002119 
[27-02-17 05.37.27.048],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C8243297,512,512,1,3.708596,0.069535,0.023759,0.002967,0.000012,0.010652,0.001310,0.108314,0.070850,0.023114,0.002865,0.000010,0.011853,0.001004,0.109748,0.067356,0.021464,0.002536,0.000010,0.012403,0.001118,0.104953,0.086688,0.027953,0.002915,0.000009,0.011112,0.001454,0.130191,0.084816,0.031477,0.002585,0.000011,0.012724,0.000993,0.132667,4.309977,226.940117,127.428932,226.940117,0.500033,7.999278,7.999278,0.996113,0.562203,0.334539,0.834395,0.463854,0.439426,-0.026167,-0.002517,0.000906,-0.018813,0.463854,0.439426,-0.026167,-0.002670,-0.001965 
[27-02-17 05.38.54.353],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B0,512,512,1,3.781672,0.073130,0.022008,0.002789,0.000011,0.011092,0.001267,0.110358,0.070845,0.022705,0.002496,0.000009,0.011634,0.000972,0.108708,0.068303,0.021591,0.002503,0.000010,0.011431,0.001029,0.104914,0.088188,0.026762,0.002681,0.000016,0.011079,0.001104,0.129884,0.093861,0.027597,0.003677,0.000011,0.011079,0.001273,0.137562,4.388958,226.940117,127.201427,226.940117,0.500033,7.999447,7.999447,0.996193,0.792204,0.334740,0.821707,0.484178,0.438505,-0.008518,-0.009507,0.012190,-0.010209,0.484178,0.438505,-0.008518,-0.003731,-0.000548 
[27-02-17 05.40.23.757],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3,512,512,1,4.512570,0.076572,0.023647,0.003229,0.000012,0.011569,0.000998,0.116091,0.070705,0.021247,0.002522,0.000010,0.011066,0.001152,0.106754,0.072781,0.022185,0.002757,0.000010,0.010979,0.001217,0.110000,0.086717,0.027376,0.004014,0.000016,0.011320,0.001105,0.130627,0.092089,0.027412,0.003139,0.000012,0.011004,0.001263,0.134980,5.128260,226.940117,127.453033,226.940117,0.500033,7.999367,7.999367,0.996178,0.754540,0.334246,0.399189,0.479487,0.467233,-0.042045,0.002542,-0.004079,0.000402,0.479487,0.467233,-0.042045,-0.000661,0.001530 
[27-02-17 05.41.52.001],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1,512,512,1,3.776263,0.072749,0.020456,0.002575,0.000013,0.011218,0.001248,0.108326,0.066417,0.022823,0.002510,0.000010,0.011122,0.001148,0.104089,0.073030,0.020633,0.003269,0.000012,0.011124,0.001252,0.109380,0.090334,0.026783,0.002531,0.000010,0.012399,0.001305,0.133410,0.097069,0.025929,0.003307,0.000019,0.011432,0.000999,0.138821,4.387324,226.940117,127.571480,226.940117,0.500033,7.999325,7.999325,0.995804,0.008664,0.333975,0.153049,0.443462,0.475965,-0.025019,-0.008993,-0.010186,-0.000860,0.443462,0.475965,-0.025019,-0.000466,-0.000670 
[27-02-17 05.43.22.317],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A,512,512,1,3.782519,0.070555,0.021071,0.003262,0.000017,0.012220,0.001411,0.108617,0.074312,0.023245,0.002560,0.000010,0.011475,0.001150,0.112814,0.079497,0.024626,0.003124,0.000013,0.010986,0.001286,0.119608,0.086014,0.028320,0.003274,0.000012,0.011548,0.001202,0.130490,0.093231,0.030199,0.003407,0.000013,0.011485,0.001259,0.139711,4.412469,226.940117,127.738964,226.940117,0.500033,7.999349,7.999349,0.996216,0.841818,0.335243,0.188628,0.454456,0.475494,-0.023239,0.000030,-0.003912,-0.018370,0.454456,0.475494,-0.023239,-0.001476,-0.003332 
