script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, intensityPlain, intensityCipher, intensityDecipher, entropyPlain, entropyCipher, entropyDecipher, diff_NPCRscore, diff_NPCRpval, diff_UACIscore, diff_UACIpval, corr_plain_H, corr_plain_V, corr_plain_D, corr_cipher_H, corr_cipher_V, corr_cipher_D, corr_decipher_H, corr_decipher_V, corr_decipher_D, corr_keySensCipher, corr_keySensDecipher  
[27-02-17 06.44.11.706],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F,1024,1024,1,14.323376,0.259803,0.090701,0.013189,0.000014,0.043630,0.004188,0.411610,0.258158,0.086744,0.011489,0.000012,0.040994,0.002309,0.399777,0.276316,0.094812,0.012150,0.000013,0.044882,0.002482,0.430732,0.342034,0.105855,0.013334,0.000012,0.043854,0.002790,0.507969,0.384081,0.134808,0.011988,0.000012,0.046963,0.002699,0.580656,16.721583,124.616351,127.501195,124.616351,4.407726,7.999803,7.999803,0.996140,0.773815,0.334730,0.683460,0.761530,0.807329,0.677168,0.001406,-0.003674,-0.003459,0.761530,0.807329,0.677168,-0.000731,-0.000251 
[27-02-17 06.46.39.894],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDAD,1024,1024,1,13.955659,0.261948,0.085482,0.010453,0.000014,0.044224,0.003768,0.405969,0.257710,0.088109,0.011598,0.000017,0.045535,0.002447,0.405491,0.279051,0.094098,0.010844,0.000022,0.043928,0.002295,0.430341,0.340576,0.105202,0.011508,0.000014,0.044264,0.002278,0.503907,0.351561,0.111055,0.011046,0.000013,0.044765,0.002312,0.520826,16.292752,124.616351,127.455064,124.616351,4.407726,7.999806,7.999806,0.995995,0.051743,0.334625,0.963030,0.740757,0.798288,0.686327,-0.004161,0.000628,-0.000353,0.740757,0.798288,0.686327,-0.002136,-0.001156 
[27-02-17 06.49.05.358],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461,1024,1024,1,14.074148,0.253511,0.089975,0.013374,0.000017,0.044177,0.002789,0.403916,0.251870,0.084697,0.013727,0.000015,0.042862,0.002212,0.395463,0.280983,0.086046,0.011149,0.000011,0.044173,0.004219,0.426662,0.342731,0.108521,0.012306,0.000013,0.043548,0.003325,0.510523,0.335727,0.107800,0.013779,0.000017,0.044804,0.002791,0.505001,16.384260,124.616351,127.509710,124.616351,4.407726,7.999839,7.999839,0.996135,0.749587,0.334432,0.379498,0.742568,0.815810,0.680394,-0.010839,-0.018502,-0.018272,0.742568,0.815810,0.680394,0.000252,0.000343 
[27-02-17 06.51.32.334],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03,1024,1024,1,13.999573,0.269470,0.084979,0.011883,0.000018,0.043944,0.002650,0.413028,0.267083,0.086933,0.011395,0.000011,0.045767,0.003020,0.414286,0.273921,0.089870,0.011664,0.000013,0.042993,0.002759,0.421288,0.341345,0.108059,0.012458,0.000012,0.044726,0.002848,0.509516,0.332457,0.106334,0.012389,0.000013,0.043846,0.002361,0.497481,16.321666,124.616351,127.472332,124.616351,4.407726,7.999818,7.999818,0.996019,0.111017,0.334700,0.778879,0.783935,0.798123,0.715789,-0.012858,-0.015109,-0.023974,0.783935,0.798123,0.715789,0.000478,0.000857 
[27-02-17 06.53.59.955],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266,1024,1024,1,14.035573,0.261311,0.093041,0.011575,0.000013,0.042830,0.002600,0.411451,0.255049,0.085795,0.010578,0.000012,0.044817,0.002869,0.399181,0.293205,0.098440,0.017214,0.000016,0.052384,0.002394,0.463743,0.344066,0.106072,0.013078,0.000018,0.043459,0.002522,0.509295,0.344747,0.110147,0.013121,0.000012,0.043415,0.002861,0.514370,16.401360,124.616351,127.446459,124.616351,4.407726,7.999820,7.999820,0.996119,0.663743,0.334351,0.218623,0.747190,0.801030,0.707586,-0.002568,0.014442,0.006927,0.747190,0.801030,0.707586,-0.000021,0.000752 
[27-02-17 06.56.26.406],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C8243297,1024,1024,1,14.163986,0.263174,0.088106,0.013960,0.000013,0.045215,0.003241,0.413803,0.268671,0.097786,0.016463,0.000013,0.046810,0.003016,0.432836,0.252030,0.083748,0.010576,0.000012,0.044253,0.002723,0.393417,0.338661,0.110819,0.013287,0.000012,0.045236,0.003368,0.511457,0.362620,0.108219,0.012854,0.000014,0.045573,0.002350,0.531741,16.517258,124.616351,127.630551,124.616351,4.407726,7.999820,7.999820,0.996066,0.324910,0.334731,0.678855,0.766598,0.788924,0.697010,-0.014105,0.012757,0.017324,0.766598,0.788924,0.697010,0.000949,0.001035 
[27-02-17 06.58.50.769],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B0,1024,1024,1,14.031442,0.263313,0.088668,0.014928,0.000021,0.044700,0.002689,0.414403,0.258487,0.087307,0.013016,0.000012,0.043811,0.002523,0.405233,0.272085,0.092655,0.015175,0.000014,0.043744,0.002628,0.426386,0.346676,0.106971,0.010618,0.000012,0.042166,0.002903,0.509421,0.366417,0.109317,0.014385,0.000013,0.042148,0.002497,0.534852,16.386386,124.616351,127.477559,124.616351,4.407726,7.999850,7.999850,0.996133,0.739524,0.334559,0.741977,0.780933,0.786678,0.715827,0.017185,-0.000513,0.000585,0.780933,0.786678,0.715827,-0.000647,0.000969 
[27-02-17 07.01.17.017],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3,1024,1024,1,14.066311,0.253653,0.080802,0.010696,0.000015,0.047313,0.002411,0.394966,0.258466,0.091406,0.012379,0.000013,0.045956,0.002621,0.410922,0.305893,0.089471,0.012719,0.000013,0.042543,0.002911,0.453632,0.345093,0.103922,0.011271,0.000017,0.043969,0.003039,0.507389,0.358500,0.132993,0.013363,0.000013,0.043462,0.003017,0.551423,16.460654,124.616351,127.526397,124.616351,4.407726,7.999839,7.999839,0.996134,0.744582,0.334629,0.979561,0.760973,0.782666,0.704422,-0.004982,-0.008245,0.000223,0.760973,0.782666,0.704422,0.000373,0.000611 
[27-02-17 07.03.42.904],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1,1024,1024,1,14.059476,0.265857,0.086439,0.013180,0.000014,0.043956,0.004277,0.413803,0.257125,0.088742,0.011853,0.000014,0.044143,0.002224,0.404182,0.287889,0.085154,0.012872,0.000012,0.044554,0.002895,0.433466,0.333060,0.110419,0.010677,0.000122,0.043720,0.004119,0.502210,0.332911,0.102939,0.011242,0.000019,0.042729,0.002317,0.492226,16.375780,124.616351,127.630578,124.616351,4.407726,7.999820,7.999820,0.995881,0.000240,0.333842,0.000595,0.789304,0.794560,0.746654,-0.007672,-0.003446,0.011842,0.789304,0.794560,0.746654,0.000593,-0.000292 
[27-02-17 07.06.07.451],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A,1024,1024,1,13.965561,0.259557,0.085454,0.012607,0.000012,0.041985,0.002332,0.402025,0.259784,0.087600,0.011580,0.000013,0.043976,0.004285,0.407309,0.289736,0.094134,0.012681,0.000013,0.042844,0.002330,0.441819,0.339608,0.108517,0.013889,0.000013,0.045229,0.002268,0.509591,0.339138,0.109832,0.014554,0.000018,0.042326,0.003224,0.509171,16.305049,124.616351,127.561240,124.616351,4.407726,7.999797,7.999797,0.996192,0.946576,0.334450,0.421564,0.734214,0.824372,0.705469,0.012399,-0.009878,-0.017358,0.734214,0.824372,0.705469,-0.000550,0.000055 
