script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, redIntensityPlain, greenIntensityPlain, blueIntensityPlain, redIntensityCipher, greenIntensityCipher, blueIntensityCipher, redIntensityDecipher, greenIntensityDecipher, blueIntensityDecipher, entropyRGBPlain,    entropyRGBCipher,     entropyRGBDecipher, entropyRedPlain,    entropyGreenPlain,    entropyBluePlain, entropyRedCipher,   entropyGreenCipher,   entropyBlueCipher, entropyRedDecipher, entropyGreenDecipher, entropyBlueDecipher, diff_RGB_NPCRscore,   diff_RGB_NPCRpval,   diff_RGB_UACIscore,   diff_RGB_UACIpval, diff_Red_NPCRscore,   diff_Red_NPCRpval,   diff_Red_UACIscore,   diff_Red_UACIpval, diff_Green_NPCRscore, diff_Green_NPCRpval, diff_Green_UACIscore, diff_Green_UACIpval, diff_Blue_NPCRscore,  diff_Blue_NPCRpval,  diff_Blue_UACIscore,  diff_Blue_UACIpval, corr_rgbPlain_H, corr_rgbPlain_V, corr_rgbPlain_D, corr_rgbCipher_H, corr_rgbCipher_V, corr_rgbCipher_D, corr_rgbDecipher_H, corr_rgbDecipher_V, corr_rgbDecipher_D, corr_redPlain_H, corr_redPlain_V, corr_redPlain_D, corr_greenPlain_H, corr_greenPlain_V, corr_greenPlain_D, corr_bluePlain_H, corr_bluePlain_V, corr_bluePlain_D, corr_redCipher_H, corr_redCipher_V, corr_redCipher_D, corr_greenCipher_H, corr_greenCipher_V, corr_greenCipher_D, corr_blueCipher_H, corr_blueCipher_V, corr_blueCipher_D, corr_redDecipher_H, corr_redDecipher_V, corr_redDecipher_D, corr_greenDecipher_H, corr_greenDecipher_V, corr_greenDecipher_D, corr_blueDecipher_H, corr_blueDecipher_V, corr_blueDecipher_D, corr_redKeySensCipher, corr_greenKeySensCipher, corr_blueKeySensCipher, corr_redKeySensDecipher, corr_greenKeySensDecipher, corr_blueKeySensDecipher  
[22-02-17 08.46.05.587],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F1D7A,512,512,3,33.765620,0.281476,0.098302,0.010167,0.000013,0.046714,0.002650,0.439402,0.256498,0.096586,0.008336,0.000011,0.041890,0.002693,0.406076,0.245724,0.096368,0.008347,0.000013,0.042082,0.002656,0.395258,0.275092,0.085763,0.010815,0.000012,0.033927,0.002085,0.407758,0.235252,0.077833,0.008412,0.000013,0.033353,0.002329,0.357261,35.816199,234.194530,208.644001,163.551582,127.408192,127.324734,127.571030,234.194530,208.644001,163.551582,6.416494,7.999763,6.416494,4.337192,6.664328,6.428813,7.999316,7.999304,7.999267,4.337192,6.664328,6.428813,0.996157,0.816970,0.334935,0.260812,0.996143,0.658013,0.334739,0.822840,0.996109,0.549835,0.334965,0.475897,0.996220,0.849261,0.335103,0.312094,0.925770,0.963257,0.883893,0.015552,-0.004872,-0.013991,0.925770,0.963257,0.883893,0.959334,0.912747,0.905230,0.972737,0.959629,0.957405,0.918774,0.868642,0.864263,0.012809,0.035711,-0.001863,-0.007862,0.001084,-0.007838,-0.019769,-0.010050,-0.012153,0.959334,0.912747,0.905230,0.972737,0.959629,0.957405,0.918774,0.868642,0.864263,-0.002148,-0.000645,-0.000458,0.002595,0.002595,0.002109 
[22-02-17 08.49.44.990],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDADD1C1,512,512,3,33.464107,0.254092,0.093687,0.009183,0.000011,0.046073,0.002112,0.405211,0.275731,0.100958,0.011035,0.000014,0.044028,0.002175,0.434011,0.241778,0.098852,0.009071,0.000015,0.043879,0.002174,0.395839,0.278864,0.097499,0.008412,0.000017,0.037065,0.002292,0.424221,0.247941,0.076009,0.009976,0.000017,0.031024,0.002099,0.367138,35.536422,234.194530,208.644001,163.551582,127.565868,127.489033,127.495472,234.194530,208.644001,163.551582,6.416494,7.999767,6.416494,4.337192,6.664328,6.428813,7.999352,7.999296,7.999298,4.337192,6.664328,6.428813,0.996085,0.449651,0.334489,0.582110,0.996319,0.967653,0.334121,0.265392,0.995892,0.048508,0.334782,0.750297,0.996044,0.341987,0.334563,0.874719,0.927298,0.927674,0.892003,-0.011068,0.007138,-0.002235,0.927298,0.927674,0.892003,0.961024,0.908033,0.912836,0.928907,0.928207,0.925909,0.934463,0.866469,0.875078,-0.002772,-0.022913,-0.007519,0.014546,0.000708,0.006160,0.013499,-0.014548,-0.005657,0.961024,0.908033,0.912836,0.928907,0.928207,0.925909,0.934463,0.866469,0.875078,0.001834,0.002128,-0.000988,0.001006,0.001006,0.002325 
[22-02-17 08.53.24.728],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461A481,512,512,3,33.203512,0.255773,0.094773,0.011594,0.000015,0.048421,0.002255,0.412901,0.271694,0.091853,0.008199,0.000012,0.043276,0.002687,0.417789,0.257300,0.095877,0.009114,0.000012,0.043992,0.002067,0.408417,0.280792,0.081340,0.007650,0.000012,0.032994,0.002586,0.405443,0.245923,0.074305,0.010654,0.000016,0.031503,0.002358,0.364833,35.260926,234.194530,208.644001,163.551582,127.393970,127.571362,127.562897,234.194530,208.644001,163.551582,6.416494,7.999753,6.416494,4.337192,6.664328,6.428813,7.999332,7.999248,7.999242,4.337192,6.664328,6.428813,0.996109,0.585869,0.335224,0.027271,0.996132,0.622902,0.335254,0.180880,0.996117,0.574510,0.335994,0.003277,0.996078,0.450165,0.334425,0.649246,0.924234,0.954617,0.877678,0.010745,0.015825,0.002858,0.924234,0.954617,0.877678,0.957810,0.908966,0.905927,0.964567,0.949794,0.949490,0.916514,0.850134,0.866387,0.037533,0.005157,-0.010456,0.017924,0.026130,0.003422,0.001514,0.012381,-0.005321,0.957810,0.908966,0.905927,0.964567,0.949794,0.949490,0.916514,0.850134,0.866387,-0.001431,-0.000262,-0.001840,0.001062,0.001062,-0.004959 
[22-02-17 08.57.04.815],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03D261,512,512,3,33.351990,0.262664,0.098384,0.008676,0.000012,0.045642,0.001937,0.417379,0.257430,0.104076,0.009626,0.000012,0.047525,0.002474,0.421212,0.248111,0.097023,0.007968,0.000011,0.040162,0.002654,0.396000,0.247091,0.076423,0.007578,0.000012,0.032521,0.001955,0.365637,0.238729,0.076977,0.007699,0.000012,0.029925,0.002302,0.355704,35.355572,234.194530,208.644001,163.551582,127.507870,127.394009,127.470135,234.194530,208.644001,163.551582,6.416494,7.999810,6.416494,4.337192,6.664328,6.428813,7.999377,7.999373,7.999363,4.337192,6.664328,6.428813,0.996128,0.687258,0.334459,0.507742,0.996147,0.669436,0.334364,0.557419,0.996098,0.512489,0.334323,0.498907,0.996140,0.646443,0.334689,0.907928,0.922614,0.944018,0.889225,0.010328,0.005123,0.007543,0.922614,0.944018,0.889225,0.959046,0.901226,0.907571,0.949088,0.939098,0.943868,0.922782,0.868981,0.875911,-0.007631,0.014487,0.024129,0.010549,-0.011397,0.016218,0.002349,0.011606,0.008675,0.959046,0.901226,0.907571,0.949088,0.939098,0.943868,0.922782,0.868981,0.875911,-0.001311,-0.003011,0.001548,-0.000908,-0.000908,0.001298 
[22-02-17 09.00.42.268],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266E112,512,512,3,33.308994,0.259413,0.099343,0.008260,0.000011,0.041025,0.002309,0.410427,0.259111,0.094640,0.008387,0.000012,0.040268,0.002265,0.404754,0.263909,0.078338,0.008167,0.000012,0.032226,0.002151,0.384879,0.238923,0.076235,0.007763,0.000012,0.030944,0.002053,0.355994,0.235376,0.075684,0.011373,0.000013,0.031133,0.002500,0.356154,35.269128,234.194530,208.644001,163.551582,127.655643,127.306652,127.448578,234.194530,208.644001,163.551582,6.416494,7.999773,6.416494,4.337192,6.664328,6.428813,7.999348,7.999306,7.999348,4.337192,6.664328,6.428813,0.996169,0.856918,0.334677,0.876793,0.996143,0.658013,0.334600,0.938620,0.996212,0.834138,0.334989,0.444099,0.996151,0.680704,0.334441,0.674664,0.913092,0.933631,0.879652,0.005267,-0.011990,0.009888,0.913092,0.933631,0.879652,0.951361,0.883422,0.904492,0.942901,0.931323,0.926670,0.910602,0.861719,0.866634,-0.027449,0.008706,0.034545,-0.026999,-0.001172,-0.007799,0.016645,-0.000146,0.013165,0.951361,0.883422,0.904492,0.942901,0.931323,0.926670,0.910602,0.861719,0.866634,0.002477,-0.001195,-0.001935,-0.000988,-0.000988,-0.003863 
[22-02-17 09.04.20.667],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C824329799C3,512,512,3,33.207954,0.264538,0.099397,0.008356,0.000016,0.046420,0.002414,0.421207,0.259413,0.092674,0.009567,0.000012,0.045005,0.002105,0.408841,0.244870,0.069854,0.009181,0.000013,0.032030,0.002182,0.358191,0.241749,0.073522,0.007741,0.000013,0.031261,0.002271,0.356614,0.240310,0.076068,0.007689,0.000012,0.031044,0.002067,0.357246,35.155879,234.194530,208.644001,163.551582,127.221844,127.422230,127.431881,234.194530,208.644001,163.551582,6.416494,7.999773,6.416494,4.337192,6.664328,6.428813,7.999392,7.999431,7.999247,4.337192,6.664328,6.428813,0.996062,0.325657,0.334376,0.330113,0.995998,0.216878,0.333977,0.154356,0.996120,0.586744,0.334743,0.815871,0.996067,0.413256,0.334406,0.620340,0.913966,0.948886,0.884876,-0.005723,0.005685,0.010177,0.913966,0.948886,0.884876,0.953753,0.888892,0.899254,0.954559,0.945444,0.946655,0.924332,0.863934,0.866360,0.006689,-0.007973,-0.015886,0.016450,-0.000403,0.001009,0.033598,-0.000929,-0.002138,0.953753,0.888892,0.899254,0.954559,0.945444,0.946655,0.924332,0.863934,0.866360,0.000232,0.000153,0.000403,-0.001029,-0.001029,-0.003846 
[22-02-17 09.08.00.964],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B04DDB,512,512,3,33.333559,0.257912,0.103996,0.011623,0.000013,0.045330,0.002320,0.421274,0.245527,0.093440,0.009630,0.000012,0.038636,0.002047,0.389360,0.225629,0.069650,0.008706,0.000013,0.030665,0.001940,0.336665,0.236096,0.075640,0.008569,0.000012,0.031921,0.002053,0.354356,0.252714,0.076463,0.009057,0.000012,0.030941,0.002508,0.371770,35.254424,234.194530,208.644001,163.551582,127.319237,127.365952,127.629913,234.194530,208.644001,163.551582,6.416494,7.999737,6.416494,4.337192,6.664328,6.428813,7.999092,7.999204,7.999231,4.337192,6.664328,6.428813,0.996131,0.699947,0.334358,0.297860,0.996105,0.537419,0.334208,0.355086,0.996128,0.610952,0.334091,0.238866,0.996159,0.702738,0.334774,0.764579,0.930244,0.946420,0.893672,-0.005446,0.002224,0.024317,0.930244,0.946420,0.893672,0.962691,0.912830,0.915210,0.955527,0.944788,0.938947,0.923077,0.874758,0.883180,-0.020660,0.001969,0.002351,-0.002751,0.017338,-0.007915,0.023849,0.013754,0.035348,0.962691,0.912830,0.915210,0.955527,0.944788,0.938947,0.923077,0.874758,0.883180,0.004574,-0.001942,-0.003441,0.002020,0.002020,-0.002217 
[22-02-17 09.11.42.983],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3A215,512,512,3,33.341067,0.224136,0.074687,0.010043,0.000016,0.034760,0.002520,0.346237,0.225370,0.072718,0.007846,0.000014,0.032026,0.001998,0.340040,0.219487,0.072918,0.008357,0.000012,0.031117,0.002010,0.333972,0.245070,0.075896,0.008170,0.000011,0.030308,0.002298,0.361821,0.243672,0.077000,0.008023,0.000012,0.031121,0.002490,0.362384,35.132749,234.194530,208.644001,163.551582,127.438683,127.790062,127.466869,234.194530,208.644001,163.551582,6.416494,7.999744,6.416494,4.337192,6.664328,6.428813,7.999199,7.999330,7.999343,4.337192,6.664328,6.428813,0.996054,0.287602,0.334769,0.616170,0.996014,0.255418,0.334849,0.644154,0.996212,0.834138,0.333914,0.118691,0.995937,0.099613,0.335544,0.049224,0.925658,0.939886,0.868721,0.005448,-0.006961,0.017939,0.925658,0.939886,0.868721,0.958129,0.904487,0.914357,0.945381,0.941608,0.932669,0.907089,0.860019,0.839055,-0.001252,0.001049,0.016546,-0.005411,-0.015251,-0.000221,0.029224,0.011543,0.013051,0.958129,0.904487,0.914357,0.945381,0.941608,0.932669,0.907089,0.860019,0.839055,-0.001439,0.000187,0.000626,-0.003945,-0.003945,-0.000398 
[22-02-17 09.15.22.632],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1C001,512,512,3,33.316197,0.205314,0.072880,0.008021,0.000012,0.031709,0.002065,0.320065,0.213310,0.067153,0.007677,0.000012,0.033785,0.002898,0.324901,0.222082,0.071781,0.007729,0.000013,0.030232,0.002013,0.333916,0.247475,0.076544,0.009826,0.000014,0.031863,0.002166,0.367954,0.238869,0.076788,0.008077,0.000012,0.031346,0.002162,0.357316,35.068359,234.194530,208.644001,163.551582,127.499363,127.564625,127.561787,234.194530,208.644001,163.551582,6.416494,7.999762,6.416494,4.337192,6.664328,6.428813,7.999286,7.999304,7.999218,4.337192,6.664328,6.428813,0.996109,0.585869,0.334795,0.549206,0.996220,0.849261,0.334168,0.312311,0.996147,0.669436,0.335359,0.117359,0.995960,0.136563,0.334858,0.629921,0.918253,0.923490,0.885764,0.003085,-0.005875,-0.004507,0.918253,0.923490,0.885764,0.954653,0.897052,0.903054,0.927679,0.926032,0.916758,0.922430,0.858110,0.876752,-0.004282,0.011995,0.001542,-0.013510,0.015533,-0.019649,-0.004562,0.007900,-0.016859,0.954653,0.897052,0.903054,0.927679,0.926032,0.916758,0.922430,0.858110,0.876752,-0.002586,0.002024,0.004650,0.002880,0.002880,0.000155 
[22-02-17 09.19.00.592],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A6DA1,512,512,3,33.202366,0.213256,0.072513,0.007751,0.000011,0.031391,0.002069,0.327052,0.225839,0.074194,0.007580,0.000012,0.031390,0.002786,0.341885,0.226186,0.068551,0.007680,0.000012,0.031567,0.002151,0.336210,0.237771,0.072395,0.008236,0.000011,0.031138,0.002051,0.351663,0.258947,0.079266,0.008550,0.000013,0.032748,0.002293,0.381881,34.984932,234.194530,208.644001,163.551582,127.826302,127.587345,127.480549,234.194530,208.644001,163.551582,6.416494,7.999739,6.416494,4.337192,6.664328,6.428813,7.999288,7.999340,7.999221,4.337192,6.664328,6.428813,0.996164,0.839953,0.334394,0.364959,0.995937,0.099613,0.334353,0.541100,0.996246,0.894797,0.334592,0.925471,0.996307,0.960236,0.334236,0.387332,0.933756,0.929375,0.866831,-0.000636,-0.016277,0.005027,0.933756,0.929375,0.866831,0.960992,0.917557,0.922719,0.934212,0.933239,0.920674,0.904459,0.851611,0.844422,-0.010399,-0.008944,0.017433,-0.013789,-0.010493,-0.024550,0.006927,0.012503,-0.004349,0.960992,0.917557,0.922719,0.934212,0.933239,0.920674,0.904459,0.851611,0.844422,0.001232,-0.002253,-0.000823,-0.001970,-0.001970,-0.000484 
