script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, intensityPlain, intensityCipher, intensityDecipher, entropyPlain, entropyCipher, entropyDecipher, diff_NPCRscore, diff_NPCRpval, diff_UACIscore, diff_UACIpval, corr_plain_H, corr_plain_V, corr_plain_D, corr_cipher_H, corr_cipher_V, corr_cipher_D, corr_decipher_H, corr_decipher_V, corr_decipher_D, corr_keySensCipher, corr_keySensDecipher  
[26-02-17 03.44.32.410],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F1D7A,512,512,1,11.558371,0.073802,0.026964,0.002720,0.000011,0.012460,0.000795,0.116822,0.073018,0.025765,0.002921,0.000013,0.010825,0.000823,0.113421,0.075145,0.024940,0.004191,0.000013,0.011524,0.000714,0.116592,0.080249,0.027579,0.002770,0.000016,0.010952,0.000807,0.122428,0.088325,0.031747,0.003617,0.000015,0.011372,0.000721,0.135873,12.179667,116.118458,127.452633,116.118458,6.107418,7.999342,7.999342,0.996143,0.658013,0.334024,0.186051,0.975750,0.968802,0.956069,-0.006889,-0.007693,-0.002301,0.975750,0.968802,0.956069,-0.001513,0.000179 
[26-02-17 03.45.57.036],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDADD1C1,512,512,1,11.534902,0.085300,0.028298,0.002981,0.000012,0.011658,0.000698,0.129011,0.074935,0.025919,0.003180,0.000018,0.012035,0.000609,0.116762,0.085358,0.026892,0.003459,0.000013,0.010963,0.000661,0.127406,0.079623,0.028867,0.002788,0.000012,0.010618,0.000818,0.122785,0.093749,0.027454,0.003458,0.000012,0.010678,0.000706,0.136117,12.180912,116.118458,127.496029,116.118458,6.107418,7.999324,7.999324,0.996319,0.967653,0.334509,0.784707,0.976862,0.968245,0.953292,-0.006055,0.015109,0.009969,0.976862,0.968245,0.953292,0.002801,0.005065 
[26-02-17 03.47.21.672],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461A481,512,512,1,11.636038,0.088276,0.026439,0.003752,0.000021,0.011095,0.000718,0.130372,0.075183,0.028241,0.002730,0.000011,0.011396,0.000754,0.118390,0.074481,0.027602,0.002698,0.000009,0.010885,0.000738,0.116479,0.084774,0.028683,0.004311,0.000019,0.012567,0.000752,0.131188,0.080252,0.028076,0.002559,0.000015,0.012553,0.000845,0.124371,12.274975,116.118458,127.584972,116.118458,6.107418,7.999285,7.999285,0.996132,0.622902,0.334977,0.460021,0.975264,0.961986,0.954008,0.014691,-0.012224,-0.020087,0.975264,0.961986,0.954008,0.001827,-0.001554 
[26-02-17 03.48.46.741],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03D261,512,512,1,11.611229,0.078970,0.026644,0.002949,0.000012,0.010727,0.000721,0.120077,0.084461,0.027397,0.003362,0.000013,0.012125,0.000718,0.128144,0.080965,0.027876,0.004191,0.000018,0.012835,0.000689,0.126650,0.087165,0.026374,0.002914,0.000014,0.010470,0.000812,0.127809,0.089895,0.026868,0.003165,0.000015,0.012525,0.000783,0.133314,12.264774,116.118458,127.316326,116.118458,6.107418,7.999213,7.999213,0.996147,0.669436,0.334357,0.547030,0.976384,0.965586,0.957313,-0.005223,-0.015282,0.008669,0.976384,0.965586,0.957313,0.002961,0.001823 
[26-02-17 03.50.12.974],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266E112,512,512,1,11.510671,0.083157,0.022574,0.002469,0.000009,0.011686,0.000706,0.120655,0.075674,0.026165,0.003561,0.000011,0.010269,0.000779,0.116518,0.073559,0.025018,0.002810,0.000012,0.010878,0.000696,0.113032,0.077559,0.027283,0.002613,0.000009,0.010892,0.000695,0.119113,0.080155,0.029982,0.004668,0.000014,0.011376,0.000719,0.126984,12.124037,116.118458,127.448475,116.118458,6.107418,7.999249,7.999249,0.996143,0.658013,0.334007,0.174016,0.977029,0.970175,0.953459,-0.000324,-0.012577,-0.005278,0.977029,0.970175,0.953459,0.002081,0.000248 
[26-02-17 03.51.37.900],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C824329799C3,512,512,1,11.824113,0.073997,0.024290,0.002659,0.000011,0.010530,0.000725,0.112263,0.070353,0.025085,0.002545,0.000010,0.011460,0.000806,0.110313,0.080770,0.024570,0.002592,0.000015,0.010586,0.000688,0.119282,0.085710,0.030302,0.004465,0.000014,0.012309,0.000722,0.133597,0.090219,0.026569,0.004030,0.000017,0.012318,0.000781,0.134015,12.451719,116.118458,127.486805,116.118458,6.107418,7.999253,7.999253,0.995998,0.216878,0.334120,0.264449,0.978645,0.969632,0.947916,0.008634,0.022735,-0.022347,0.978645,0.969632,0.947916,-0.000706,0.000083 
[26-02-17 03.53.02.105],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B04DDB,512,512,1,11.473661,0.081820,0.027813,0.002530,0.000009,0.010088,0.000843,0.123157,0.081402,0.027495,0.003487,0.000016,0.011039,0.000680,0.124188,0.076879,0.028418,0.002595,0.000012,0.011182,0.000659,0.119813,0.080634,0.026016,0.002982,0.000018,0.013513,0.000829,0.124062,0.089589,0.029828,0.002743,0.000014,0.011571,0.000719,0.134543,12.114042,116.118458,127.684013,116.118458,6.107418,7.999289,7.999289,0.996105,0.537419,0.334726,0.845174,0.975404,0.970098,0.956843,-0.018789,0.009043,0.013234,0.975404,0.970098,0.956843,0.001636,0.003251 
[26-02-17 03.54.27.660],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3A215,512,512,1,11.471683,0.081748,0.026924,0.002609,0.000015,0.011529,0.000683,0.123572,0.079297,0.025035,0.004064,0.000017,0.011393,0.000848,0.120723,0.070365,0.026467,0.004096,0.000016,0.010388,0.000739,0.112136,0.081218,0.026658,0.002536,0.000009,0.010809,0.000684,0.121959,0.082877,0.032543,0.004210,0.000025,0.012627,0.001161,0.133524,12.098458,116.118458,127.409142,116.118458,6.107418,7.999411,7.999411,0.996014,0.255418,0.335055,0.364082,0.977480,0.967139,0.958966,0.017116,0.015428,-0.002072,0.977480,0.967139,0.958966,-0.002746,-0.002416 
[26-02-17 03.55.52.181],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1C001,512,512,1,11.463742,0.082308,0.026070,0.003791,0.000015,0.012110,0.000817,0.125166,0.082149,0.027016,0.002749,0.000012,0.010727,0.000778,0.123499,0.077116,0.026511,0.002593,0.000009,0.010435,0.000677,0.117400,0.087548,0.027027,0.002413,0.000009,0.009869,0.000897,0.127822,0.087031,0.030230,0.004143,0.000019,0.013972,0.001129,0.136599,12.110545,116.118458,127.632877,116.118458,6.107418,7.999355,7.999355,0.996220,0.849261,0.334058,0.211450,0.978606,0.968410,0.961616,-0.011662,-0.002440,-0.004294,0.978606,0.968410,0.961616,0.000784,0.002504 
[26-02-17 03.57.17.614],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A6DA1,512,512,1,11.490717,0.082138,0.025737,0.004154,0.000013,0.011625,0.000842,0.124567,0.080601,0.025570,0.003085,0.000024,0.009804,0.000841,0.119982,0.078271,0.026597,0.003859,0.000013,0.011333,0.000733,0.120872,0.090606,0.028000,0.003025,0.000012,0.010874,0.000849,0.133424,0.084656,0.027931,0.002575,0.000013,0.010846,0.000732,0.126811,12.132652,116.118458,127.404205,116.118458,6.107418,7.999331,7.999331,0.995937,0.099613,0.333701,0.043297,0.977768,0.969304,0.953460,0.003677,-0.018750,0.021834,0.977768,0.969304,0.953460,-0.001411,-0.002221 
