script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, intensityPlain, intensityCipher, intensityDecipher, entropyPlain, entropyCipher, entropyDecipher, diff_NPCRscore, diff_NPCRpval, diff_UACIscore, diff_UACIpval, corr_plain_H, corr_plain_V, corr_plain_D, corr_cipher_H, corr_cipher_V, corr_cipher_D, corr_decipher_H, corr_decipher_V, corr_decipher_D, corr_keySensCipher, corr_keySensDecipher  
[26-02-17 21.59.26.616],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F1D7A,512,512,1,12.573717,0.092146,0.029924,0.004042,0.000016,0.012586,0.000688,0.139473,0.077777,0.024992,0.002827,0.000013,0.009963,0.001131,0.116773,0.075907,0.024631,0.002602,0.000012,0.010996,0.000662,0.114867,0.095697,0.030053,0.003696,0.000018,0.011789,0.000675,0.141998,0.089656,0.026207,0.002559,0.000013,0.010384,0.000705,0.129587,13.234099,129.707966,127.518803,129.707966,7.191370,7.999278,7.999278,0.996143,0.658013,0.333707,0.044659,0.936272,0.969555,0.929343,0.014675,-0.013420,-0.006744,0.936272,0.969555,0.929343,0.000306,0.001928 
[26-02-17 22.00.50.948],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDADD1C1,512,512,1,11.593253,0.084364,0.026425,0.002511,0.000009,0.013528,0.000748,0.127649,0.083384,0.024566,0.002871,0.000011,0.010317,0.000550,0.121759,0.078187,0.025077,0.002916,0.000015,0.010997,0.000549,0.117804,0.084851,0.027728,0.002556,0.000011,0.010936,0.000692,0.126820,0.080752,0.030113,0.004227,0.000017,0.012984,0.000613,0.128780,12.233639,129.707966,127.696774,129.707966,7.191370,7.999327,7.999327,0.996319,0.967653,0.334008,0.174364,0.931933,0.972773,0.916782,-0.021677,0.024058,-0.011498,0.931933,0.972773,0.916782,0.001367,0.002517 
[26-02-17 22.02.14.214],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461A481,512,512,1,11.783316,0.074631,0.025872,0.002669,0.000009,0.010711,0.000640,0.114597,0.081685,0.026579,0.003272,0.000015,0.010251,0.000644,0.122513,0.080443,0.025078,0.002798,0.000012,0.010189,0.000623,0.119199,0.089630,0.025506,0.003025,0.000011,0.010772,0.000557,0.129561,0.089410,0.027312,0.002918,0.000011,0.009779,0.000556,0.130046,12.415434,129.707966,127.659695,129.707966,7.191370,7.999237,7.999237,0.996132,0.622902,0.335236,0.193406,0.937857,0.972293,0.921515,0.024292,-0.018009,0.004990,0.937857,0.972293,0.921515,0.001468,0.001402 
[26-02-17 22.03.36.546],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03D261,512,512,1,11.573409,0.082080,0.026242,0.003329,0.000013,0.010888,0.000711,0.123325,0.079610,0.025004,0.004607,0.000014,0.010585,0.000555,0.120444,0.080713,0.024792,0.002935,0.000011,0.010319,0.000722,0.119549,0.090033,0.027095,0.002766,0.000010,0.010792,0.000703,0.131449,0.084319,0.028534,0.002501,0.000009,0.011609,0.001143,0.128186,12.211482,129.707966,127.621944,129.707966,7.191370,7.999414,7.999414,0.996147,0.669436,0.334376,0.574106,0.937478,0.974118,0.922051,0.007520,0.001441,-0.002315,0.937478,0.974118,0.922051,0.002947,-0.000870 
[26-02-17 22.04.59.447],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266E112,512,512,1,11.886712,0.080855,0.025052,0.002899,0.000012,0.011619,0.000600,0.121104,0.082941,0.027108,0.002515,0.000009,0.010598,0.000703,0.123934,0.079781,0.025410,0.002597,0.000011,0.011106,0.000685,0.119644,0.081018,0.026750,0.002866,0.000012,0.010591,0.001038,0.122351,0.090885,0.026248,0.003224,0.000012,0.010735,0.001151,0.132311,12.524303,129.707966,127.585964,129.707966,7.191370,7.999328,7.999328,0.996143,0.658013,0.333688,0.040362,0.943734,0.970013,0.920123,0.002979,-0.014061,-0.011630,0.943734,0.970013,0.920123,0.001033,-0.000362 
[26-02-17 22.06.22.109],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C824329799C3,512,512,1,11.555773,0.080219,0.024797,0.002520,0.000009,0.011331,0.000737,0.119680,0.078920,0.026578,0.002784,0.000015,0.011918,0.000714,0.120991,0.082488,0.027128,0.003860,0.000011,0.010775,0.000559,0.124876,0.087709,0.025199,0.002790,0.000009,0.011867,0.000614,0.128246,0.080603,0.030301,0.003351,0.000017,0.011383,0.000715,0.126431,12.193414,129.707966,127.583225,129.707966,7.191370,7.999428,7.999428,0.995998,0.216878,0.334112,0.256985,0.941275,0.969738,0.925290,0.016638,0.021993,-0.011486,0.941275,0.969738,0.925290,-0.002537,0.000859 
[26-02-17 22.07.44.165],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B04DDB,512,512,1,11.561480,0.077618,0.026729,0.003653,0.000014,0.011657,0.000755,0.120489,0.078835,0.029145,0.002719,0.000012,0.011435,0.000843,0.123057,0.079949,0.026588,0.002568,0.000009,0.011638,0.000986,0.121795,0.087575,0.027241,0.002727,0.000009,0.011132,0.000555,0.129292,0.086452,0.028726,0.004037,0.000013,0.012743,0.000702,0.132753,12.206555,129.707966,127.456177,129.707966,7.191370,7.999260,7.999260,0.996105,0.537419,0.334338,0.520476,0.937537,0.972813,0.924088,-0.015391,0.018523,0.021261,0.937537,0.972813,0.924088,0.002553,0.002945 
[26-02-17 22.09.06.055],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3A215,512,512,1,11.806928,0.083041,0.033859,0.003401,0.000014,0.012264,0.000722,0.133359,0.080650,0.026894,0.004528,0.000015,0.011138,0.000632,0.123923,0.084149,0.025731,0.002904,0.000013,0.012375,0.000612,0.125849,0.089193,0.027789,0.002435,0.000009,0.010183,0.000803,0.130473,0.083428,0.027339,0.004004,0.000013,0.010383,0.000615,0.125861,12.462129,129.707966,127.493309,129.707966,7.191370,7.999339,7.999339,0.996014,0.255418,0.335314,0.141899,0.947550,0.970382,0.920628,0.012702,0.005517,0.017096,0.947550,0.970382,0.920628,-0.003208,-0.002371 
[26-02-17 22.10.28.376],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1C001,512,512,1,11.681644,0.077899,0.027632,0.002950,0.000013,0.010154,0.000578,0.119308,0.079180,0.027698,0.002519,0.000009,0.010881,0.000601,0.120941,0.074924,0.028677,0.003917,0.000012,0.011071,0.000646,0.119319,0.081074,0.027910,0.003163,0.000012,0.010993,0.000745,0.123962,0.089923,0.026282,0.002694,0.000016,0.012163,0.000856,0.131999,12.315486,129.707966,127.513287,129.707966,7.191370,7.999314,7.999314,0.996220,0.849261,0.334216,0.364031,0.932530,0.971598,0.926795,0.003957,-0.002802,-0.009804,0.932530,0.971598,0.926795,-0.002360,-0.000758 
[26-02-17 22.11.50.598],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A6DA1,512,512,1,11.572291,0.076737,0.026626,0.003705,0.000022,0.011506,0.000697,0.119364,0.084293,0.027404,0.003079,0.000014,0.011650,0.000605,0.127111,0.080359,0.025609,0.004326,0.000012,0.011607,0.000707,0.122691,0.084514,0.030601,0.003842,0.000013,0.011263,0.000725,0.131027,0.097275,0.029715,0.004616,0.000020,0.013065,0.000714,0.145477,12.234620,129.707966,127.756447,129.707966,7.191370,7.999182,7.999182,0.995937,0.099613,0.334068,0.219326,0.934681,0.972376,0.924389,0.002598,-0.013608,-0.013710,0.934681,0.972376,0.924389,-0.000097,-0.000401 
