script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, intensityPlain, intensityCipher, intensityDecipher, entropyPlain, entropyCipher, entropyDecipher, diff_NPCRscore, diff_NPCRpval, diff_UACIscore, diff_UACIpval, corr_plain_H, corr_plain_V, corr_plain_D, corr_cipher_H, corr_cipher_V, corr_cipher_D, corr_decipher_H, corr_decipher_V, corr_decipher_D, corr_keySensCipher, corr_keySensDecipher  
[26-02-17 23.08.19.029],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F1D7A,512,512,1,11.583673,0.085123,0.026802,0.002528,0.000009,0.010677,0.000605,0.125802,0.085442,0.026711,0.003615,0.000016,0.011225,0.000631,0.127709,0.081572,0.028461,0.003457,0.000012,0.011053,0.000654,0.125273,0.083456,0.031790,0.002698,0.000011,0.010745,0.000658,0.129434,0.088626,0.027383,0.003196,0.000012,0.011242,0.000764,0.131291,12.243264,136.356514,127.583527,136.356514,7.505984,7.999328,7.999328,0.996143,0.658013,0.333986,0.160073,0.975617,0.972721,0.968689,-0.001935,-0.020938,-0.019933,0.975617,0.972721,0.968689,-0.001266,0.000527 
[26-02-17 23.09.43.244],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDADD1C1,512,512,1,11.704385,0.076396,0.024605,0.004023,0.000016,0.012251,0.000779,0.118140,0.085526,0.025116,0.002749,0.000012,0.010230,0.001038,0.124734,0.078933,0.026043,0.002901,0.000012,0.010185,0.001014,0.119156,0.086258,0.028161,0.002894,0.000015,0.010253,0.000768,0.128405,0.093121,0.026946,0.003188,0.000013,0.011411,0.000657,0.135402,12.347543,136.356514,127.521675,136.356514,7.505984,7.999315,7.999315,0.996319,0.967653,0.334052,0.206652,0.976193,0.972800,0.972038,-0.011267,0.016307,0.016779,0.976193,0.972800,0.972038,0.002900,0.004148 
[26-02-17 23.11.06.303],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461A481,512,512,1,11.691729,0.083258,0.026467,0.002816,0.000010,0.010146,0.000619,0.123383,0.077845,0.027876,0.004352,0.000018,0.010442,0.000779,0.121375,0.082189,0.026161,0.002531,0.000009,0.013165,0.001187,0.125303,0.086642,0.025929,0.002500,0.000010,0.012218,0.000985,0.128348,0.089469,0.030055,0.004130,0.000017,0.012511,0.000647,0.136916,12.347906,136.356514,127.481674,136.356514,7.505984,7.999270,7.999270,0.996132,0.622902,0.335128,0.286529,0.974871,0.972401,0.970058,0.020501,-0.016536,-0.007027,0.974871,0.972401,0.970058,0.001026,0.001477 
[26-02-17 23.12.29.706],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03D261,512,512,1,11.674229,0.081520,0.024228,0.002920,0.000016,0.011396,0.001166,0.121314,0.080402,0.026691,0.003229,0.000011,0.011721,0.000864,0.122989,0.082148,0.024209,0.002544,0.000012,0.011536,0.001146,0.121660,0.088271,0.027196,0.002516,0.000009,0.011306,0.000701,0.130064,0.084427,0.031654,0.003490,0.000013,0.010082,0.000612,0.130347,12.319870,136.356514,127.311409,136.356514,7.505984,7.999266,7.999266,0.996147,0.669436,0.334882,0.594159,0.975602,0.974028,0.967156,0.015833,-0.007592,-0.011724,0.975602,0.974028,0.967156,0.003664,0.000996 
[26-02-17 23.13.52.724],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266E112,512,512,1,11.689500,0.090247,0.026203,0.003430,0.000015,0.011218,0.000647,0.131834,0.080678,0.025061,0.002900,0.000012,0.011186,0.000776,0.120672,0.075391,0.026086,0.002814,0.000010,0.011678,0.000869,0.116919,0.086690,0.026388,0.002591,0.000010,0.010550,0.000778,0.127057,0.085667,0.030080,0.002632,0.000012,0.011197,0.000915,0.130569,12.334012,136.356514,127.443810,136.356514,7.505984,7.999394,7.999394,0.996143,0.658013,0.333719,0.047437,0.975985,0.973093,0.968396,-0.010102,0.003519,0.008821,0.975985,0.973093,0.968396,0.000992,0.000662 
[26-02-17 23.15.15.934],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C824329799C3,512,512,1,11.584973,0.079313,0.023140,0.002848,0.000011,0.010546,0.000780,0.116821,0.085341,0.027203,0.002756,0.000010,0.009981,0.000692,0.126040,0.080632,0.025857,0.002520,0.000009,0.010660,0.000625,0.120357,0.082176,0.026868,0.002890,0.000011,0.010243,0.001010,0.123261,0.083983,0.032025,0.002650,0.000017,0.011580,0.001017,0.131348,12.219571,136.356514,127.343925,136.356514,7.505984,7.999263,7.999263,0.995998,0.216878,0.334240,0.392686,0.976482,0.974420,0.965331,0.003773,0.011374,-0.007956,0.976482,0.974420,0.965331,-0.001033,-0.001671 
[26-02-17 23.16.37.893],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B04DDB,512,512,1,11.556787,0.083823,0.025583,0.002503,0.000009,0.010938,0.000672,0.123585,0.083112,0.025276,0.002952,0.000015,0.013726,0.000677,0.125832,0.078683,0.025716,0.002697,0.000012,0.011336,0.000667,0.119174,0.083660,0.027699,0.003050,0.000012,0.011752,0.000692,0.126916,0.083813,0.029875,0.002828,0.000012,0.010795,0.000594,0.127981,12.197725,136.356514,127.466412,136.356514,7.505984,7.999349,7.999349,0.996105,0.537419,0.334167,0.310424,0.976428,0.973234,0.965635,-0.010826,0.011172,0.022400,0.976428,0.973234,0.965635,0.002896,0.005391 
[26-02-17 23.18.00.554],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3A215,512,512,1,11.551452,0.084297,0.024711,0.003805,0.000016,0.012103,0.000928,0.125923,0.078872,0.024811,0.002936,0.000012,0.010346,0.000788,0.117821,0.082395,0.030546,0.004397,0.000015,0.013809,0.000925,0.132153,0.090519,0.026883,0.002575,0.000011,0.010824,0.000633,0.131500,0.082243,0.026309,0.003918,0.000016,0.013359,0.000787,0.126694,12.199945,136.356514,127.817310,136.356514,7.505984,7.999175,7.999175,0.996014,0.255418,0.335319,0.138886,0.977479,0.973121,0.967408,0.029943,0.015391,0.001996,0.977479,0.973121,0.967408,-0.003964,-0.003961 
[26-02-17 23.19.23.521],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1C001,512,512,1,11.656180,0.076428,0.025710,0.002798,0.000010,0.011214,0.000637,0.116852,0.078727,0.028060,0.002562,0.000012,0.010643,0.000729,0.120790,0.079888,0.027139,0.004529,0.000017,0.012007,0.000627,0.124277,0.083002,0.028643,0.002932,0.000010,0.009841,0.000654,0.125141,0.088299,0.029648,0.003434,0.000013,0.011614,0.000783,0.133864,12.293610,136.356514,127.552483,136.356514,7.505984,7.999320,7.999320,0.996220,0.849261,0.334317,0.490642,0.975229,0.971610,0.970495,-0.013620,-0.003728,-0.012425,0.975229,0.971610,0.970495,0.001585,-0.000733 
[26-02-17 23.20.46.299],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A6DA1,512,512,1,11.674741,0.076679,0.025366,0.003675,0.000015,0.011666,0.000769,0.118232,0.082743,0.027641,0.004000,0.000013,0.011509,0.000666,0.126636,0.082149,0.026365,0.002496,0.000010,0.011780,0.001014,0.123887,0.082829,0.027531,0.002973,0.000012,0.011050,0.000680,0.125134,0.087997,0.030205,0.003643,0.000015,0.012250,0.001079,0.135255,12.320490,136.356514,127.425503,136.356514,7.505984,7.999345,7.999345,0.995937,0.099613,0.334397,0.605931,0.976379,0.971914,0.968719,0.004931,-0.037367,0.014235,0.976379,0.971914,0.968719,-0.002586,0.002029 
