script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, intensityPlain, intensityCipher, intensityDecipher, entropyPlain, entropyCipher, entropyDecipher, diff_NPCRscore, diff_NPCRpval, diff_UACIscore, diff_UACIpval, corr_plain_H, corr_plain_V, corr_plain_D, corr_cipher_H, corr_cipher_V, corr_cipher_D, corr_decipher_H, corr_decipher_V, corr_decipher_D, corr_keySensCipher, corr_keySensDecipher  
[27-02-17 00.17.59.367],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F1D7A,512,512,1,11.560030,0.062899,0.022714,0.002602,0.000010,0.010544,0.000744,0.099572,0.067721,0.022103,0.002798,0.000011,0.011629,0.000907,0.105236,0.062352,0.022873,0.004157,0.000018,0.010415,0.000879,0.100760,0.087052,0.029722,0.002522,0.000009,0.011964,0.000749,0.132074,0.083767,0.025863,0.003046,0.000010,0.011425,0.001012,0.125193,12.140104,127.038322,127.625420,127.038322,4.392295,7.999378,7.999378,0.996143,0.658013,0.334379,0.579499,0.997482,0.999856,0.995150,-0.006086,-0.003899,-0.012091,0.997482,0.999856,0.995150,-0.001721,-0.002006 
[27-02-17 00.19.22.764],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDADD1C1,512,512,1,11.550197,0.062625,0.022855,0.002525,0.000009,0.011415,0.001194,0.100695,0.059485,0.021897,0.002756,0.000010,0.010246,0.001233,0.095688,0.065135,0.022326,0.004230,0.000019,0.010142,0.000965,0.102890,0.089793,0.027993,0.002500,0.000009,0.011029,0.000756,0.132138,0.081933,0.025743,0.004722,0.000017,0.011437,0.000904,0.124830,12.123276,127.038322,127.416740,127.038322,4.392295,7.999317,7.999317,0.996319,0.967653,0.333863,0.094634,0.995862,0.999862,0.997519,-0.004115,0.014309,0.006625,0.995862,0.999862,0.997519,0.002818,0.002747 
[27-02-17 00.20.45.921],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461A481,512,512,1,11.580810,0.054896,0.021975,0.004153,0.000016,0.012337,0.000748,0.094193,0.065655,0.020733,0.002676,0.000011,0.012163,0.000878,0.102167,0.064816,0.019989,0.002372,0.000009,0.011340,0.000745,0.099320,0.086616,0.026858,0.002547,0.000016,0.011165,0.000893,0.128148,0.082269,0.027186,0.003106,0.000013,0.011340,0.000696,0.124677,12.144940,127.038322,127.281036,127.038322,4.392295,7.999218,7.999218,0.996132,0.622902,0.334781,0.752877,0.996611,0.999876,0.994789,0.017291,-0.012489,-0.002766,0.996611,0.999876,0.994789,-0.001285,0.000654 
[27-02-17 00.22.09.708],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03D261,512,512,1,11.681744,0.066705,0.021448,0.002536,0.000009,0.011297,0.000685,0.102720,0.063962,0.020489,0.002796,0.000011,0.010948,0.000849,0.099109,0.062899,0.021305,0.002977,0.000011,0.011072,0.000662,0.098981,0.082518,0.027605,0.004006,0.000012,0.010022,0.000846,0.125074,0.086871,0.028029,0.002556,0.000009,0.010998,0.000722,0.129239,12.252230,127.038322,127.753731,127.038322,4.392295,7.999199,7.999199,0.996147,0.669436,0.334443,0.677433,0.995939,0.999825,0.997595,0.004166,0.015152,0.023702,0.995939,0.999825,0.997595,0.002129,0.001414 
[27-02-17 00.23.32.721],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266E112,512,512,1,11.576522,0.062839,0.021341,0.002683,0.000010,0.010439,0.000724,0.098104,0.064831,0.022831,0.002509,0.000010,0.011326,0.000704,0.102276,0.065275,0.022209,0.002857,0.000012,0.011216,0.000764,0.102385,0.085366,0.026201,0.002573,0.000012,0.012212,0.000889,0.127321,0.078770,0.029332,0.004114,0.000015,0.011464,0.000858,0.124626,12.147730,127.038322,127.492813,127.038322,4.392295,7.999367,7.999367,0.996143,0.658013,0.333671,0.036953,0.995431,0.999838,0.996249,-0.017732,-0.011743,0.036333,0.995431,0.999838,0.996249,0.001258,0.000787 
[27-02-17 00.24.56.681],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C824329799C3,512,512,1,11.591176,0.058386,0.021302,0.002494,0.000010,0.011084,0.000842,0.094167,0.066499,0.021113,0.002581,0.000018,0.012400,0.000647,0.103319,0.067242,0.025162,0.002885,0.000017,0.015630,0.001035,0.112037,0.103321,0.031167,0.004171,0.000017,0.013051,0.000987,0.152786,0.096466,0.035378,0.003156,0.000018,0.012379,0.000887,0.148355,12.218427,127.038322,127.383614,127.038322,4.392295,7.999344,7.999344,0.995998,0.216878,0.333786,0.066223,0.995742,0.999840,0.997422,0.007866,0.018742,-0.004220,0.995742,0.999840,0.997422,-0.001348,-0.000975 
[27-02-17 00.26.21.136],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B04DDB,512,512,1,11.701124,0.064063,0.020790,0.002564,0.000010,0.010660,0.000704,0.098847,0.066224,0.020648,0.002512,0.000010,0.012735,0.000837,0.103014,0.066084,0.021328,0.003264,0.000014,0.011433,0.000630,0.102814,0.083632,0.026733,0.003081,0.000012,0.011017,0.000702,0.125237,0.089434,0.026918,0.004500,0.000016,0.013377,0.000857,0.135163,12.281475,127.038322,127.629452,127.038322,4.392295,7.999429,7.999429,0.996105,0.537419,0.334617,0.968577,0.998466,0.999872,0.995714,-0.018820,0.017980,0.003630,0.998466,0.999872,0.995714,0.003954,0.003016 
[27-02-17 00.27.44.819],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3A215,512,512,1,11.802003,0.068220,0.023063,0.003901,0.000012,0.011122,0.000851,0.107229,0.073838,0.028293,0.002915,0.000010,0.011534,0.001184,0.117839,0.078233,0.025640,0.004795,0.000017,0.013148,0.000838,0.122752,0.099802,0.031133,0.004279,0.000015,0.012764,0.001176,0.149261,0.102582,0.032380,0.004253,0.000017,0.012887,0.000740,0.152943,12.469710,127.038322,127.314594,127.038322,4.392295,7.999388,7.999388,0.996014,0.255418,0.334921,0.536631,0.997003,0.999847,0.995031,0.011989,-0.001466,0.019164,0.997003,0.999847,0.995031,-0.000131,-0.000497 
[27-02-17 00.29.09.505],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1C001,512,512,1,11.901462,0.062355,0.021404,0.003053,0.000012,0.010697,0.000858,0.098433,0.067901,0.020996,0.002497,0.000009,0.011704,0.001190,0.104360,0.061582,0.023636,0.002520,0.000010,0.010940,0.000731,0.099478,0.086949,0.028834,0.002657,0.000013,0.011732,0.000686,0.130924,0.081743,0.025582,0.004404,0.000016,0.014374,0.000942,0.127136,12.477849,127.038322,127.537560,127.038322,4.392295,7.999225,7.999225,0.996220,0.849261,0.334317,0.491213,0.997067,0.999846,0.996490,-0.019091,0.007271,-0.020798,0.997067,0.999846,0.996490,-0.001177,0.000171 
[27-02-17 00.30.32.782],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A6DA1,512,512,1,11.712883,0.066285,0.020844,0.004197,0.000013,0.011914,0.000886,0.104200,0.065146,0.020934,0.004467,0.000015,0.011224,0.000841,0.102687,0.059067,0.020681,0.004585,0.000014,0.012235,0.000733,0.097380,0.084042,0.030401,0.003953,0.000016,0.011508,0.000964,0.130956,0.081782,0.026861,0.002792,0.000011,0.013794,0.000734,0.126030,12.291234,127.038322,127.514111,127.038322,4.392295,7.999274,7.999274,0.995937,0.099613,0.334532,0.823697,0.997049,0.999869,0.996575,0.017196,-0.016225,0.023954,0.997049,0.999869,0.996575,-0.001715,-0.000892 
