script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, redIntensityPlain, greenIntensityPlain, blueIntensityPlain, redIntensityCipher, greenIntensityCipher, blueIntensityCipher, redIntensityDecipher, greenIntensityDecipher, blueIntensityDecipher, entropyRGBPlain,    entropyRGBCipher,     entropyRGBDecipher, entropyRedPlain,    entropyGreenPlain,    entropyBluePlain, entropyRedCipher,   entropyGreenCipher,   entropyBlueCipher, entropyRedDecipher, entropyGreenDecipher, entropyBlueDecipher, diff_RGB_NPCRscore,   diff_RGB_NPCRpval,   diff_RGB_UACIscore,   diff_RGB_UACIpval, diff_Red_NPCRscore,   diff_Red_NPCRpval,   diff_Red_UACIscore,   diff_Red_UACIpval, diff_Green_NPCRscore, diff_Green_NPCRpval, diff_Green_UACIscore, diff_Green_UACIpval, diff_Blue_NPCRscore,  diff_Blue_NPCRpval,  diff_Blue_UACIscore,  diff_Blue_UACIpval, corr_rgbPlain_H, corr_rgbPlain_V, corr_rgbPlain_D, corr_rgbCipher_H, corr_rgbCipher_V, corr_rgbCipher_D, corr_rgbDecipher_H, corr_rgbDecipher_V, corr_rgbDecipher_D, corr_redPlain_H, corr_redPlain_V, corr_redPlain_D, corr_greenPlain_H, corr_greenPlain_V, corr_greenPlain_D, corr_bluePlain_H, corr_bluePlain_V, corr_bluePlain_D, corr_redCipher_H, corr_redCipher_V, corr_redCipher_D, corr_greenCipher_H, corr_greenCipher_V, corr_greenCipher_D, corr_blueCipher_H, corr_blueCipher_V, corr_blueCipher_D, corr_redDecipher_H, corr_redDecipher_V, corr_redDecipher_D, corr_greenDecipher_H, corr_greenDecipher_V, corr_greenDecipher_D, corr_blueDecipher_H, corr_blueDecipher_V, corr_blueDecipher_D, corr_redKeySensCipher, corr_greenKeySensCipher, corr_blueKeySensCipher, corr_redKeySensDecipher, corr_greenKeySensDecipher, corr_blueKeySensDecipher  
[27-02-17 01.29.59.159],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F1D7A,512,512,3,35.352004,0.251011,0.083239,0.008638,0.000018,0.033149,0.002258,0.378392,0.228059,0.079859,0.011023,0.000022,0.030890,0.002512,0.352452,0.246056,0.078485,0.008298,0.000012,0.032512,0.002763,0.368208,0.246084,0.079478,0.010161,0.000023,0.031446,0.002291,0.369554,0.259577,0.078434,0.009143,0.000015,0.032202,0.002290,0.381725,37.249000,155.435745,168.225960,142.209373,127.660286,127.455971,127.546387,155.435745,168.225960,142.209373,7.485787,7.999747,7.485787,7.415627,7.229479,7.435384,7.999250,7.999294,7.999243,7.415627,7.229479,7.435384,0.996157,0.816970,0.334664,0.914487,0.996143,0.658013,0.334487,0.748702,0.996109,0.549835,0.334802,0.717829,0.996220,0.849261,0.334702,0.884728,0.956568,0.963402,0.920748,0.011343,-0.004458,-0.011112,0.956568,0.963402,0.920748,0.955726,0.941976,0.972002,0.962095,0.952699,0.975413,0.926735,0.889685,0.945824,-0.011053,0.027432,0.017649,-0.004515,-0.006425,-0.002434,-0.013868,-0.004102,-0.015366,0.955726,0.941976,0.972002,0.962095,0.952699,0.975413,0.926735,0.889685,0.945824,-0.002466,0.000453,0.001806,0.000408,0.000408,-0.000783 
[27-02-17 01.33.16.533],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDADD1C1,512,512,3,34.585540,0.238884,0.076513,0.011398,0.000014,0.035679,0.002655,0.365219,0.239119,0.076204,0.007695,0.000014,0.032584,0.002536,0.358224,0.251938,0.079100,0.010623,0.000014,0.031961,0.002560,0.376290,0.254772,0.080959,0.007972,0.000012,0.032995,0.002270,0.379044,0.258673,0.077269,0.008472,0.000018,0.033013,0.002283,0.379799,36.489476,155.435745,168.225960,142.209373,127.593117,127.454201,127.311993,155.435745,168.225960,142.209373,7.485787,7.999778,7.485787,7.415627,7.229479,7.435384,7.999354,7.999403,7.999320,7.415627,7.229479,7.435384,0.996085,0.449651,0.334351,0.286078,0.996319,0.967653,0.333983,0.158127,0.995892,0.048508,0.334446,0.682058,0.996044,0.341987,0.334623,0.978747,0.959174,0.952993,0.920154,-0.023409,-0.003012,0.017514,0.959174,0.952993,0.920154,0.956317,0.946417,0.974789,0.960407,0.934387,0.964184,0.918442,0.893028,0.948993,-0.019223,-0.028427,-0.022578,0.014028,-0.034787,0.011722,0.038879,0.011199,0.002465,0.956317,0.946417,0.974789,0.960407,0.934387,0.964184,0.918442,0.893028,0.948993,0.003453,-0.000373,-0.000447,0.002121,0.002121,-0.002746 
[27-02-17 01.36.30.815],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461A481,512,512,3,34.638346,0.239359,0.075632,0.009739,0.000014,0.034126,0.002365,0.361313,0.235821,0.080053,0.009171,0.000014,0.032479,0.002241,0.359837,0.242640,0.078975,0.008716,0.000018,0.031031,0.002269,0.363714,0.252886,0.080062,0.010959,0.000013,0.032437,0.002477,0.378903,0.258189,0.081983,0.010504,0.000012,0.034265,0.002726,0.387749,36.534266,155.435745,168.225960,142.209373,127.493523,127.525581,127.199539,155.435745,168.225960,142.209373,7.485787,7.999783,7.485787,7.415627,7.229479,7.435384,7.999243,7.999347,7.999357,7.415627,7.229479,7.435384,0.996109,0.585869,0.334364,0.309883,0.996132,0.622902,0.334914,0.546492,0.996117,0.574510,0.334732,0.835102,0.996078,0.450165,0.333448,0.010169,0.959552,0.961629,0.918778,0.001384,0.004260,0.000748,0.959552,0.961629,0.918778,0.959449,0.944152,0.975054,0.960336,0.951432,0.973119,0.922410,0.887624,0.946299,0.029525,-0.013152,-0.012221,-0.002626,0.012663,0.002745,0.007879,0.001486,-0.007120,0.959449,0.944152,0.975054,0.960336,0.951432,0.973119,0.922410,0.887624,0.946299,-0.000165,-0.001204,0.001652,0.001317,0.001317,0.001243 
[27-02-17 01.39.47.540],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03D261,512,512,3,34.595997,0.242195,0.077216,0.009197,0.000015,0.034729,0.002275,0.365698,0.233637,0.077098,0.008022,0.000016,0.034050,0.002175,0.355066,0.241514,0.078298,0.009696,0.000013,0.032758,0.002532,0.364872,0.252447,0.080003,0.007724,0.000012,0.034009,0.002649,0.376910,0.256383,0.080548,0.009403,0.000021,0.031532,0.002637,0.380593,36.482780,155.435745,168.225960,142.209373,127.441734,127.467789,127.558163,155.435745,168.225960,142.209373,7.485787,7.999743,7.485787,7.415627,7.229479,7.435384,7.999196,7.999286,7.999306,7.415627,7.229479,7.435384,0.996128,0.687258,0.334501,0.614579,0.996147,0.669436,0.334750,0.803402,0.996098,0.512489,0.334370,0.565229,0.996140,0.646443,0.334383,0.585049,0.952708,0.955161,0.921877,0.012010,0.005450,-0.000609,0.952708,0.955161,0.921877,0.949626,0.935292,0.973207,0.955323,0.941747,0.968413,0.923461,0.894307,0.947864,0.010413,-0.005149,0.030767,0.004719,-0.005784,0.017416,0.004903,-0.009470,0.002739,0.949626,0.935292,0.973207,0.955323,0.941747,0.968413,0.923461,0.894307,0.947864,0.000547,-0.001966,0.003985,0.001808,0.001808,0.001264 
[27-02-17 01.43.04.481],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266E112,512,512,3,34.665966,0.221626,0.075389,0.008496,0.000012,0.032622,0.002534,0.340753,0.232956,0.081352,0.011155,0.000014,0.030180,0.002182,0.357902,0.235809,0.074025,0.010682,0.000042,0.032315,0.002597,0.355549,0.251234,0.078160,0.011596,0.000012,0.035265,0.002237,0.378566,0.255610,0.080287,0.009571,0.000018,0.031812,0.002610,0.379972,36.522614,155.435745,168.225960,142.209373,127.492287,127.321754,127.532410,155.435745,168.225960,142.209373,7.485787,7.999766,7.485787,7.415627,7.229479,7.435384,7.999140,7.999257,7.999413,7.415627,7.229479,7.435384,0.996169,0.856918,0.335102,0.080480,0.996143,0.658013,0.334673,0.935505,0.996212,0.834138,0.335397,0.099304,0.996151,0.680704,0.335235,0.194184,0.948225,0.951547,0.922897,0.004125,-0.007003,0.003535,0.948225,0.951547,0.922897,0.950243,0.925613,0.968821,0.950687,0.936826,0.967129,0.921484,0.900169,0.947038,-0.022433,0.011702,0.023106,-0.015284,0.011749,-0.017474,0.006408,0.006296,-0.002100,0.950243,0.925613,0.968821,0.950687,0.936826,0.967129,0.921484,0.900169,0.947038,0.000645,0.001547,-0.000161,0.004412,0.004412,0.002113 
[27-02-17 01.46.21.752],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C824329799C3,512,512,3,34.792849,0.226257,0.080603,0.008387,0.000015,0.030785,0.002052,0.348186,0.238812,0.075638,0.009759,0.000012,0.032678,0.002725,0.359699,0.249476,0.078576,0.008339,0.000013,0.032120,0.002832,0.371423,0.250230,0.079059,0.007945,0.000012,0.032910,0.002833,0.373053,0.250318,0.079723,0.010916,0.000013,0.033568,0.002374,0.376983,36.670301,155.435745,168.225960,142.209373,126.998199,127.392456,127.474438,155.435745,168.225960,142.209373,7.485787,7.999694,7.485787,7.415627,7.229479,7.435384,7.999175,7.999144,7.999164,7.415627,7.229479,7.435384,0.996062,0.325657,0.334404,0.385527,0.995998,0.216878,0.334247,0.400747,0.996120,0.586744,0.334520,0.803477,0.996067,0.413256,0.334444,0.678974,0.956797,0.960111,0.915287,0.002623,-0.005020,0.012120,0.956797,0.960111,0.915287,0.957362,0.940761,0.972267,0.957105,0.949724,0.973504,0.915934,0.885486,0.944441,0.011892,0.011762,-0.015786,-0.000735,0.003905,-0.018228,0.021835,-0.001283,0.015807,0.957362,0.940761,0.972267,0.957105,0.949724,0.973504,0.915934,0.885486,0.944441,-0.000479,-0.001078,-0.002939,-0.000222,-0.000222,0.001136 
[27-02-17 01.49.39.469],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B04DDB,512,512,3,34.593412,0.253138,0.076351,0.011182,0.000022,0.032117,0.002521,0.375410,0.246407,0.079421,0.008007,0.000011,0.032903,0.002817,0.369641,0.247891,0.076436,0.008579,0.000013,0.034129,0.002392,0.369497,0.245183,0.079424,0.008616,0.000018,0.032631,0.002558,0.368500,0.262878,0.080194,0.010259,0.000020,0.033715,0.002421,0.389575,36.513857,155.435745,168.225960,142.209373,127.675098,127.484234,127.375610,155.435745,168.225960,142.209373,7.485787,7.999753,7.485787,7.415627,7.229479,7.435384,7.999394,7.999179,7.999318,7.415627,7.229479,7.435384,0.996131,0.699947,0.334254,0.152877,0.996105,0.537419,0.333903,0.112932,0.996128,0.610952,0.334368,0.563195,0.996159,0.702738,0.334491,0.754573,0.952817,0.955998,0.927096,-0.008878,0.018471,0.011039,0.952817,0.955998,0.927096,0.950556,0.937110,0.970785,0.953746,0.943845,0.970403,0.924331,0.904923,0.952032,-0.010075,0.007420,-0.023978,0.012409,0.050060,-0.007057,0.007043,0.012228,0.013845,0.950556,0.937110,0.970785,0.953746,0.943845,0.970403,0.924331,0.904923,0.952032,0.002390,-0.000585,-0.000058,0.002831,0.002831,-0.001732 
[27-02-17 01.52.57.399],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3A215,512,512,3,34.590088,0.247242,0.079616,0.008721,0.000013,0.032720,0.002686,0.371073,0.241022,0.077674,0.007661,0.000012,0.035082,0.002216,0.363730,0.240744,0.080173,0.010842,0.000015,0.032920,0.002751,0.367518,0.252723,0.082361,0.007751,0.000012,0.033691,0.002521,0.379129,0.263108,0.082209,0.008702,0.000012,0.032434,0.002888,0.389420,36.508740,155.435745,168.225960,142.209373,127.567471,127.838436,127.533329,155.435745,168.225960,142.209373,7.485787,7.999773,7.485787,7.415627,7.229479,7.435384,7.999250,7.999383,7.999232,7.415627,7.229479,7.435384,0.996054,0.287602,0.334431,0.443064,0.996014,0.255418,0.334525,0.812002,0.996212,0.834138,0.333597,0.024692,0.995937,0.099613,0.335169,0.247889,0.953591,0.953082,0.914663,0.010897,-0.015872,0.001464,0.953591,0.953082,0.914663,0.951409,0.937319,0.972045,0.951672,0.941173,0.966399,0.920867,0.881882,0.941240,0.023620,-0.001436,0.010509,-0.011208,-0.031925,-0.004483,0.021561,-0.003642,-0.013526,0.951409,0.937319,0.972045,0.951672,0.941173,0.966399,0.920867,0.881882,0.941240,-0.001550,-0.000975,-0.000857,-0.001168,-0.001168,0.003648 
[27-02-17 01.56.19.177],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1C001,512,512,3,36.062600,0.241765,0.079089,0.009554,0.000017,0.033390,0.002884,0.366771,0.237675,0.078968,0.008682,0.000016,0.033979,0.002595,0.361989,0.241298,0.076334,0.011146,0.000019,0.031644,0.002115,0.362630,0.258758,0.084715,0.008574,0.000013,0.033280,0.002491,0.387894,0.261554,0.082108,0.010793,0.000014,0.032395,0.002814,0.389761,37.982352,155.435745,168.225960,142.209373,127.400612,127.615196,127.448109,155.435745,168.225960,142.209373,7.485787,7.999735,7.485787,7.415627,7.229479,7.435384,7.999245,7.999302,7.999321,7.415627,7.229479,7.435384,0.996109,0.585869,0.334366,0.311792,0.996220,0.849261,0.333929,0.126636,0.996147,0.669436,0.334826,0.679614,0.995960,0.136563,0.334341,0.523864,0.949473,0.957969,0.920193,-0.000067,0.002627,-0.000006,0.949473,0.957969,0.920193,0.946351,0.933239,0.968830,0.962405,0.942722,0.968781,0.918757,0.892628,0.949195,-0.005074,0.009855,-0.004982,-0.004095,0.025050,-0.013073,0.010077,-0.005043,-0.005053,0.946351,0.933239,0.968830,0.962405,0.942722,0.968781,0.918757,0.892628,0.949195,0.000494,0.000727,0.001000,-0.001069,-0.001069,0.003501 
[27-02-17 01.59.41.033],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A6DA1,512,512,3,34.697295,0.237237,0.079075,0.008591,0.000014,0.032874,0.002704,0.360572,0.237024,0.074391,0.008513,0.000013,0.032740,0.002674,0.355419,0.241471,0.075056,0.010430,0.000018,0.035837,0.002890,0.365775,0.255813,0.077802,0.009349,0.000013,0.032676,0.002874,0.378603,0.261583,0.079042,0.009460,0.000013,0.033303,0.002311,0.385785,36.588220,155.435745,168.225960,142.209373,127.645786,127.680321,127.755322,155.435745,168.225960,142.209373,7.485787,7.999777,7.485787,7.415627,7.229479,7.435384,7.999380,7.999271,7.999283,7.415627,7.229479,7.435384,0.996164,0.839953,0.334393,0.364326,0.995937,0.099613,0.334388,0.592368,0.996246,0.894797,0.334347,0.533180,0.996307,0.960236,0.334445,0.679851,0.962071,0.955250,0.908417,0.007804,-0.005203,0.006532,0.962071,0.955250,0.908417,0.959889,0.949566,0.976759,0.957061,0.941024,0.967665,0.919564,0.872456,0.933232,0.008929,-0.006366,0.020849,-0.008389,-0.002702,-0.004518,0.011623,0.018623,-0.010650,0.959889,0.949566,0.976759,0.957061,0.941024,0.967665,0.919564,0.872456,0.933232,0.000108,-0.001158,-0.000675,0.000669,0.000669,0.001551 
