script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, intensityPlain, intensityCipher, intensityDecipher, entropyPlain, entropyCipher, entropyDecipher, diff_NPCRscore, diff_NPCRpval, diff_UACIscore, diff_UACIpval, corr_plain_H, corr_plain_V, corr_plain_D, corr_cipher_H, corr_cipher_V, corr_cipher_D, corr_decipher_H, corr_decipher_V, corr_decipher_D, corr_keySensCipher, corr_keySensDecipher  
[27-02-17 04.16.21.236],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F1D7A,512,512,1,11.689898,0.080694,0.023562,0.003451,0.000012,0.010967,0.001169,0.119926,0.074672,0.029258,0.002944,0.000018,0.011431,0.001554,0.119942,0.079308,0.025473,0.004249,0.000015,0.011319,0.000936,0.121370,0.090522,0.026652,0.002518,0.000009,0.011195,0.001154,0.132110,0.090490,0.030547,0.003310,0.000015,0.012050,0.001247,0.137729,12.338341,103.519405,127.490971,103.519405,7.729247,7.999308,7.999308,0.996143,0.658013,0.333697,0.042213,0.743661,0.703792,0.640166,0.008773,-0.018588,-0.013995,0.743661,0.703792,0.640166,-0.001560,0.000780 
[27-02-17 04.17.51.566],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDADD1C1,512,512,1,11.766329,0.081509,0.027088,0.002721,0.000016,0.011457,0.001330,0.124194,0.074204,0.026254,0.002507,0.000009,0.011000,0.001058,0.115092,0.074169,0.025857,0.002714,0.000010,0.011392,0.001134,0.115338,0.090293,0.032036,0.004050,0.000017,0.011301,0.001001,0.138773,0.088570,0.027098,0.003202,0.000016,0.011785,0.001258,0.132000,12.411389,103.519405,127.402409,103.519405,7.729247,7.999201,7.999201,0.996319,0.967653,0.334696,0.896291,0.735192,0.731918,0.636523,-0.010992,0.020674,0.007330,0.735192,0.731918,0.636523,0.002474,-0.000709 
[27-02-17 04.19.22.098],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461A481,512,512,1,11.729255,0.075723,0.025866,0.003509,0.000014,0.010054,0.001142,0.116371,0.077231,0.024519,0.002619,0.000009,0.011702,0.001091,0.117239,0.081167,0.025143,0.004078,0.000014,0.010724,0.001144,0.122344,0.088160,0.025817,0.003861,0.000018,0.011809,0.001017,0.130758,0.089613,0.027103,0.003341,0.000017,0.011413,0.000967,0.132534,12.366944,103.519405,127.315487,103.519405,7.729247,7.999339,7.999339,0.996132,0.622902,0.335563,0.044835,0.733153,0.698936,0.597013,0.010883,0.009497,-0.006706,0.733153,0.698936,0.597013,0.000453,0.001033 
[27-02-17 04.20.52.840],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03D261,512,512,1,11.676759,0.077200,0.025180,0.002834,0.000011,0.010288,0.001267,0.116834,0.074223,0.026656,0.002518,0.000009,0.011085,0.000885,0.115427,0.074799,0.025273,0.002601,0.000011,0.010588,0.001155,0.114491,0.095724,0.027975,0.002651,0.000012,0.011670,0.000880,0.138972,0.088785,0.026585,0.003055,0.000024,0.010668,0.001090,0.130275,12.309567,103.519405,127.457592,103.519405,7.729247,7.999330,7.999330,0.996147,0.669436,0.334378,0.576932,0.750705,0.719460,0.661263,-0.008214,0.015561,-0.001116,0.750705,0.719460,0.661263,-0.000063,0.000743 
[27-02-17 04.22.22.943],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266E112,512,512,1,11.998674,0.079648,0.026357,0.002776,0.000018,0.011133,0.000874,0.120869,0.076690,0.024915,0.002528,0.000010,0.010789,0.001019,0.116017,0.077433,0.025287,0.002552,0.000011,0.011194,0.001139,0.117670,0.085882,0.026513,0.003266,0.000017,0.011090,0.001160,0.127990,0.087707,0.030391,0.004293,0.000021,0.012813,0.001030,0.136326,12.631736,103.519405,127.372227,103.519405,7.729247,7.999205,7.999205,0.996143,0.658013,0.334505,0.778097,0.755372,0.693100,0.643590,-0.014293,0.001991,0.002958,0.755372,0.693100,0.643590,0.000826,0.001525 
[27-02-17 04.23.53.535],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C824329799C3,512,512,1,11.725067,0.082969,0.025767,0.004323,0.000016,0.011879,0.000894,0.125915,0.076427,0.026275,0.003368,0.000018,0.012357,0.001186,0.119701,0.074414,0.025884,0.002700,0.000010,0.010619,0.001061,0.114754,0.082335,0.025872,0.002926,0.000012,0.011889,0.001392,0.124498,0.088478,0.026928,0.002602,0.000014,0.010795,0.000900,0.129774,12.355848,103.519405,127.502598,103.519405,7.729247,7.999376,7.999376,0.995998,0.216878,0.334339,0.520959,0.721656,0.705796,0.607827,-0.009712,0.016353,0.001987,0.721656,0.705796,0.607827,-0.000392,-0.001908 
[27-02-17 04.25.23.630],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B04DDB,512,512,1,11.776737,0.079827,0.025984,0.002750,0.000010,0.010640,0.001441,0.120715,0.076442,0.025864,0.003209,0.000011,0.011015,0.001388,0.117995,0.081555,0.023399,0.002893,0.000012,0.010942,0.001095,0.119964,0.086177,0.027087,0.002518,0.000010,0.010866,0.001092,0.127811,0.091005,0.028911,0.002677,0.000009,0.010596,0.001139,0.134411,12.414780,103.519405,127.480408,103.519405,7.729247,7.999338,7.999338,0.996105,0.537419,0.334466,0.714372,0.755993,0.707594,0.641188,0.005660,0.009400,0.027765,0.755993,0.707594,0.641188,0.002372,0.006509 
[27-02-17 04.26.54.923],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3A215,512,512,1,11.745245,0.078103,0.025790,0.002666,0.000010,0.011558,0.001140,0.119333,0.074521,0.024056,0.002512,0.000011,0.011575,0.000878,0.113607,0.081313,0.026739,0.002708,0.000010,0.010895,0.000981,0.122708,0.088186,0.027409,0.003725,0.000016,0.011383,0.000899,0.131682,0.090125,0.027721,0.002955,0.000015,0.012276,0.001233,0.134395,12.382328,103.519405,127.418739,103.519405,7.729247,7.999329,7.999329,0.996014,0.255418,0.335154,0.261715,0.724606,0.713673,0.595418,0.010147,0.001872,-0.007345,0.724606,0.713673,0.595418,-0.003881,-0.000168 
[27-02-17 04.28.25.192],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1C001,512,512,1,11.757648,0.077510,0.025457,0.002541,0.000009,0.010489,0.001080,0.117155,0.075936,0.024791,0.002583,0.000013,0.010967,0.001138,0.115488,0.076099,0.023503,0.003243,0.000012,0.011007,0.001088,0.115016,0.089675,0.026912,0.002926,0.000012,0.010599,0.001247,0.131438,0.094562,0.031301,0.003913,0.000015,0.012043,0.000871,0.142774,12.397178,103.519405,127.563686,103.519405,7.729247,7.999348,7.999348,0.996220,0.849261,0.334001,0.169981,0.743074,0.744567,0.630160,-0.008790,0.009794,-0.008482,0.743074,0.744567,0.630160,0.000106,-0.000420 
[27-02-17 04.29.56.999],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A6DA1,512,512,1,11.719465,0.081751,0.027644,0.002523,0.000011,0.010561,0.001006,0.123554,0.079743,0.025338,0.002874,0.000011,0.012288,0.001094,0.121414,0.077185,0.025914,0.002674,0.000011,0.011211,0.001028,0.118083,0.095018,0.028950,0.004283,0.000017,0.011454,0.001050,0.140837,0.091129,0.026960,0.002606,0.000011,0.010716,0.001350,0.132835,12.374246,103.519405,127.443802,103.519405,7.729247,7.999266,7.999266,0.995937,0.099613,0.334189,0.333992,0.756188,0.742789,0.634422,0.007651,0.003645,0.025121,0.756188,0.742789,0.634422,-0.000159,-0.001417 
