script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, intensityPlain, intensityCipher, intensityDecipher, entropyPlain, entropyCipher, entropyDecipher, diff_NPCRscore, diff_NPCRpval, diff_UACIscore, diff_UACIpval, corr_plain_H, corr_plain_V, corr_plain_D, corr_cipher_H, corr_cipher_V, corr_cipher_D, corr_decipher_H, corr_decipher_V, corr_decipher_D, corr_keySensCipher, corr_keySensDecipher  
[27-02-17 05.30.43.172],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F1D7A,512,512,1,11.770725,0.071677,0.022838,0.004008,0.000012,0.010571,0.001121,0.110280,0.066721,0.022635,0.004360,0.000015,0.013265,0.001130,0.108198,0.076239,0.023186,0.002500,0.000010,0.010827,0.001218,0.114048,0.085524,0.026813,0.002517,0.000010,0.013091,0.001223,0.129243,0.086085,0.026499,0.003020,0.000012,0.011114,0.001339,0.128152,12.377898,226.940117,127.199944,226.940117,0.500033,7.999305,7.999305,0.996143,0.658013,0.334680,0.922797,0.427305,0.491782,-0.025049,-0.002106,0.008915,-0.021104,0.427305,0.491782,-0.025049,0.000286,-0.002142 
[27-02-17 05.32.11.227],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDADD1C1,512,512,1,11.772984,0.066698,0.020758,0.003561,0.000012,0.011567,0.001148,0.103801,0.070374,0.023533,0.002565,0.000010,0.011493,0.001329,0.109376,0.072343,0.022709,0.002516,0.000010,0.011120,0.001155,0.109904,0.086253,0.026657,0.003411,0.000015,0.011174,0.001294,0.128874,0.091019,0.028477,0.002507,0.000009,0.011600,0.001249,0.134919,12.376293,226.940117,127.544434,226.940117,0.500033,7.999219,7.999219,0.996319,0.967653,0.334208,0.355187,0.473736,0.448515,-0.018205,0.012650,-0.009499,0.027838,0.473736,0.448515,-0.018205,0.002624,0.000986 
[27-02-17 05.33.39.239],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461A481,512,512,1,11.781116,0.077023,0.020698,0.004466,0.000015,0.012317,0.001181,0.115764,0.069620,0.021695,0.003253,0.000015,0.010835,0.000996,0.106469,0.075918,0.023365,0.002530,0.000011,0.011501,0.001271,0.114662,0.087906,0.027809,0.002399,0.000009,0.010899,0.001177,0.130253,0.086918,0.032244,0.002974,0.000012,0.015834,0.001167,0.139208,12.404597,226.940117,127.324455,226.940117,0.500033,7.999275,7.999275,0.996132,0.622902,0.334967,0.473577,0.414052,0.467368,-0.028196,0.012885,0.009187,0.007482,0.414052,0.467368,-0.028196,0.000076,0.001105 
[27-02-17 05.35.07.053],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03D261,512,512,1,11.746338,0.071704,0.022194,0.004480,0.000014,0.011696,0.001252,0.111416,0.068311,0.021534,0.004466,0.000014,0.011953,0.001027,0.107392,0.069000,0.022022,0.002888,0.000014,0.013815,0.001178,0.108981,0.084891,0.029289,0.002943,0.000014,0.011159,0.001156,0.129526,0.091495,0.027812,0.002548,0.000010,0.011401,0.000987,0.134311,12.355715,226.940117,127.635857,226.940117,0.500033,7.999293,7.999293,0.996147,0.669436,0.334406,0.620021,0.415694,0.401819,-0.039295,-0.005112,0.013466,0.021588,0.415694,0.401819,-0.039295,-0.000863,-0.000766 
[27-02-17 05.36.35.199],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266E112,512,512,1,11.777439,0.071138,0.021307,0.002570,0.000009,0.011514,0.000994,0.107583,0.071193,0.021515,0.003824,0.000013,0.012395,0.001273,0.110271,0.063995,0.020937,0.004230,0.000018,0.011642,0.000984,0.101878,0.088153,0.027046,0.003911,0.000016,0.011370,0.001348,0.131910,0.090414,0.026709,0.002599,0.000018,0.013024,0.001240,0.134076,12.378359,226.940117,127.668678,226.940117,0.500033,7.999339,7.999339,0.996143,0.658013,0.334638,0.996333,0.442564,0.453462,-0.012777,-0.031273,-0.028175,0.006687,0.442564,0.453462,-0.012777,0.000484,0.000018 
[27-02-17 05.38.02.747],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C824329799C3,512,512,1,11.805555,0.064643,0.020334,0.003077,0.000015,0.012857,0.001197,0.102181,0.064995,0.022412,0.003534,0.000012,0.010912,0.001177,0.103103,0.069717,0.022618,0.003948,0.000016,0.010771,0.001158,0.108296,0.091022,0.025850,0.002500,0.000010,0.011798,0.001224,0.132469,0.094424,0.026439,0.002515,0.000012,0.011685,0.001840,0.136986,12.405532,226.940117,127.357346,226.940117,0.500033,7.999268,7.999268,0.995998,0.216878,0.334035,0.193861,0.463854,0.439426,-0.026167,0.011185,0.001711,0.012996,0.463854,0.439426,-0.026167,-0.000527,-0.002917 
[27-02-17 05.39.30.737],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B04DDB,512,512,1,11.791893,0.075282,0.020645,0.002515,0.000009,0.010920,0.001190,0.110613,0.067406,0.022554,0.003552,0.000016,0.010340,0.001276,0.105208,0.063750,0.021410,0.003655,0.000012,0.010834,0.001302,0.101022,0.087089,0.026465,0.002527,0.000010,0.011141,0.001615,0.128912,0.087336,0.025976,0.004245,0.000018,0.010962,0.001446,0.130064,12.384996,226.940117,127.499218,226.940117,0.500033,7.999348,7.999348,0.996105,0.537419,0.334124,0.268264,0.484178,0.438505,-0.008518,-0.023306,0.005094,0.006564,0.484178,0.438505,-0.008518,0.003891,0.008433 
[27-02-17 05.40.59.416],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3A215,512,512,1,11.756006,0.067545,0.025293,0.004360,0.000020,0.011123,0.001355,0.109771,0.070570,0.022392,0.002746,0.000010,0.011559,0.001403,0.108748,0.071015,0.022398,0.002510,0.000009,0.010958,0.001282,0.108227,0.083245,0.030144,0.002755,0.000010,0.011383,0.001298,0.128905,0.091936,0.027564,0.003808,0.000017,0.012112,0.001676,0.137184,12.366115,226.940117,127.357685,226.940117,0.500033,7.999371,7.999371,0.996014,0.255418,0.335033,0.389094,0.479487,0.467233,-0.042045,-0.004424,-0.007004,0.009113,0.479487,0.467233,-0.042045,-0.000979,-0.000614 
[27-02-17 05.42.28.184],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1C001,512,512,1,11.865677,0.064938,0.023427,0.002577,0.000013,0.011134,0.000984,0.103137,0.067783,0.021957,0.002901,0.000009,0.011485,0.001157,0.105349,0.067207,0.023330,0.002530,0.000010,0.011703,0.001142,0.105978,0.088409,0.026244,0.003379,0.000012,0.011964,0.000962,0.131036,0.094070,0.027340,0.003534,0.000017,0.012868,0.000960,0.138849,12.465362,226.940117,127.332909,226.940117,0.500033,7.999288,7.999288,0.996220,0.849261,0.334114,0.259520,0.443462,0.475965,-0.025019,-0.017602,-0.011931,-0.025596,0.443462,0.475965,-0.025019,-0.002198,-0.000716 
[27-02-17 05.43.58.201],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A6DA1,512,512,1,11.874767,0.076224,0.026257,0.002590,0.000012,0.011280,0.001220,0.117642,0.071507,0.021664,0.002767,0.000012,0.011365,0.001262,0.108635,0.069852,0.020606,0.002499,0.000009,0.012014,0.000980,0.106009,0.086671,0.025220,0.002533,0.000011,0.012824,0.001153,0.128463,0.095152,0.028274,0.003292,0.000017,0.012359,0.001423,0.140589,12.492219,226.940117,127.499378,226.940117,0.500033,7.999342,7.999342,0.995937,0.099613,0.334288,0.452157,0.454456,0.475494,-0.023239,-0.012999,-0.004820,0.002103,0.454456,0.475494,-0.023239,0.000943,-0.001507 
