script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, intensityPlain, intensityCipher, intensityDecipher, entropyPlain, entropyCipher, entropyDecipher, diff_NPCRscore, diff_NPCRpval, diff_UACIscore, diff_UACIpval, corr_plain_H, corr_plain_V, corr_plain_D, corr_cipher_H, corr_cipher_V, corr_cipher_D, corr_decipher_H, corr_decipher_V, corr_decipher_D, corr_keySensCipher, corr_keySensDecipher  
[27-02-17 06.45.29.024],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F1D7A,1024,1024,1,46.171572,0.257523,0.088788,0.012057,0.000013,0.047600,0.002501,0.408559,0.256705,0.087272,0.014057,0.000014,0.042416,0.003363,0.403902,0.254021,0.086160,0.015529,0.000017,0.045269,0.002391,0.403463,0.350521,0.111529,0.011988,0.000012,0.044866,0.003032,0.522028,0.354308,0.108020,0.012236,0.000012,0.043105,0.002479,0.520237,48.497204,124.616351,127.495465,124.616351,4.407726,7.999827,7.999827,0.996066,0.324910,0.334319,0.170369,0.761530,0.807329,0.677168,0.013455,-0.010483,-0.010343,0.761530,0.807329,0.677168,-0.001790,-0.000492 
[27-02-17 06.47.54.480],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDADD1C1,1024,1024,1,46.174248,0.255189,0.095399,0.013003,0.000012,0.043721,0.003537,0.410935,0.270100,0.089431,0.010791,0.000011,0.043511,0.002517,0.416433,0.265247,0.089399,0.013574,0.000017,0.048070,0.003316,0.419707,0.346769,0.109294,0.011643,0.000016,0.043633,0.003144,0.514571,0.339084,0.112407,0.011016,0.000012,0.043279,0.002435,0.508309,48.510027,124.616351,127.307620,124.616351,4.407726,7.999826,7.999826,0.996053,0.250413,0.334715,0.730958,0.740757,0.798288,0.686327,-0.000795,0.015572,0.010513,0.740757,0.798288,0.686327,0.000984,0.000498 
[27-02-17 06.50.19.685],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461A481,1024,1024,1,46.526938,0.264797,0.091579,0.011108,0.000012,0.048127,0.002434,0.418136,0.260280,0.094498,0.013085,0.000016,0.045944,0.002999,0.416902,0.271718,0.090306,0.013310,0.000016,0.049560,0.003257,0.428263,0.351486,0.110795,0.011499,0.000012,0.044684,0.002854,0.521400,0.333877,0.105542,0.012202,0.000013,0.044972,0.002058,0.498749,48.884683,124.616351,127.550891,124.616351,4.407726,7.999810,7.999810,0.996085,0.443974,0.335191,0.016234,0.742568,0.815810,0.680394,-0.006515,-0.023656,-0.025003,0.742568,0.815810,0.680394,-0.000729,-0.000336 
[27-02-17 06.52.47.562],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03D261,1024,1024,1,46.854162,0.316093,0.103706,0.017607,0.000018,0.056966,0.002478,0.496954,0.269724,0.090801,0.012929,0.000013,0.044090,0.002640,0.420281,0.258209,0.086165,0.013931,0.000013,0.045664,0.002258,0.406314,0.346846,0.106960,0.012303,0.000012,0.044022,0.002949,0.513165,0.344656,0.107593,0.013354,0.000014,0.043720,0.002708,0.512108,49.275088,124.616351,127.778258,124.616351,4.407726,7.999801,7.999801,0.996113,0.622902,0.334644,0.968990,0.783935,0.798123,0.715789,0.005748,-0.004244,0.011402,0.783935,0.798123,0.715789,-0.001166,-0.000273 
[27-02-17 06.55.14.185],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266E112,1024,1024,1,46.405157,0.253661,0.079439,0.010848,0.000013,0.042642,0.001680,0.388349,0.245938,0.083435,0.013532,0.000013,0.043944,0.002569,0.389506,0.257929,0.086817,0.010973,0.000013,0.043093,0.002753,0.401646,0.353763,0.104659,0.010964,0.000013,0.044560,0.002774,0.516802,0.351660,0.112248,0.015540,0.000013,0.046767,0.002024,0.528330,48.693553,124.616351,127.532901,124.616351,4.407726,7.999818,7.999818,0.996101,0.549835,0.334532,0.655768,0.747190,0.801030,0.707586,0.020827,0.020767,-0.012393,0.747190,0.801030,0.707586,0.000579,-0.000263 
[27-02-17 06.57.39.700],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C824329799C3,1024,1024,1,45.946647,0.257903,0.086868,0.011756,0.000012,0.045963,0.002343,0.404932,0.273808,0.091030,0.010753,0.000012,0.044697,0.002580,0.422958,0.252869,0.086505,0.013811,0.000013,0.043573,0.003494,0.400342,0.329728,0.103250,0.011247,0.000018,0.044383,0.002266,0.490967,0.334059,0.108046,0.011833,0.000016,0.043786,0.002438,0.500254,48.235264,124.616351,127.428720,124.616351,4.407726,7.999806,7.999806,0.996079,0.407169,0.334652,0.942586,0.766598,0.788924,0.697010,-0.014580,-0.011012,-0.040779,0.766598,0.788924,0.697010,0.000650,0.000158 
[27-02-17 07.00.04.526],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B04DDB,1024,1024,1,45.963442,0.258836,0.086211,0.011580,0.000020,0.045006,0.003325,0.405069,0.243776,0.084675,0.011228,0.000012,0.045998,0.002675,0.388441,0.265306,0.097069,0.015014,0.000017,0.046675,0.002347,0.426514,0.362703,0.136915,0.017974,0.000024,0.063943,0.021883,0.603538,0.403202,0.118546,0.012604,0.000015,0.043247,0.003014,0.580706,48.446936,124.616351,127.502863,124.616351,4.407726,7.999805,7.999805,0.996133,0.739524,0.334505,0.571286,0.780933,0.786678,0.715827,-0.007430,-0.007259,-0.002758,0.780933,0.786678,0.715827,0.000776,0.000725 
[27-02-17 07.02.30.868],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3A215,1024,1024,1,46.079893,0.260742,0.086924,0.011085,0.000018,0.042827,0.002648,0.404326,0.260272,0.086811,0.013423,0.000017,0.046716,0.002301,0.409621,0.264672,0.087634,0.011430,0.000014,0.044770,0.002850,0.411444,0.335509,0.111991,0.011307,0.000012,0.043676,0.003359,0.505931,0.343233,0.111159,0.011302,0.000011,0.042726,0.002606,0.511112,48.389869,124.616351,127.538679,124.616351,4.407726,7.999825,7.999825,0.995998,0.058726,0.334391,0.290462,0.760973,0.782666,0.704422,-0.002914,0.009162,-0.005486,0.760973,0.782666,0.704422,0.001015,0.000278 
[27-02-17 07.04.56.794],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1C001,1024,1024,1,45.981642,0.252944,0.085582,0.011729,0.000012,0.046259,0.002876,0.399480,0.266456,0.086367,0.011735,0.000012,0.042162,0.002333,0.409138,0.257927,0.084199,0.014029,0.000013,0.044018,0.002243,0.402505,0.346861,0.108738,0.013886,0.000013,0.043139,0.002100,0.514816,0.347045,0.106137,0.012101,0.000019,0.043587,0.004499,0.513469,48.292846,124.616351,127.504539,124.616351,4.407726,7.999818,7.999818,0.996099,0.531197,0.334411,0.330619,0.789304,0.794560,0.746654,-0.026428,0.005527,-0.016119,0.789304,0.794560,0.746654,0.000071,0.000883 
[27-02-17 07.07.21.315],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A6DA1,1024,1024,1,46.086299,0.268930,0.088575,0.011405,0.000014,0.043950,0.002328,0.415281,0.262713,0.084589,0.011695,0.000012,0.042765,0.002615,0.404456,0.267835,0.088910,0.010967,0.000012,0.045300,0.002882,0.415992,0.335307,0.109146,0.013464,0.000013,0.043105,0.003020,0.504126,0.339941,0.105368,0.012234,0.000012,0.044443,0.003623,0.505714,48.396052,124.616351,127.415816,124.616351,4.407726,7.999825,7.999825,0.996119,0.658013,0.334584,0.825221,0.734214,0.824372,0.705469,0.022034,0.002006,-0.024240,0.734214,0.824372,0.705469,-0.001482,0.000552 
[27-02-17 07.09.46.867],FF834E94C9D2B7A78569,FF834E94C9D2B7A78769,0C6B1AA48E2F0A5865D0,1024,1024,1,46.073448,0.261138,0.088777,0.012766,0.000016,0.043143,0.002727,0.408649,0.252983,0.087506,0.010799,0.000012,0.041645,0.003085,0.396101,0.253982,0.090944,0.015261,0.000012,0.044288,0.002312,0.406879,0.331857,0.103434,0.011018,0.000013,0.042818,0.002725,0.491959,0.329527,0.108533,0.012063,0.000012,0.044107,0.002857,0.497169,48.345323,124.616351,127.445091,124.616351,4.407726,7.999831,7.999831,0.996060,0.291864,0.334596,0.865711,0.769108,0.790936,0.699610,0.011395,-0.026245,0.005569,0.769108,0.790936,0.699610,-0.000113,-0.000142 
[27-02-17 07.12.12.504],38A7118D4AEC77FED4B5,38A7158D4AEC77FED4B5,B594C1A86789C95DA35D,1024,1024,1,45.878824,0.252734,0.084801,0.012575,0.000012,0.044192,0.002539,0.396941,0.257858,0.091645,0.014974,0.000018,0.044989,0.002269,0.411838,0.270355,0.086722,0.010988,0.000013,0.041910,0.002317,0.412377,0.337418,0.108535,0.013026,0.000019,0.043840,0.003524,0.506453,0.346539,0.112096,0.013032,0.000013,0.042918,0.002698,0.517372,48.193237,124.616351,127.570126,124.616351,4.407726,7.999807,7.999807,0.996146,0.805397,0.334930,0.202976,0.761449,0.801563,0.677251,-0.006523,0.002090,0.003335,0.761449,0.801563,0.677251,0.001503,0.001055 
[27-02-17 07.14.39.482],6C26C7CD54255BA75C01,6C26C7CD74255BA75C01,E58F9339177D84525939,1024,1024,1,46.100223,0.260486,0.085990,0.011781,0.000017,0.042563,0.004462,0.405390,0.250550,0.091815,0.012481,0.000013,0.044316,0.004028,0.403286,0.256824,0.090164,0.014481,0.000012,0.044368,0.003936,0.409852,0.341963,0.103944,0.012190,0.000014,0.044746,0.002303,0.505240,0.351495,0.109367,0.010451,0.000014,0.045164,0.002275,0.518848,48.414208,124.616351,127.511081,124.616351,4.407726,7.999823,7.999823,0.996200,0.958875,0.334519,0.614834,0.751463,0.800448,0.682582,-0.002796,0.002423,-0.004017,0.751463,0.800448,0.682582,-0.001089,-0.000017 
[27-02-17 07.17.05.499],35EF2953FE96A8C201F3,35EF2153FE96A8C201F3,FA60092455AABEDD06E2,1024,1024,1,46.063807,0.263226,0.083183,0.011520,0.000013,0.051234,0.003935,0.413191,0.269756,0.089833,0.015453,0.000018,0.044574,0.003488,0.423197,0.262571,0.088045,0.011168,0.000011,0.044185,0.002254,0.408309,0.350035,0.110656,0.010136,0.000011,0.046869,0.003274,0.521060,0.358692,0.108893,0.011597,0.000012,0.045137,0.003865,0.528260,48.432782,124.616351,127.503013,124.616351,4.407726,7.999831,7.999831,0.996137,0.759440,0.334704,0.767643,0.779926,0.789563,0.700627,0.012426,-0.003587,0.008963,0.779926,0.789563,0.700627,-0.000603,-0.000424 
[27-02-17 07.19.31.248],C28AD5246973C3555A0A,C28ED5246973C3555A0A,71E7A72248BAF3F023CD,1024,1024,1,46.088386,0.253806,0.090296,0.011107,0.000024,0.045021,0.002501,0.402931,0.264744,0.088192,0.011724,0.000012,0.043710,0.002295,0.410756,0.267050,0.086847,0.014050,0.000012,0.043908,0.002862,0.414806,0.342380,0.107836,0.011628,0.000014,0.044613,0.002317,0.508851,0.338665,0.110753,0.011355,0.000014,0.043840,0.002293,0.507000,48.402522,124.616351,127.558393,124.616351,4.407726,7.999857,7.999857,0.996150,0.822174,0.335112,0.039281,0.735195,0.812308,0.695727,0.010680,0.002795,0.008434,0.735195,0.812308,0.695727,-0.001347,-0.000576 
[27-02-17 07.21.57.561],467C19AD051ADFFF2E79,467C18AD051ADFFF2E79,8626563B1ED4A6B84BA4,1024,1024,1,46.181120,0.263470,0.087063,0.011310,0.000018,0.043232,0.002252,0.407427,0.256286,0.084500,0.011252,0.000012,0.045262,0.002806,0.400204,0.254843,0.088698,0.011057,0.000012,0.044953,0.002572,0.402205,0.344154,0.107280,0.014359,0.000012,0.044764,0.002685,0.513334,0.333859,0.108496,0.012314,0.000012,0.043474,0.002504,0.500734,48.475445,124.616351,127.570885,124.616351,4.407726,7.999834,7.999834,0.996141,0.783122,0.335019,0.097109,0.775593,0.789133,0.712046,-0.017573,0.008190,0.020016,0.775593,0.789133,0.712046,-0.000455,0.000651 
