script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, redIntensityPlain, greenIntensityPlain, blueIntensityPlain, redIntensityCipher, greenIntensityCipher, blueIntensityCipher, redIntensityDecipher, greenIntensityDecipher, blueIntensityDecipher, entropyRGBPlain,    entropyRGBCipher,     entropyRGBDecipher, entropyRedPlain,    entropyGreenPlain,    entropyBluePlain, entropyRedCipher,   entropyGreenCipher,   entropyBlueCipher, entropyRedDecipher, entropyGreenDecipher, entropyBlueDecipher, diff_RGB_NPCRscore,   diff_RGB_NPCRpval,   diff_RGB_UACIscore,   diff_RGB_UACIpval, diff_Red_NPCRscore,   diff_Red_NPCRpval,   diff_Red_UACIscore,   diff_Red_UACIpval, diff_Green_NPCRscore, diff_Green_NPCRpval, diff_Green_UACIscore, diff_Green_UACIpval, diff_Blue_NPCRscore,  diff_Blue_NPCRpval,  diff_Blue_UACIscore,  diff_Blue_UACIpval, corr_rgbPlain_H, corr_rgbPlain_V, corr_rgbPlain_D, corr_rgbCipher_H, corr_rgbCipher_V, corr_rgbCipher_D, corr_rgbDecipher_H, corr_rgbDecipher_V, corr_rgbDecipher_D, corr_redPlain_H, corr_redPlain_V, corr_redPlain_D, corr_greenPlain_H, corr_greenPlain_V, corr_greenPlain_D, corr_bluePlain_H, corr_bluePlain_V, corr_bluePlain_D, corr_redCipher_H, corr_redCipher_V, corr_redCipher_D, corr_greenCipher_H, corr_greenCipher_V, corr_greenCipher_D, corr_blueCipher_H, corr_blueCipher_V, corr_blueCipher_D, corr_redDecipher_H, corr_redDecipher_V, corr_redDecipher_D, corr_greenDecipher_H, corr_greenDecipher_V, corr_greenDecipher_D, corr_blueDecipher_H, corr_blueDecipher_V, corr_blueDecipher_D, corr_redKeySensCipher, corr_greenKeySensCipher, corr_blueKeySensCipher, corr_redKeySensDecipher, corr_greenKeySensDecipher, corr_blueKeySensDecipher  
[20-02-17 19.58.33.931],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F1D7A,256,256,3,0.525906,0.062492,0.019137,0.002056,0.000024,0.008299,0.001108,0.093187,0.060001,0.019141,0.003263,0.000021,0.009154,0.001077,0.092718,0.060043,0.018425,0.002776,0.000012,0.008023,0.000985,0.090311,0.060399,0.019913,0.001875,0.000009,0.008210,0.001148,0.091607,0.067660,0.023210,0.002737,0.000013,0.009187,0.001174,0.104091,1.010280,129.218079,99.267456,125.199265,127.457382,127.359772,127.162949,129.218079,99.267456,125.199265,7.426957,7.998983,7.426957,7.254873,7.270383,6.782501,7.997003,7.997011,7.997611,7.254873,7.270383,6.782501,0.995946,0.147205,0.333943,0.194637,0.996475,0.941274,0.333823,0.379331,0.995743,0.074889,0.333616,0.270116,0.995621,0.026111,0.334391,0.791383,0.965319,0.979846,0.946197,-0.007368,-0.007332,-0.005870,0.965319,0.979846,0.946197,0.979060,0.965473,0.951423,0.986427,0.980223,0.972888,0.965460,0.948937,0.924193,-0.013577,0.010006,-0.018534,-0.020385,-0.008478,0.006868,-0.009189,-0.008658,0.000238,0.979060,0.965473,0.951423,0.986427,0.980223,0.972888,0.965460,0.948937,0.924193,-0.000792,0.011144,-0.005422,-0.003079,-0.003079,-0.000126 
[20-02-17 20.01.49.543],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDADD1C1,256,256,3,0.615856,0.060054,0.018484,0.002018,0.000015,0.008750,0.001517,0.090911,0.057258,0.020248,0.002122,0.000009,0.009137,0.001141,0.089978,0.055201,0.019935,0.002043,0.000012,0.008334,0.001262,0.086861,0.067436,0.022608,0.002448,0.000016,0.009925,0.001543,0.104054,0.067983,0.019853,0.002963,0.000015,0.008769,0.000991,0.100650,1.101736,129.218079,99.267456,125.199265,127.192184,127.195267,127.556671,129.218079,99.267456,125.199265,7.426957,7.999092,7.426957,7.254873,7.270383,6.782501,7.997532,7.996937,7.997231,7.254873,7.270383,6.782501,0.996185,0.742409,0.334923,0.589707,0.995804,0.117057,0.335355,0.436334,0.996597,0.980611,0.334804,0.855703,0.996155,0.598896,0.334611,0.979083,0.962599,0.980643,0.950928,0.009103,0.010931,0.002479,0.962599,0.980643,0.950928,0.976918,0.962988,0.947893,0.986426,0.982481,0.973021,0.968241,0.951318,0.933223,0.011103,0.008190,0.008016,0.011451,0.009404,0.011939,-0.005298,0.006266,0.006469,0.976918,0.962988,0.947893,0.986426,0.982481,0.973021,0.968241,0.951318,0.933223,-0.002883,-0.002792,0.000284,0.000887,0.000887,-0.000953 
[20-02-17 20.05.11.909],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461A481,256,256,3,0.612212,0.070275,0.024457,0.001887,0.000009,0.010166,0.000968,0.107814,0.061853,0.026329,0.001973,0.000011,0.009687,0.001204,0.101120,0.054349,0.020340,0.001939,0.000014,0.008804,0.000922,0.086423,0.077871,0.025197,0.002703,0.000013,0.008902,0.001299,0.116051,0.063994,0.019545,0.002098,0.000011,0.008207,0.001025,0.094939,1.130322,129.218079,99.267456,125.199265,127.844421,127.568161,127.824600,129.218079,99.267456,125.199265,7.426957,7.999036,7.426957,7.254873,7.270383,6.782501,7.997088,7.997033,7.997015,7.254873,7.270383,6.782501,0.996007,0.269397,0.335592,0.072925,0.995819,0.129828,0.336122,0.107678,0.996216,0.691807,0.334776,0.878827,0.995987,0.330564,0.335879,0.178653,0.967402,0.979971,0.948409,-0.000941,-0.002014,-0.011300,0.967402,0.979971,0.948409,0.980179,0.968888,0.953140,0.987628,0.980672,0.971614,0.965986,0.950866,0.928375,0.005460,-0.005332,-0.002952,0.006332,-0.014343,0.001970,-0.001556,0.000394,-0.032739,0.980179,0.968888,0.953140,0.987628,0.980672,0.971614,0.965986,0.950866,0.928375,0.004963,0.005564,-0.003076,0.004796,0.004796,0.006131 
[20-02-17 20.08.17.692],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03D261,256,256,3,0.607399,0.073322,0.025870,0.003191,0.000015,0.011438,0.001183,0.115089,0.069840,0.022764,0.002690,0.000012,0.010334,0.001003,0.106705,0.061165,0.020442,0.003010,0.000017,0.011877,0.001091,0.097670,0.071920,0.019586,0.002521,0.000016,0.009214,0.001165,0.104486,0.062962,0.019912,0.002867,0.000012,0.008865,0.000984,0.095660,1.139899,129.218079,99.267456,125.199265,127.653305,127.745026,127.177246,129.218079,99.267456,125.199265,7.426957,7.999190,7.426957,7.254873,7.270383,6.782501,7.996958,7.997639,7.997002,7.254873,7.270383,6.782501,0.996424,0.990615,0.334123,0.336622,0.996506,0.954563,0.333366,0.169709,0.996384,0.882943,0.334898,0.776558,0.996384,0.882943,0.334104,0.565339,0.961657,0.978939,0.951228,-0.001111,-0.011168,0.005939,0.961657,0.978939,0.951228,0.977495,0.962018,0.945456,0.988237,0.979801,0.968779,0.970840,0.951017,0.931826,-0.008341,-0.010082,0.015088,0.007526,-0.011662,-0.029368,0.027755,0.003350,-0.013288,0.977495,0.962018,0.945456,0.988237,0.979801,0.968779,0.970840,0.951017,0.931826,-0.003987,-0.005757,0.002662,-0.005067,-0.005067,-0.000665 
[20-02-17 20.11.31.403],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266E112,256,256,3,0.614695,0.066059,0.020929,0.002168,0.000012,0.008499,0.000987,0.098720,0.057841,0.020018,0.002160,0.000016,0.008390,0.001229,0.089716,0.059526,0.019968,0.002619,0.000012,0.007865,0.000963,0.091012,0.072410,0.021928,0.002205,0.000012,0.007751,0.001042,0.105406,0.067246,0.021467,0.003315,0.000018,0.010795,0.001210,0.104130,1.117567,129.218079,99.267456,125.199265,127.320435,127.735641,127.406555,129.218079,99.267456,125.199265,7.426957,7.999173,7.426957,7.254873,7.270383,6.782501,7.997051,7.997519,7.997287,7.254873,7.270383,6.782501,0.996267,0.890515,0.335393,0.155742,0.996445,0.925111,0.335738,0.233082,0.996277,0.773815,0.333246,0.132789,0.996078,0.475034,0.337195,0.005615,0.963812,0.979995,0.950209,0.000202,-0.007481,-0.006405,0.963812,0.979995,0.950209,0.977796,0.964059,0.949581,0.989269,0.983351,0.967366,0.968542,0.949231,0.932853,0.021432,-0.009583,-0.011243,-0.015979,-0.021249,0.014785,0.005846,-0.010623,-0.014439,0.977796,0.964059,0.949581,0.989269,0.983351,0.967366,0.968542,0.949231,0.932853,0.001313,-0.000216,0.005708,0.004079,0.004079,0.003784 
[20-02-17 20.14.40.100],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C824329799C3,256,256,3,0.606998,0.072506,0.023412,0.003403,0.000014,0.008918,0.001121,0.109442,0.069843,0.019354,0.001883,0.000009,0.007718,0.001219,0.100091,0.062044,0.019145,0.002175,0.000013,0.008626,0.000981,0.093041,0.073655,0.020404,0.001873,0.000009,0.008134,0.001461,0.105586,0.066047,0.020396,0.003279,0.000015,0.008865,0.001076,0.099743,1.128044,129.218079,99.267456,125.199265,127.084808,127.105621,127.808578,129.218079,99.267456,125.199265,7.426957,7.999027,7.426957,7.254873,7.270383,6.782501,7.997138,7.997281,7.997293,7.254873,7.270383,6.782501,0.995997,0.246058,0.335287,0.222384,0.996124,0.549835,0.335752,0.227025,0.995895,0.207796,0.333711,0.317063,0.995972,0.308193,0.336397,0.056660,0.964118,0.982659,0.949126,0.012136,-0.007905,0.008746,0.964118,0.982659,0.949126,0.976844,0.964882,0.950627,0.989256,0.983608,0.975112,0.967696,0.948288,0.931394,0.017521,0.006233,0.012653,-0.012445,0.012362,-0.023634,0.024965,-0.001882,0.003155,0.976844,0.964882,0.950627,0.989256,0.983608,0.975112,0.967696,0.948288,0.931394,-0.002180,-0.003170,0.001962,-0.007009,-0.007009,-0.003487 
[20-02-17 20.17.51.273],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B04DDB,256,256,3,0.647432,0.065450,0.020179,0.004285,0.000017,0.011394,0.003735,0.105142,0.078731,0.020718,0.002453,0.000018,0.009328,0.001132,0.112633,0.068731,0.022650,0.003680,0.000017,0.011921,0.001548,0.108627,0.084165,0.020279,0.003066,0.000017,0.008651,0.001114,0.117371,0.067142,0.022288,0.001888,0.000009,0.009509,0.001257,0.102154,1.211528,129.218079,99.267456,125.199265,127.740997,127.665298,127.063232,129.218079,99.267456,125.199265,7.426957,7.999178,7.426957,7.254873,7.270383,6.782501,7.997270,7.997480,7.997259,7.254873,7.270383,6.782501,0.996297,0.925940,0.334877,0.650793,0.996262,0.754540,0.335224,0.524032,0.996185,0.646443,0.334374,0.777054,0.996445,0.925111,0.335033,0.667160,0.967300,0.978797,0.950106,-0.005521,0.003286,-0.009904,0.967300,0.978797,0.950106,0.979519,0.967970,0.954410,0.987850,0.979673,0.968868,0.969848,0.952077,0.928394,-0.002898,-0.015787,0.002122,0.004903,-0.018408,0.023365,-0.019990,0.003229,-0.012950,0.979519,0.967970,0.954410,0.987850,0.979673,0.968868,0.969848,0.952077,0.928394,-0.005456,-0.004562,0.003721,-0.001653,-0.001653,0.001754 
[20-02-17 20.21.16.300],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3A215,256,256,3,0.610884,0.079680,0.028799,0.003683,0.000023,0.015908,0.001454,0.129631,0.092329,0.023954,0.002885,0.000013,0.009090,0.000950,0.129299,0.066743,0.020686,0.003402,0.000018,0.010121,0.001190,0.102230,0.068738,0.021776,0.003360,0.000015,0.009433,0.000946,0.104330,0.071049,0.032929,0.005701,0.000028,0.014252,0.003103,0.127157,1.221453,129.218079,99.267456,125.199265,127.095169,127.590149,127.235703,129.218079,99.267456,125.199265,7.426957,7.999211,7.426957,7.254873,7.270383,6.782501,7.997250,7.997231,7.997594,7.254873,7.270383,6.782501,0.995956,0.164486,0.335200,0.290293,0.996292,0.792204,0.334215,0.649502,0.995575,0.016620,0.336430,0.052210,0.996002,0.353557,0.334954,0.730350,0.963949,0.981297,0.948986,-0.010913,-0.005898,0.007848,0.963949,0.981297,0.948986,0.977366,0.963423,0.951059,0.988932,0.981893,0.973065,0.965043,0.949802,0.932113,-0.026810,-0.003269,-0.002660,0.003660,-0.003657,-0.017696,0.002358,0.002691,0.018495,0.977366,0.963423,0.951059,0.988932,0.981893,0.973065,0.965043,0.949802,0.932113,-0.001623,0.000188,0.005148,-0.003773,-0.003773,0.003260 
[20-02-17 20.24.36.848],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1C001,256,256,3,0.752958,0.071119,0.024251,0.003361,0.000030,0.010582,0.001064,0.110489,0.070375,0.025074,0.003046,0.000017,0.011012,0.001341,0.110962,0.067454,0.021027,0.002256,0.000012,0.008585,0.000993,0.100397,0.071023,0.021317,0.003367,0.000013,0.010091,0.000992,0.106864,0.068410,0.021560,0.002191,0.000010,0.010409,0.001356,0.104011,1.299895,129.218079,99.267456,125.199265,128.008789,127.607925,127.646973,129.218079,99.267456,125.199265,7.426957,7.998907,7.426957,7.254873,7.270383,6.782501,7.996872,7.996969,7.997156,7.254873,7.270383,6.782501,0.996257,0.876356,0.334512,0.816718,0.996399,0.894797,0.334427,0.821254,0.996490,0.948257,0.335419,0.396335,0.995880,0.190321,0.333689,0.305983,0.963769,0.979242,0.948112,0.003449,-0.003775,-0.005633,0.963769,0.979242,0.948112,0.978323,0.963979,0.949003,0.986743,0.978269,0.972715,0.966022,0.949271,0.929043,0.012833,0.002084,-0.004570,0.001720,-0.015843,0.002798,0.003514,-0.021378,0.000965,0.978323,0.963979,0.949003,0.986743,0.978269,0.972715,0.966022,0.949271,0.929043,0.005362,-0.002171,0.002096,-0.001364,-0.001364,-0.002719 
[20-02-17 20.28.01.423],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A6DA1,256,256,3,0.653823,0.060663,0.020494,0.001900,0.000011,0.009428,0.000998,0.093551,0.063151,0.023139,0.002217,0.000015,0.008981,0.000967,0.098534,0.071641,0.021101,0.001876,0.000009,0.008759,0.001179,0.104627,0.074401,0.020057,0.002352,0.000012,0.010442,0.000983,0.108329,0.067330,0.022315,0.002680,0.000026,0.008640,0.000991,0.102053,1.175216,129.218079,99.267456,125.199265,127.125977,127.724991,127.041824,129.218079,99.267456,125.199265,7.426957,7.999092,7.426957,7.254873,7.270383,6.782501,7.996805,7.996805,7.997293,7.254873,7.270383,6.782501,0.996251,0.868815,0.334796,0.763594,0.996231,0.713487,0.335863,0.184002,0.996292,0.792204,0.334539,0.917092,0.996231,0.713487,0.333985,0.481746,0.965296,0.981577,0.947096,-0.003884,0.013326,0.000985,0.965296,0.981577,0.947096,0.978818,0.966086,0.950983,0.987521,0.981480,0.975731,0.967215,0.946252,0.927821,-0.024933,0.006486,0.006796,0.016490,0.006693,0.016794,0.018410,-0.013825,-0.001631,0.978818,0.966086,0.950983,0.987521,0.981480,0.975731,0.967215,0.946252,0.927821,0.001127,0.006945,-0.007575,0.001148,0.001148,-0.001039 
