script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, intensityPlain, intensityCipher, intensityDecipher, entropyPlain, entropyCipher, entropyDecipher, diff_NPCRscore, diff_NPCRpval, diff_UACIscore, diff_UACIpval, corr_plain_H, corr_plain_V, corr_plain_D, corr_cipher_H, corr_cipher_V, corr_cipher_D, corr_decipher_H, corr_decipher_V, corr_decipher_D, corr_keySensCipher, corr_keySensDecipher  
[24-02-17 19.25.37.653],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F1D7A,256,256,1,0.376024,0.024015,0.005627,0.007536,0.000279,0.003253,0.001073,0.042707,0.018845,0.004608,0.000578,0.000006,0.002242,0.000180,0.026494,0.017460,0.006272,0.000875,0.000016,0.002689,0.000190,0.027551,0.021300,0.006599,0.000586,0.000009,0.002389,0.000251,0.031172,0.022745,0.007350,0.000962,0.000016,0.002970,0.000280,0.034384,0.552540,225.914978,127.529984,225.914978,1.548314,7.996996,7.996996,0.996475,0.941274,0.334753,0.898366,0.889014,0.874832,0.744586,-0.007764,-0.018636,-0.002870,0.889014,0.874832,0.744586,0.000882,-0.001221 
[24-02-17 19.26.57.677],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDADD1C1,256,256,1,0.234164,0.020540,0.007602,0.000615,0.000008,0.003467,0.000262,0.032545,0.017490,0.006933,0.000605,0.000008,0.003114,0.000278,0.028476,0.021999,0.007575,0.000631,0.000008,0.003247,0.000258,0.033771,0.022059,0.007376,0.000607,0.000008,0.003150,0.000240,0.033479,0.022320,0.007121,0.000610,0.000008,0.002896,0.000280,0.033275,0.398884,225.914978,127.630234,225.914978,1.548314,7.997172,7.997172,0.995804,0.117057,0.335779,0.215944,0.861692,0.859171,0.740147,0.024949,0.002905,-0.000115,0.861692,0.859171,0.740147,-0.003114,-0.004266 
[24-02-17 19.28.14.714],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461A481,256,256,1,0.248243,0.025014,0.007443,0.000898,0.000009,0.003131,0.000287,0.036830,0.022932,0.008075,0.000914,0.000011,0.003394,0.000340,0.035725,0.022077,0.006690,0.000628,0.000009,0.003053,0.000228,0.032735,0.023333,0.007490,0.000603,0.000007,0.003251,0.000266,0.034986,0.022461,0.008768,0.000874,0.000012,0.003377,0.000248,0.035791,0.428080,225.914978,127.672455,225.914978,1.548314,7.997482,7.997482,0.995819,0.129828,0.334604,0.973301,0.866485,0.856601,0.763704,-0.016536,-0.010764,-0.000672,0.866485,0.856601,0.763704,0.005324,0.003943 
[24-02-17 19.29.32.032],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03D261,256,256,1,0.293095,0.026492,0.012073,0.000940,0.000015,0.003696,0.000302,0.043586,0.033561,0.013349,0.000901,0.000012,0.006853,0.000305,0.055054,0.027866,0.008647,0.000990,0.000050,0.003268,0.000342,0.041227,0.028416,0.009138,0.001046,0.000013,0.004362,0.000305,0.043335,0.033580,0.009275,0.000945,0.000018,0.003322,0.000271,0.047476,0.527682,225.914978,127.154770,225.914978,1.548314,7.996599,7.996599,0.996506,0.954563,0.333662,0.292454,0.867524,0.881842,0.739939,-0.004343,-0.003329,-0.006985,0.867524,0.881842,0.739939,-0.006812,0.001503 
[24-02-17 19.30.48.392],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266E112,256,256,1,0.274593,0.027172,0.008003,0.000955,0.000012,0.003393,0.000420,0.040009,0.024005,0.010701,0.000997,0.000012,0.004013,0.000864,0.040657,0.031650,0.008058,0.001085,0.000013,0.003543,0.000295,0.044700,0.026882,0.009572,0.000602,0.000011,0.003301,0.000238,0.040649,0.026985,0.008941,0.000677,0.000010,0.003085,0.000296,0.040044,0.484409,225.914978,127.361023,225.914978,1.548314,7.997217,7.997217,0.996445,0.925111,0.335114,0.604621,0.861605,0.879129,0.740810,0.011085,-0.023586,0.004857,0.861605,0.879129,0.740810,0.003274,-0.001621 
[24-02-17 19.32.05.815],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C824329799C3,256,256,1,0.263410,0.022376,0.007295,0.001020,0.000011,0.002987,0.000251,0.033990,0.024568,0.007020,0.000687,0.000012,0.003182,0.000259,0.035776,0.018188,0.006458,0.000600,0.000008,0.002891,0.000248,0.028448,0.023244,0.007678,0.001061,0.000011,0.002893,0.000273,0.035204,0.022403,0.006618,0.000783,0.000014,0.003287,0.000304,0.033479,0.433902,225.914978,127.452820,225.914978,1.548314,7.997102,7.997102,0.996124,0.549835,0.336023,0.133240,0.874180,0.856852,0.774136,0.017646,-0.001862,0.014307,0.874180,0.856852,0.774136,-0.006023,-0.004380 
[24-02-17 19.33.21.341],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B04DDB,256,256,1,0.263367,0.034423,0.009525,0.001081,0.000016,0.003687,0.000383,0.049186,0.024880,0.007205,0.000736,0.000011,0.003650,0.000272,0.036805,0.022149,0.007706,0.001097,0.000014,0.004019,0.000301,0.035340,0.024977,0.008512,0.000710,0.000008,0.003479,0.000236,0.037970,0.023718,0.007762,0.000609,0.000008,0.003157,0.000203,0.035495,0.462306,225.914978,127.501282,225.914978,1.548314,7.997177,7.997177,0.996262,0.754540,0.335133,0.590020,0.867902,0.868320,0.757181,-0.030509,-0.006159,-0.014584,0.867902,0.868320,0.757181,-0.001553,0.004699 
[24-02-17 19.34.36.245],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3A215,256,256,1,0.230261,0.020128,0.007222,0.000598,0.000007,0.002709,0.000239,0.030943,0.022257,0.006684,0.001135,0.000017,0.006418,0.000291,0.036869,0.025902,0.008872,0.001046,0.000013,0.004336,0.000318,0.040540,0.029673,0.008679,0.000611,0.000008,0.002686,0.000285,0.041990,0.027133,0.008773,0.000883,0.000028,0.003536,0.000273,0.040710,0.424729,225.914978,127.189011,225.914978,1.548314,7.997142,7.997142,0.996292,0.792204,0.334591,0.962101,0.869380,0.861246,0.754749,-0.016350,0.006305,0.002124,0.869380,0.861246,0.754749,-0.000614,-0.005110 
[24-02-17 19.35.48.186],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1C001,256,256,1,0.268034,0.024313,0.009501,0.001141,0.000014,0.003264,0.000292,0.038577,0.023492,0.012106,0.000985,0.000016,0.003017,0.000293,0.039965,0.022683,0.006948,0.000924,0.000012,0.002990,0.000291,0.033949,0.022766,0.007893,0.000933,0.000019,0.002607,0.000232,0.034505,0.023712,0.009062,0.000801,0.000018,0.003657,0.000269,0.037580,0.456052,225.914978,127.766602,225.914978,1.548314,7.997469,7.997469,0.996399,0.894797,0.333728,0.326389,0.879269,0.863276,0.752169,0.018366,0.011835,0.010339,0.879269,0.863276,0.752169,-0.002563,0.003071 
[24-02-17 19.37.06.774],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A6DA1,256,256,1,0.242934,0.023253,0.007593,0.001233,0.000018,0.003487,0.000276,0.035921,0.018027,0.006567,0.001086,0.000015,0.003558,0.000249,0.029565,0.018070,0.007034,0.000603,0.000008,0.002667,0.000215,0.028650,0.025174,0.007235,0.001029,0.000015,0.003109,0.000289,0.036905,0.023767,0.007738,0.000695,0.000011,0.002687,0.000308,0.035262,0.412805,225.914978,127.341431,225.914978,1.548314,7.997268,7.997268,0.996231,0.713487,0.335004,0.690198,0.875355,0.873362,0.765383,-0.033951,-0.000040,0.014383,0.875355,0.873362,0.765383,-0.002179,0.003133 
