script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, intensityPlain, intensityCipher, intensityDecipher, entropyPlain, entropyCipher, entropyDecipher, diff_NPCRscore, diff_NPCRpval, diff_UACIscore, diff_UACIpval, corr_plain_H, corr_plain_V, corr_plain_D, corr_cipher_H, corr_cipher_V, corr_cipher_D, corr_decipher_H, corr_decipher_V, corr_decipher_D, corr_keySensCipher, corr_keySensDecipher  
[26-02-17 21.58.08.643],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F1D7A,512,512,1,0.830136,0.094038,0.026566,0.010671,0.000285,0.012317,0.000839,0.145631,0.084967,0.028911,0.003449,0.000014,0.011263,0.000692,0.129363,0.092305,0.033719,0.007965,0.000021,0.015452,0.000559,0.150106,0.093322,0.029562,0.003806,0.000017,0.013226,0.001169,0.141183,0.101189,0.029468,0.003175,0.000018,0.011087,0.000696,0.145705,1.574618,129.707966,127.346970,129.707966,7.191370,7.999207,7.999207,0.995983,0.181932,0.334432,0.660557,0.936272,0.969555,0.929343,-0.021967,-0.012220,-0.003286,0.936272,0.969555,0.929343,-0.001517,-0.002252 
[26-02-17 21.59.50.251],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDADD1C1,512,512,1,0.638180,0.095014,0.032542,0.004338,0.000013,0.011510,0.001076,0.144561,0.095911,0.028157,0.003987,0.000017,0.012568,0.000572,0.141286,0.101449,0.031222,0.004143,0.000018,0.012971,0.000604,0.150488,0.101514,0.029398,0.004598,0.000023,0.014022,0.000837,0.150481,0.093616,0.027553,0.002509,0.000009,0.010841,0.000733,0.135331,1.380348,129.707966,127.508049,129.707966,7.191370,7.999193,7.999193,0.996147,0.669436,0.334609,0.954183,0.931933,0.972773,0.916782,-0.006297,-0.004560,0.000874,0.931933,0.972773,0.916782,-0.000124,0.001528 
[26-02-17 22.01.14.378],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461A481,512,512,1,0.679705,0.102750,0.028437,0.004495,0.000015,0.011322,0.001064,0.148151,0.095397,0.031192,0.004023,0.000020,0.013944,0.000741,0.145405,0.100687,0.026871,0.004345,0.000017,0.011161,0.000734,0.143900,0.093894,0.027052,0.002508,0.000009,0.011734,0.001061,0.136318,0.091798,0.026675,0.002517,0.000010,0.010615,0.000694,0.132365,1.406261,129.707966,127.505840,129.707966,7.191370,7.999396,7.999396,0.996002,0.226185,0.334520,0.802301,0.937857,0.972293,0.921515,0.000115,-0.002495,0.008755,0.937857,0.972293,0.921515,0.003518,0.000637 
[26-02-17 22.02.36.899],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03D261,512,512,1,0.682033,0.095310,0.028711,0.004561,0.000015,0.011786,0.001182,0.141633,0.097137,0.029570,0.004841,0.000015,0.013550,0.000568,0.145769,0.094406,0.026371,0.004019,0.000014,0.012734,0.000621,0.138232,0.087102,0.026692,0.003424,0.000017,0.011144,0.000599,0.129050,0.086415,0.027407,0.003515,0.000012,0.010361,0.000766,0.128539,1.388953,129.707966,127.683960,129.707966,7.191370,7.999203,7.999203,0.996399,0.993876,0.334323,0.498640,0.937478,0.974118,0.922051,-0.015495,-0.008414,-0.012200,0.937478,0.974118,0.922051,-0.001039,-0.004355 
[26-02-17 22.03.59.362],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266E112,512,512,1,0.649915,0.092338,0.030287,0.002709,0.000012,0.011427,0.000881,0.137721,0.094493,0.029513,0.002565,0.000014,0.013457,0.001530,0.141643,0.097291,0.032288,0.003143,0.000012,0.012099,0.000862,0.145763,0.088269,0.025215,0.003275,0.000012,0.010968,0.000735,0.128533,0.084969,0.027466,0.002769,0.000012,0.011224,0.000746,0.127250,1.349575,129.707966,127.419815,129.707966,7.191370,7.999190,7.999190,0.996063,0.401104,0.334745,0.812529,0.943734,0.970013,0.920123,0.022252,-0.028918,0.010678,0.943734,0.970013,0.920123,0.001498,0.002588 
[26-02-17 22.05.22.330],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C824329799C3,512,512,1,0.678046,0.093543,0.029312,0.004445,0.000015,0.012783,0.000639,0.140808,0.093286,0.028287,0.004543,0.000018,0.012747,0.000691,0.139644,0.093537,0.027626,0.002547,0.000015,0.011877,0.000619,0.136283,0.082620,0.025469,0.003411,0.000012,0.011432,0.000516,0.123525,0.086508,0.028895,0.002751,0.000010,0.010644,0.000740,0.129614,1.366707,129.707966,127.519840,129.707966,7.191370,7.999218,7.999218,0.995872,0.034681,0.335276,0.165543,0.941275,0.969738,0.925290,0.022533,0.005463,0.004804,0.941275,0.969738,0.925290,-0.000280,0.000383 
[26-02-17 22.06.44.819],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B04DDB,512,512,1,0.631933,0.093978,0.030115,0.004148,0.000013,0.011738,0.000598,0.140658,0.097441,0.028481,0.004618,0.000015,0.012558,0.000611,0.143795,0.103899,0.037535,0.004320,0.000016,0.012530,0.000731,0.159112,0.088205,0.027556,0.003924,0.000014,0.011734,0.000549,0.132040,0.082785,0.028762,0.003515,0.000014,0.010712,0.000575,0.126438,1.352292,129.707966,127.402832,129.707966,7.191370,7.999317,7.999317,0.996197,0.801057,0.334864,0.620706,0.937537,0.972813,0.924088,0.001486,0.025061,-0.015210,0.937537,0.972813,0.924088,-0.005274,-0.002172 
[26-02-17 22.08.06.877],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3A215,512,512,1,0.658239,0.099124,0.029519,0.004524,0.000023,0.012780,0.000736,0.146784,0.093660,0.030378,0.003543,0.000019,0.011673,0.000628,0.139977,0.102284,0.028907,0.002842,0.000017,0.011039,0.000780,0.145934,0.087816,0.027444,0.002783,0.000011,0.011217,0.000773,0.130111,0.085762,0.027832,0.002559,0.000009,0.012012,0.000689,0.128919,1.367778,129.707966,127.362507,129.707966,7.191370,7.999351,7.999351,0.996075,0.437797,0.334360,0.551650,0.947550,0.970382,0.920628,0.010381,-0.003169,-0.004709,0.947550,0.970382,0.920628,-0.001934,0.002224 
[26-02-17 22.09.29.116],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1C001,512,512,1,0.693804,0.097175,0.029180,0.003997,0.000019,0.012864,0.000620,0.143929,0.089852,0.027682,0.003490,0.000017,0.012161,0.000750,0.134028,0.094023,0.026988,0.002799,0.000010,0.010574,0.000681,0.135143,0.080240,0.026400,0.003055,0.000012,0.010759,0.000556,0.121082,0.089090,0.028268,0.002700,0.000012,0.011286,0.000766,0.132178,1.377450,129.707966,127.379776,129.707966,7.191370,7.999365,7.999365,0.996105,0.537419,0.334719,0.856516,0.932530,0.971598,0.926795,-0.005938,-0.009077,-0.017780,0.932530,0.971598,0.926795,0.000881,-0.001226 
[26-02-17 22.10.51.043],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A6DA1,512,512,1,0.630742,0.089364,0.029107,0.003715,0.000014,0.011779,0.001055,0.135108,0.103875,0.030551,0.004372,0.000021,0.012258,0.000788,0.151952,0.102912,0.026735,0.003206,0.000021,0.011317,0.001068,0.145341,0.088152,0.026301,0.002606,0.000010,0.011563,0.000544,0.129225,0.086902,0.026320,0.002536,0.000009,0.011603,0.000637,0.128054,1.337379,129.707966,127.316711,129.707966,7.191370,7.999280,7.999280,0.996159,0.702738,0.334215,0.362528,0.934681,0.972376,0.924389,0.001604,0.014026,0.004719,0.934681,0.972376,0.924389,0.001673,-0.001136 
