script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, intensityPlain, intensityCipher, intensityDecipher, entropyPlain, entropyCipher, entropyDecipher, diff_NPCRscore, diff_NPCRpval, diff_UACIscore, diff_UACIpval, corr_plain_H, corr_plain_V, corr_plain_D, corr_cipher_H, corr_cipher_V, corr_cipher_D, corr_decipher_H, corr_decipher_V, corr_decipher_D, corr_keySensCipher, corr_keySensDecipher  
[26-02-17 23.07.19.255],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F1D7A,512,512,1,0.652076,0.091970,0.032514,0.002754,0.000012,0.011917,0.000772,0.140003,0.098449,0.029404,0.004249,0.000015,0.013309,0.003088,0.148589,0.098040,0.027232,0.003048,0.000017,0.010178,0.000838,0.139417,0.088984,0.028680,0.002535,0.000010,0.010192,0.000794,0.131244,0.084494,0.027104,0.002468,0.000009,0.011324,0.001214,0.126684,1.356424,136.356514,127.477276,136.356514,7.505984,7.999343,7.999343,0.995983,0.181932,0.334191,0.336785,0.975617,0.972721,0.968689,-0.011096,-0.005944,-0.019228,0.975617,0.972721,0.968689,-0.001561,-0.001063 
[26-02-17 23.08.42.362],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDADD1C1,512,512,1,0.856362,0.082305,0.029606,0.004516,0.000016,0.012873,0.001099,0.130487,0.089755,0.029678,0.004242,0.000018,0.011460,0.000532,0.135756,0.089112,0.026601,0.002976,0.000011,0.012398,0.000762,0.131925,0.099176,0.031644,0.002769,0.000011,0.011240,0.000590,0.145493,0.087005,0.032423,0.004160,0.000016,0.012341,0.000817,0.136839,1.554225,136.356514,127.557713,136.356514,7.505984,7.999213,7.999213,0.996147,0.669436,0.334546,0.847354,0.976193,0.972800,0.972038,0.009406,0.000498,0.005582,0.976193,0.972800,0.972038,0.000447,0.000869 
[26-02-17 23.10.06.397],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461A481,512,512,1,0.666634,0.092520,0.028424,0.004398,0.000012,0.011418,0.001192,0.138034,0.096469,0.026882,0.003871,0.000016,0.015656,0.004021,0.147001,0.095993,0.026493,0.003218,0.000012,0.011177,0.000685,0.137644,0.094125,0.026285,0.003677,0.000017,0.011023,0.000624,0.135824,0.088648,0.027691,0.002786,0.000011,0.010710,0.000697,0.130616,1.375306,136.356514,127.551514,136.356514,7.505984,7.999421,7.999421,0.996002,0.226185,0.334459,0.703052,0.974871,0.972401,0.970058,0.006511,0.008851,0.010976,0.974871,0.972401,0.970058,0.001023,0.002239 
[26-02-17 23.11.29.449],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03D261,512,512,1,0.666875,0.093071,0.030102,0.004527,0.000015,0.012139,0.000747,0.140668,0.093931,0.030295,0.003069,0.000012,0.011699,0.000938,0.140011,0.101654,0.026308,0.002812,0.000012,0.011117,0.000735,0.142696,0.098968,0.028346,0.003000,0.000015,0.011108,0.001152,0.142656,0.091651,0.027350,0.002671,0.000013,0.010936,0.000687,0.133367,1.384434,136.356514,127.620594,136.356514,7.505984,7.999364,7.999364,0.996399,0.993876,0.334792,0.735125,0.975602,0.974028,0.967156,-0.004359,-0.030701,-0.015679,0.975602,0.974028,0.967156,-0.001052,-0.000197 
[26-02-17 23.12.52.827],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266E112,512,512,1,0.640291,0.097563,0.030813,0.003927,0.000012,0.012471,0.000645,0.145499,0.100224,0.030333,0.004557,0.000015,0.012303,0.000677,0.148192,0.109518,0.027785,0.003125,0.000012,0.010749,0.000875,0.152128,0.089194,0.027723,0.002508,0.000009,0.010797,0.000674,0.130965,0.089065,0.026864,0.002553,0.000009,0.011693,0.000625,0.130865,1.367438,136.356514,127.756145,136.356514,7.505984,7.999354,7.999354,0.996063,0.401104,0.334508,0.782543,0.975985,0.973093,0.968396,-0.003341,-0.022030,0.001397,0.975985,0.973093,0.968396,0.000873,-0.000703 
[26-02-17 23.14.15.827],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C824329799C3,512,512,1,0.662797,0.097368,0.026792,0.002761,0.000013,0.011169,0.000878,0.139050,0.083895,0.028060,0.003043,0.000011,0.010481,0.001053,0.126617,0.093307,0.027428,0.003750,0.000012,0.011716,0.000792,0.137074,0.096532,0.026964,0.002758,0.000009,0.011589,0.000610,0.138519,0.083301,0.029813,0.004197,0.000018,0.010352,0.000632,0.128379,1.349214,136.356514,127.539474,136.356514,7.505984,7.999335,7.999335,0.995872,0.034681,0.334875,0.603876,0.976482,0.974420,0.965331,0.027689,0.014715,0.000004,0.976482,0.974420,0.965331,-0.001338,0.000721 
[26-02-17 23.15.38.685],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B04DDB,512,512,1,0.657208,0.096078,0.029874,0.002917,0.000012,0.011942,0.001228,0.142116,0.091123,0.029159,0.004541,0.000016,0.011903,0.000933,0.137750,0.099172,0.026329,0.002813,0.000012,0.010594,0.000913,0.139904,0.086466,0.028890,0.002647,0.000017,0.011191,0.000743,0.130017,0.089476,0.025393,0.003049,0.000019,0.010474,0.000872,0.129350,1.354455,136.356514,127.464954,136.356514,7.505984,7.999314,7.999314,0.996197,0.801057,0.334355,0.544211,0.976428,0.973234,0.965635,-0.000414,0.010831,0.006449,0.976428,0.973234,0.965635,-0.000922,-0.000947 
[26-02-17 23.17.00.615],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3A215,512,512,1,0.643966,0.095228,0.029093,0.004338,0.000016,0.013662,0.000870,0.143285,0.096292,0.029883,0.004009,0.000013,0.012901,0.000663,0.143841,0.101886,0.027848,0.002818,0.000017,0.012444,0.001031,0.146114,0.085371,0.027377,0.004524,0.000014,0.011246,0.000629,0.129220,0.088968,0.028459,0.002871,0.000013,0.011681,0.000666,0.132726,1.357571,136.356514,127.468826,136.356514,7.505984,7.999303,7.999303,0.996075,0.437797,0.334539,0.834092,0.977479,0.973121,0.967408,-0.008986,-0.014101,0.008801,0.977479,0.973121,0.967408,-0.001002,0.002492 
[26-02-17 23.18.23.431],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1C001,512,512,1,0.657151,0.094915,0.028975,0.003648,0.000016,0.012355,0.001209,0.141195,0.097079,0.032294,0.003466,0.000012,0.012531,0.000729,0.146182,0.093103,0.026099,0.003167,0.000017,0.010305,0.000772,0.133524,0.089470,0.027269,0.003498,0.000018,0.010906,0.000762,0.132015,0.080251,0.027047,0.003006,0.000017,0.011940,0.000783,0.123098,1.350747,136.356514,127.536343,136.356514,7.505984,7.999225,7.999225,0.996105,0.537419,0.335050,0.369790,0.975229,0.971610,0.970495,-0.012399,-0.003385,-0.004868,0.975229,0.971610,0.970495,0.001468,0.001767 
[26-02-17 23.19.46.255],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A6DA1,512,512,1,0.653616,0.090613,0.030825,0.004490,0.000018,0.010564,0.000869,0.137451,0.095982,0.028114,0.003975,0.000014,0.011892,0.001241,0.141290,0.102572,0.027393,0.002843,0.000014,0.010426,0.000825,0.144135,0.085887,0.026671,0.002992,0.000013,0.010989,0.000627,0.127239,0.088331,0.027126,0.003527,0.000013,0.010764,0.000937,0.130760,1.352143,136.356514,127.630199,136.356514,7.505984,7.999274,7.999274,0.996159,0.702738,0.334791,0.737004,0.976379,0.971914,0.968719,-0.003325,0.002350,0.007170,0.976379,0.971914,0.968719,0.000422,-0.002873 
