script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, intensityPlain, intensityCipher, intensityDecipher, entropyPlain, entropyCipher, entropyDecipher, diff_NPCRscore, diff_NPCRpval, diff_UACIscore, diff_UACIpval, corr_plain_H, corr_plain_V, corr_plain_D, corr_cipher_H, corr_cipher_V, corr_cipher_D, corr_decipher_H, corr_decipher_V, corr_decipher_D, corr_keySensCipher, corr_keySensDecipher  
[27-02-17 00.16.59.749],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F1D7A,512,512,1,0.669876,0.078283,0.026445,0.003545,0.000017,0.012679,0.000737,0.121776,0.077329,0.024028,0.003992,0.000012,0.011281,0.000986,0.117700,0.093937,0.023505,0.003930,0.000014,0.011953,0.000628,0.134033,0.086444,0.026130,0.003368,0.000012,0.010684,0.000924,0.127620,0.087170,0.030225,0.003260,0.000010,0.010049,0.000830,0.131605,1.319959,127.038322,127.611073,127.038322,4.392295,7.999225,7.999225,0.995983,0.181932,0.335132,0.282234,0.997482,0.999856,0.995150,-0.028811,-0.005216,-0.015481,0.997482,0.999856,0.995150,0.000709,0.000764 
[27-02-17 00.18.22.405],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDADD1C1,512,512,1,0.657251,0.076504,0.025289,0.004449,0.000012,0.012044,0.001040,0.119417,0.082906,0.028333,0.004611,0.000022,0.012264,0.000757,0.128971,0.088238,0.027451,0.002642,0.000012,0.011185,0.000659,0.130247,0.088108,0.033794,0.002853,0.000012,0.011859,0.001138,0.137838,0.087149,0.028537,0.004229,0.000017,0.013146,0.001050,0.134200,1.327577,127.038322,127.592937,127.038322,4.392295,7.999394,7.999394,0.996147,0.669436,0.334890,0.581494,0.995862,0.999862,0.997519,0.004423,0.025921,-0.010256,0.995862,0.999862,0.997519,-0.000180,-0.001388 
[27-02-17 00.19.45.799],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461A481,512,512,1,0.682075,0.079335,0.024005,0.005074,0.000019,0.012131,0.001085,0.121728,0.075854,0.023426,0.003819,0.000013,0.011062,0.000740,0.114979,0.082568,0.030924,0.004072,0.000013,0.012166,0.000708,0.130527,0.088124,0.026650,0.002592,0.000013,0.010461,0.000772,0.128672,0.083089,0.028392,0.002855,0.000012,0.011152,0.000835,0.126396,1.324009,127.038322,127.480721,127.038322,4.392295,7.999275,7.999275,0.996002,0.226185,0.334538,0.833005,0.996611,0.999876,0.994789,0.005124,0.014479,0.010566,0.996611,0.999876,0.994789,0.001725,0.003327 
[27-02-17 00.21.09.137],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03D261,512,512,1,0.666434,0.069489,0.020824,0.002605,0.000016,0.012195,0.000864,0.106078,0.066606,0.021643,0.003740,0.000013,0.011247,0.000976,0.104293,0.060079,0.024397,0.003914,0.000018,0.012201,0.000880,0.101560,0.094701,0.027644,0.004285,0.000019,0.012808,0.000844,0.140376,0.087282,0.027191,0.002428,0.000010,0.011041,0.000902,0.128911,1.265474,127.038322,127.447803,127.038322,4.392295,7.999261,7.999261,0.996399,0.993876,0.334815,0.697225,0.995939,0.999825,0.997595,-0.011937,0.008040,0.014557,0.995939,0.999825,0.997595,-0.001195,0.000125 
[27-02-17 00.22.32.777],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266E112,512,512,1,0.678020,0.077738,0.026255,0.004451,0.000016,0.012789,0.000967,0.122293,0.076834,0.023724,0.004597,0.000016,0.013051,0.000690,0.118987,0.085570,0.023450,0.002771,0.000010,0.011736,0.000844,0.124433,0.087698,0.027602,0.002557,0.000010,0.011581,0.000830,0.130339,0.087055,0.025853,0.002932,0.000018,0.012802,0.000743,0.129467,1.321369,127.038322,127.559406,127.038322,4.392295,7.999343,7.999343,0.996063,0.401104,0.335192,0.228210,0.995431,0.999838,0.996249,0.013040,-0.013400,0.000592,0.995431,0.999838,0.996249,0.002079,0.004287 
[27-02-17 00.23.55.722],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C824329799C3,512,512,1,0.677673,0.075487,0.025700,0.004465,0.000018,0.013774,0.001283,0.120803,0.072990,0.024362,0.004320,0.000018,0.013352,0.000907,0.116022,0.087797,0.034637,0.004238,0.000018,0.011098,0.000908,0.138771,0.092404,0.026350,0.003091,0.000015,0.010340,0.000695,0.132956,0.083112,0.028405,0.003564,0.000012,0.010458,0.000715,0.126332,1.330558,127.038322,127.483788,127.038322,4.392295,7.999314,7.999314,0.995872,0.034681,0.334896,0.573511,0.995742,0.999840,0.997422,0.041773,0.020863,-0.011165,0.995742,0.999840,0.997422,-0.000688,0.001507 
[27-02-17 00.25.20.369],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B04DDB,512,512,1,0.669884,0.073616,0.022614,0.003891,0.000012,0.012063,0.000722,0.112990,0.078594,0.022792,0.003197,0.000012,0.011574,0.000757,0.116996,0.078426,0.025940,0.004032,0.000013,0.013818,0.000889,0.123224,0.093727,0.026700,0.003391,0.000017,0.010600,0.000706,0.135212,0.085947,0.028744,0.004339,0.000015,0.011117,0.001162,0.131402,1.311904,127.038322,127.523869,127.038322,4.392295,7.999163,7.999163,0.996197,0.801057,0.334601,0.941272,0.998466,0.999872,0.995714,0.009425,0.011231,-0.012226,0.998466,0.999872,0.995714,-0.001992,-0.001719 
[27-02-17 00.26.44.112],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3A215,512,512,1,0.671732,0.078138,0.024011,0.004393,0.000021,0.012618,0.000974,0.120225,0.077913,0.024891,0.004552,0.000015,0.012701,0.001163,0.121320,0.087818,0.027693,0.004369,0.000016,0.012902,0.000887,0.133764,0.089564,0.025400,0.003598,0.000017,0.010037,0.000704,0.129386,0.082920,0.026860,0.002862,0.000016,0.010875,0.000875,0.124473,1.319177,127.038322,127.385353,127.038322,4.392295,7.999276,7.999276,0.996075,0.437797,0.334856,0.633490,0.997003,0.999847,0.995031,-0.003428,-0.002976,0.011924,0.997003,0.999847,0.995031,-0.000282,-0.001255 
[27-02-17 00.28.08.769],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1C001,512,512,1,0.686381,0.080515,0.022920,0.003862,0.000012,0.011759,0.000780,0.119918,0.077696,0.024974,0.004467,0.000018,0.013114,0.000758,0.121101,0.088786,0.027688,0.004553,0.000016,0.011380,0.000712,0.133206,0.091251,0.026719,0.002645,0.000013,0.011041,0.000862,0.132609,0.086416,0.026888,0.002506,0.000010,0.011342,0.000923,0.128146,1.342381,127.038322,127.227543,127.038322,4.392295,7.999164,7.999164,0.996105,0.537419,0.334698,0.892272,0.997067,0.999846,0.996490,-0.017120,0.007806,-0.001262,0.997067,0.999846,0.996490,-0.001721,0.000702 
[27-02-17 00.29.32.557],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A6DA1,512,512,1,0.647183,0.077721,0.024683,0.004477,0.000015,0.012882,0.001365,0.121218,0.079194,0.024265,0.003325,0.000012,0.010988,0.000776,0.118623,0.077746,0.026039,0.004349,0.000017,0.014291,0.001214,0.123737,0.102785,0.027225,0.003053,0.000016,0.010337,0.000860,0.144355,0.084904,0.026462,0.004929,0.000015,0.010983,0.000956,0.128319,1.302626,127.038322,127.768459,127.038322,4.392295,7.999270,7.999270,0.996159,0.702738,0.334315,0.488019,0.997049,0.999869,0.996575,-0.006286,-0.004684,0.005346,0.997049,0.999869,0.996575,-0.000539,0.002473 
