script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, redIntensityPlain, greenIntensityPlain, blueIntensityPlain, redIntensityCipher, greenIntensityCipher, blueIntensityCipher, redIntensityDecipher, greenIntensityDecipher, blueIntensityDecipher, entropyRGBPlain,    entropyRGBCipher,     entropyRGBDecipher, entropyRedPlain,    entropyGreenPlain,    entropyBluePlain, entropyRedCipher,   entropyGreenCipher,   entropyBlueCipher, entropyRedDecipher, entropyGreenDecipher, entropyBlueDecipher, diff_RGB_NPCRscore,   diff_RGB_NPCRpval,   diff_RGB_UACIscore,   diff_RGB_UACIpval, diff_Red_NPCRscore,   diff_Red_NPCRpval,   diff_Red_UACIscore,   diff_Red_UACIpval, diff_Green_NPCRscore, diff_Green_NPCRpval, diff_Green_UACIscore, diff_Green_UACIpval, diff_Blue_NPCRscore,  diff_Blue_NPCRpval,  diff_Blue_UACIscore,  diff_Blue_UACIpval, corr_rgbPlain_H, corr_rgbPlain_V, corr_rgbPlain_D, corr_rgbCipher_H, corr_rgbCipher_V, corr_rgbCipher_D, corr_rgbDecipher_H, corr_rgbDecipher_V, corr_rgbDecipher_D, corr_redPlain_H, corr_redPlain_V, corr_redPlain_D, corr_greenPlain_H, corr_greenPlain_V, corr_greenPlain_D, corr_bluePlain_H, corr_bluePlain_V, corr_bluePlain_D, corr_redCipher_H, corr_redCipher_V, corr_redCipher_D, corr_greenCipher_H, corr_greenCipher_V, corr_greenCipher_D, corr_blueCipher_H, corr_blueCipher_V, corr_blueCipher_D, corr_redDecipher_H, corr_redDecipher_V, corr_redDecipher_D, corr_greenDecipher_H, corr_greenDecipher_V, corr_greenDecipher_D, corr_blueDecipher_H, corr_blueDecipher_V, corr_blueDecipher_D, corr_redKeySensCipher, corr_greenKeySensCipher, corr_blueKeySensCipher, corr_redKeySensDecipher, corr_greenKeySensDecipher, corr_blueKeySensDecipher  
[27-02-17 01.27.30.736],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F1D7A,512,512,3,1.828127,0.230361,0.081490,0.009905,0.000191,0.032105,0.002920,0.357854,0.244305,0.080369,0.008408,0.000013,0.033877,0.002556,0.369597,0.236621,0.076255,0.009599,0.000012,0.032814,0.002576,0.357948,0.253306,0.081301,0.008288,0.000013,0.032031,0.002756,0.377770,0.265533,0.078669,0.008454,0.000014,0.033285,0.002730,0.388749,3.733293,155.435745,168.225960,142.209373,127.466663,127.265118,127.327618,155.435745,168.225960,142.209373,7.485787,7.999753,7.485787,7.415627,7.229479,7.435384,7.999314,7.999279,7.999203,7.415627,7.229479,7.435384,0.996029,0.178276,0.334781,0.585087,0.995983,0.181932,0.335193,0.227960,0.996101,0.524966,0.334438,0.669776,0.996002,0.226185,0.334712,0.867786,0.956568,0.963402,0.920748,-0.015673,-0.003940,0.004601,0.956568,0.963402,0.920748,0.955726,0.941976,0.972002,0.962095,0.952699,0.975413,0.926735,0.889685,0.945824,-0.014519,-0.017291,-0.015208,0.012932,-0.005373,-0.019378,0.002384,0.010741,0.000677,0.955726,0.941976,0.972002,0.962095,0.952699,0.975413,0.926735,0.889685,0.945824,-0.000983,0.000996,0.002233,0.001266,0.001266,0.003174 
[27-02-17 01.30.51.154],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDADD1C1,512,512,3,1.904786,0.280611,0.084938,0.012802,0.000017,0.036955,0.002831,0.418232,0.280431,0.085440,0.010541,0.000013,0.035456,0.002483,0.414441,0.278400,0.079711,0.009621,0.000012,0.033311,0.002277,0.403405,0.261501,0.081854,0.007652,0.000011,0.033559,0.002258,0.386894,0.265463,0.080868,0.010381,0.000015,0.032806,0.002497,0.392091,3.971666,155.435745,168.225960,142.209373,127.753040,127.221504,127.571743,155.435745,168.225960,142.209373,7.485787,7.999763,7.485787,7.415627,7.229479,7.435384,7.999212,7.999257,7.999275,7.415627,7.229479,7.435384,0.995923,0.007709,0.334359,0.300985,0.996147,0.669436,0.333657,0.034304,0.995811,0.010251,0.334748,0.808213,0.995811,0.010251,0.334673,0.934449,0.959174,0.952993,0.920154,-0.006195,0.013344,0.002793,0.959174,0.952993,0.920154,0.956317,0.946417,0.974789,0.960407,0.934387,0.964184,0.918442,0.893028,0.948993,0.004355,-0.022598,-0.000343,0.019530,0.002213,0.018289,0.001488,0.001671,0.005219,0.956317,0.946417,0.974789,0.960407,0.934387,0.964184,0.918442,0.893028,0.948993,-0.004173,-0.001079,0.003254,-0.000720,-0.000720,-0.001340 
[27-02-17 01.34.07.254],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461A481,512,512,3,1.921644,0.274124,0.082647,0.013329,0.000015,0.037185,0.002779,0.410154,0.278969,0.083251,0.009882,0.000012,0.034262,0.002839,0.409294,0.266809,0.079091,0.008371,0.000013,0.033123,0.002266,0.389742,0.263942,0.078729,0.008757,0.000013,0.031464,0.002484,0.385462,0.255622,0.078747,0.009205,0.000017,0.035552,0.002236,0.381445,3.953429,155.435745,168.225960,142.209373,127.541779,127.359901,127.508808,155.435745,168.225960,142.209373,7.485787,7.999759,7.485787,7.415627,7.229479,7.435384,7.999370,7.999337,7.999391,7.415627,7.229479,7.435384,0.996078,0.414131,0.334634,0.995437,0.996002,0.226185,0.334285,0.448428,0.996147,0.669436,0.334484,0.742625,0.996086,0.475034,0.335133,0.281698,0.959552,0.961629,0.918778,0.008706,-0.008426,0.010992,0.959552,0.961629,0.918778,0.959449,0.944152,0.975054,0.960336,0.951432,0.973119,0.922410,0.887624,0.946299,0.004361,-0.006250,0.028007,-0.004531,-0.008780,-0.011967,0.015218,0.005791,0.011969,0.959449,0.944152,0.975054,0.960336,0.951432,0.973119,0.922410,0.887624,0.946299,0.003412,0.000782,-0.000942,0.000581,0.000581,-0.000176 
[27-02-17 01.37.23.075],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03D261,512,512,3,1.861284,0.287745,0.085954,0.010492,0.000014,0.035013,0.002904,0.422190,0.284982,0.084892,0.012184,0.000013,0.036150,0.002631,0.420927,0.278866,0.075158,0.008266,0.000015,0.033522,0.003074,0.398977,0.257155,0.081750,0.007768,0.000012,0.033057,0.002588,0.382391,0.250722,0.079767,0.009326,0.000013,0.032126,0.002267,0.374279,3.910630,155.435745,168.225960,142.209373,127.745052,127.636776,127.777431,155.435745,168.225960,142.209373,7.485787,7.999800,7.485787,7.415627,7.229479,7.435384,7.999343,7.999395,7.999324,7.415627,7.229479,7.435384,0.996195,0.925940,0.334919,0.288049,0.996399,0.993876,0.335364,0.114961,0.996189,0.783122,0.334666,0.946682,0.995998,0.216878,0.334726,0.843832,0.952708,0.955161,0.921877,-0.002025,0.002746,-0.011773,0.952708,0.955161,0.921877,0.949626,0.935292,0.973207,0.955323,0.941747,0.968413,0.923461,0.894307,0.947864,-0.007947,-0.005775,0.007646,-0.000302,-0.001580,0.010121,-0.010966,-0.008212,-0.016141,0.949626,0.935292,0.973207,0.955323,0.941747,0.968413,0.923461,0.894307,0.947864,-0.000208,0.003655,0.000376,-0.000619,-0.000619,0.001398 
[27-02-17 01.40.40.253],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266E112,512,512,3,1.903070,0.282327,0.084725,0.012607,0.000017,0.037369,0.002845,0.419974,0.275436,0.086483,0.012042,0.000012,0.035755,0.002509,0.412320,0.273806,0.080097,0.007884,0.000012,0.033154,0.002491,0.397498,0.250335,0.079159,0.008768,0.000018,0.032676,0.002819,0.373846,0.253850,0.080538,0.009614,0.000017,0.031423,0.002623,0.378149,3.936813,155.435745,168.225960,142.209373,127.638264,127.560669,127.757008,155.435745,168.225960,142.209373,7.485787,7.999769,7.485787,7.415627,7.229479,7.435384,7.999266,7.999343,7.999234,7.415627,7.229479,7.435384,0.995968,0.036753,0.335115,0.072556,0.996063,0.401104,0.335332,0.131799,0.996037,0.319296,0.334846,0.648803,0.995804,0.008664,0.335166,0.251123,0.948225,0.951547,0.922897,-0.007030,0.016367,0.008605,0.948225,0.951547,0.922897,0.950243,0.925613,0.968821,0.950687,0.936826,0.967129,0.921484,0.900169,0.947038,0.003340,-0.043080,0.018650,0.011147,0.017907,0.020048,0.018184,-0.001315,0.008945,0.950243,0.925613,0.968821,0.950687,0.936826,0.967129,0.921484,0.900169,0.947038,0.000895,-0.001634,0.000035,0.001505,0.001505,0.001600 
[27-02-17 01.43.57.060],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C824329799C3,512,512,3,1.898750,0.281657,0.089026,0.012997,0.000017,0.036795,0.002500,0.423069,0.282697,0.085305,0.012167,0.000016,0.038068,0.002528,0.420858,0.273029,0.079846,0.011893,0.000018,0.032396,0.002017,0.399281,0.254060,0.080154,0.009572,0.000012,0.031517,0.002367,0.377754,0.252730,0.079048,0.008455,0.000010,0.032579,0.002385,0.375270,3.946436,155.435745,168.225960,142.209373,127.590805,127.537407,127.582172,155.435745,168.225960,142.209373,7.485787,7.999765,7.485787,7.415627,7.229479,7.435384,7.999204,7.999402,7.999317,7.415627,7.229479,7.435384,0.996059,0.312742,0.335407,0.003814,0.995872,0.034681,0.334975,0.462403,0.996250,0.900387,0.335505,0.060020,0.996056,0.377098,0.335743,0.016598,0.956797,0.960111,0.915287,0.018819,-0.003332,0.001073,0.956797,0.960111,0.915287,0.957362,0.940761,0.972267,0.957105,0.949724,0.973504,0.915934,0.885486,0.944441,0.032526,0.033439,-0.009509,-0.002108,-0.003986,-0.003903,-0.008320,-0.014655,0.026195,0.957362,0.940761,0.972267,0.957105,0.949724,0.973504,0.915934,0.885486,0.944441,-0.000884,-0.002182,-0.000908,-0.000078,-0.000078,0.001684 
[27-02-17 01.47.14.321],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B04DDB,512,512,3,1.876471,0.286186,0.088099,0.011185,0.000014,0.038182,0.002873,0.426620,0.288971,0.086451,0.013276,0.000017,0.034376,0.002846,0.426013,0.267609,0.081078,0.010972,0.000039,0.031733,0.002587,0.394097,0.254961,0.079123,0.008777,0.000013,0.031126,0.002155,0.376219,0.246658,0.077892,0.011299,0.000014,0.033600,0.002446,0.371971,3.925101,155.435745,168.225960,142.209373,127.520878,127.376297,127.581055,155.435745,168.225960,142.209373,7.485787,7.999772,7.485787,7.415627,7.229479,7.435384,7.999228,7.999286,7.999243,7.415627,7.229479,7.435384,0.996109,0.585869,0.334195,0.098527,0.996197,0.801057,0.334378,0.577065,0.996059,0.389048,0.333839,0.084793,0.996071,0.425490,0.334367,0.561776,0.952817,0.955998,0.927096,-0.008349,0.007600,0.003307,0.952817,0.955998,0.927096,0.950556,0.937110,0.970785,0.953746,0.943845,0.970403,0.924331,0.904923,0.952032,0.006784,-0.022084,-0.009747,-0.006825,0.012132,0.017491,-0.010157,0.017565,0.002512,0.950556,0.937110,0.970785,0.953746,0.943845,0.970403,0.924331,0.904923,0.952032,-0.001734,0.000625,0.000888,-0.002731,-0.002731,-0.000413 
[27-02-17 01.50.32.683],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3A215,512,512,3,1.869128,0.280490,0.085404,0.009634,0.000017,0.037892,0.002859,0.416377,0.279500,0.083378,0.010692,0.000013,0.038781,0.002855,0.415294,0.279101,0.079340,0.010038,0.000015,0.035549,0.002245,0.406361,0.257465,0.079737,0.007651,0.000012,0.034587,0.002354,0.381864,0.253685,0.079486,0.007236,0.000011,0.032492,0.002573,0.375546,3.919861,155.435745,168.225960,142.209373,127.362839,127.515930,127.800396,155.435745,168.225960,142.209373,7.485787,7.999774,7.485787,7.415627,7.229479,7.435384,7.999240,7.999360,7.999334,7.415627,7.229479,7.435384,0.996110,0.592899,0.334560,0.777541,0.996075,0.437797,0.334565,0.879568,0.996090,0.487511,0.334952,0.493212,0.996166,0.724049,0.334163,0.306289,0.953591,0.953082,0.914663,0.002857,0.005052,0.000053,0.953591,0.953082,0.914663,0.951409,0.937319,0.972045,0.951672,0.941173,0.966399,0.920867,0.881882,0.941240,0.003992,0.005253,-0.000675,-0.008434,0.003329,0.020259,0.003451,0.007441,-0.010734,0.951409,0.937319,0.972045,0.951672,0.941173,0.966399,0.920867,0.881882,0.941240,-0.001225,-0.002175,-0.001006,0.001476,0.001476,-0.000738 
[27-02-17 01.53.51.116],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1C001,512,512,3,1.896079,0.275373,0.085905,0.010512,0.000014,0.035130,0.003026,0.410039,0.275371,0.086886,0.011635,0.000018,0.035177,0.002176,0.411344,0.273311,0.081148,0.011642,0.000013,0.032820,0.002283,0.401291,0.253877,0.081646,0.008490,0.000011,0.033645,0.002721,0.380464,0.258372,0.079132,0.007671,0.000012,0.032983,0.002619,0.380846,3.930914,155.435745,168.225960,142.209373,127.379421,127.631924,127.607422,155.435745,168.225960,142.209373,7.485787,7.999809,7.485787,7.415627,7.229479,7.435384,7.999472,7.999277,7.999437,7.415627,7.229479,7.435384,0.996119,0.641156,0.335136,0.060895,0.996105,0.537419,0.334946,0.501396,0.996071,0.425490,0.334974,0.463883,0.996181,0.764286,0.335487,0.065542,0.949473,0.957969,0.920193,-0.010389,-0.002223,-0.006203,0.949473,0.957969,0.920193,0.946351,0.933239,0.968830,0.962405,0.942722,0.968781,0.918757,0.892628,0.949195,-0.026536,-0.000238,-0.004394,0.012659,-0.014637,-0.004691,0.003400,0.008903,-0.030913,0.946351,0.933239,0.968830,0.962405,0.942722,0.968781,0.918757,0.892628,0.949195,-0.000954,0.001091,-0.002943,-0.001618,-0.001618,-0.001832 
[27-02-17 01.57.17.535],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A6DA1,512,512,3,1.843449,0.285019,0.082902,0.009803,0.000018,0.034875,0.002811,0.415507,0.274345,0.085915,0.012833,0.000016,0.038231,0.002881,0.414295,0.284224,0.093478,0.013359,0.000018,0.038820,0.002581,0.432555,0.268418,0.076708,0.010766,0.000012,0.033518,0.002714,0.392215,0.265210,0.084284,0.010124,0.000016,0.034205,0.002808,0.396721,3.948485,155.435745,168.225960,142.209373,127.575771,127.193607,127.344269,155.435745,168.225960,142.209373,7.485787,7.999727,7.485787,7.415627,7.229479,7.435384,7.999256,7.999159,7.999278,7.415627,7.229479,7.435384,0.996085,0.449651,0.334200,0.103038,0.996159,0.702738,0.334590,0.920998,0.996181,0.764286,0.334049,0.204785,0.995914,0.070561,0.333962,0.145240,0.962071,0.955250,0.908417,-0.013418,0.007129,0.009680,0.962071,0.955250,0.908417,0.959889,0.949566,0.976759,0.957061,0.941024,0.967665,0.919564,0.872456,0.933232,-0.021902,-0.017857,-0.000494,0.021028,-0.022124,0.022483,0.035367,0.003823,-0.010149,0.959889,0.949566,0.976759,0.957061,0.941024,0.967665,0.919564,0.872456,0.933232,-0.001383,-0.002499,-0.003067,0.000482,0.000482,-0.000595 
