script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, intensityPlain, intensityCipher, intensityDecipher, entropyPlain, entropyCipher, entropyDecipher, diff_NPCRscore, diff_NPCRpval, diff_UACIscore, diff_UACIpval, corr_plain_H, corr_plain_V, corr_plain_D, corr_cipher_H, corr_cipher_V, corr_cipher_D, corr_decipher_H, corr_decipher_V, corr_decipher_D, corr_keySensCipher, corr_keySensDecipher  
[27-02-17 04.15.16.058],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F1D7A,512,512,1,0.755476,0.091882,0.029002,0.004448,0.000027,0.013257,0.001104,0.139795,0.103371,0.029425,0.004366,0.000017,0.014961,0.001413,0.153637,0.092821,0.029916,0.004246,0.000018,0.012939,0.001572,0.141594,0.103933,0.032637,0.004801,0.000015,0.013075,0.001324,0.155876,0.101458,0.033778,0.004445,0.000017,0.013443,0.001427,0.154648,1.521895,103.519405,127.536957,103.519405,7.729247,7.999289,7.999289,0.995983,0.181932,0.334966,0.474896,0.743661,0.703792,0.640166,-0.000838,-0.007983,-0.024353,0.743661,0.703792,0.640166,-0.003445,0.000159 
[27-02-17 04.16.46.419],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDADD1C1,512,512,1,0.740626,0.090394,0.030024,0.004504,0.000018,0.013005,0.001102,0.139118,0.095436,0.039032,0.004307,0.000018,0.012701,0.001614,0.153178,0.080265,0.026795,0.003699,0.000014,0.011392,0.001137,0.123378,0.081488,0.027379,0.003040,0.000012,0.011875,0.001572,0.125436,0.086152,0.027943,0.003918,0.000016,0.012007,0.001223,0.131342,1.430927,103.519405,127.300812,103.519405,7.729247,7.999254,7.999254,0.996147,0.669436,0.334148,0.291268,0.735192,0.731918,0.636523,0.006120,0.018423,0.008080,0.735192,0.731918,0.636523,0.000346,0.000231 
[27-02-17 04.18.16.820],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461A481,512,512,1,0.727257,0.093501,0.029785,0.003973,0.000016,0.011807,0.001237,0.140392,0.093374,0.032722,0.005385,0.000020,0.014950,0.001364,0.147936,0.088275,0.029686,0.002545,0.000010,0.010797,0.001014,0.132388,0.090236,0.026898,0.002594,0.000011,0.012367,0.001047,0.133213,0.089755,0.036703,0.004158,0.000016,0.011208,0.000908,0.142809,1.443518,103.519405,127.328800,103.519405,7.729247,7.999197,7.999197,0.996002,0.226185,0.334731,0.835507,0.733153,0.698936,0.597013,0.003404,-0.009252,0.020598,0.733153,0.698936,0.597013,0.001244,0.003484 
[27-02-17 04.19.47.931],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03D261,512,512,1,0.782114,0.092929,0.027128,0.003508,0.000014,0.012492,0.001247,0.137393,0.106266,0.027177,0.002857,0.000012,0.011316,0.000884,0.148580,0.083191,0.026946,0.002874,0.000012,0.010636,0.001155,0.124868,0.094317,0.027367,0.003788,0.000017,0.011536,0.001160,0.138244,0.085895,0.025418,0.003447,0.000015,0.012477,0.001033,0.128351,1.476452,103.519405,127.590004,103.519405,7.729247,7.999404,7.999404,0.996399,0.993876,0.334682,0.920278,0.750705,0.719460,0.661263,0.009720,-0.025623,-0.013823,0.750705,0.719460,0.661263,-0.001541,-0.001397 
[27-02-17 04.21.18.108],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266E112,512,512,1,0.760843,0.092469,0.028088,0.003293,0.000013,0.013046,0.001490,0.138474,0.098151,0.032460,0.004541,0.000014,0.012824,0.001598,0.149661,0.081535,0.027099,0.002512,0.000010,0.010656,0.001061,0.122930,0.084672,0.027638,0.003844,0.000015,0.011468,0.001162,0.128875,0.092252,0.025782,0.003466,0.000015,0.012160,0.001150,0.134899,1.455647,103.519405,127.705757,103.519405,7.729247,7.999388,7.999388,0.996063,0.401104,0.334949,0.497305,0.755372,0.693100,0.643590,-0.016939,0.009228,0.008010,0.755372,0.693100,0.643590,0.002435,0.001964 
[27-02-17 04.22.48.542],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C824329799C3,512,512,1,0.749381,0.090586,0.032797,0.004255,0.000015,0.016087,0.001626,0.145445,0.105478,0.029505,0.003944,0.000016,0.012394,0.001362,0.152777,0.081785,0.026536,0.002568,0.000012,0.011304,0.001136,0.123409,0.082752,0.028456,0.003429,0.000015,0.010272,0.001161,0.126152,0.092814,0.030311,0.002895,0.000010,0.011177,0.000892,0.138156,1.452890,103.519405,127.355495,103.519405,7.729247,7.999354,7.999354,0.995872,0.034681,0.334985,0.449650,0.721656,0.705796,0.607827,-0.003595,0.010820,0.004385,0.721656,0.705796,0.607827,-0.000652,-0.001903 
[27-02-17 04.24.18.926],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B04DDB,512,512,1,0.738987,0.093833,0.028234,0.004752,0.000012,0.013364,0.001186,0.141450,0.090549,0.035501,0.003863,0.000016,0.011776,0.001188,0.142965,0.086972,0.024117,0.003407,0.000015,0.012950,0.000851,0.128387,0.087692,0.027254,0.002735,0.000012,0.010982,0.000899,0.129629,0.088436,0.027681,0.002700,0.000009,0.011484,0.001222,0.131588,1.429407,103.519405,127.627174,103.519405,7.729247,7.999178,7.999178,0.996197,0.801057,0.334882,0.593958,0.755993,0.707594,0.641188,0.001485,0.017387,0.007122,0.755993,0.707594,0.641188,-0.001877,0.000086 
[27-02-17 04.25.49.346],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3A215,512,512,1,0.756168,0.088640,0.029709,0.004540,0.000015,0.012257,0.001010,0.136244,0.093249,0.033244,0.003214,0.000017,0.013128,0.001046,0.143971,0.087933,0.027578,0.002524,0.000010,0.010946,0.001176,0.130224,0.092615,0.028368,0.002792,0.000012,0.012899,0.001018,0.137766,0.080514,0.029909,0.002761,0.000010,0.011322,0.001088,0.125667,1.447129,103.519405,127.669956,103.519405,7.729247,7.999304,7.999304,0.996075,0.437797,0.334771,0.768706,0.724606,0.713673,0.595418,-0.010320,-0.015881,0.009908,0.724606,0.713673,0.595418,-0.000506,0.001651 
[27-02-17 04.27.20.229],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1C001,512,512,1,0.718956,0.089464,0.030745,0.004707,0.000017,0.012991,0.001194,0.139198,0.091351,0.033728,0.004103,0.000021,0.014554,0.001657,0.145503,0.087922,0.028984,0.002783,0.000015,0.011827,0.001046,0.132638,0.083152,0.026784,0.002504,0.000009,0.011583,0.001480,0.125573,0.084369,0.030647,0.003249,0.000012,0.010775,0.001174,0.130295,1.411563,103.519405,127.499817,103.519405,7.729247,7.999351,7.999351,0.996105,0.537419,0.334660,0.957562,0.743074,0.744567,0.630160,-0.002357,-0.009122,0.003319,0.743074,0.744567,0.630160,0.000458,0.000591 
[27-02-17 04.28.51.593],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A6DA1,512,512,1,0.742709,0.091158,0.030526,0.004662,0.000016,0.013257,0.001162,0.140863,0.101036,0.034281,0.005798,0.000019,0.012796,0.001175,0.155179,0.084809,0.026958,0.002507,0.000009,0.011382,0.000905,0.126631,0.089967,0.028055,0.002719,0.000011,0.010884,0.001242,0.132939,0.089378,0.026378,0.003807,0.000017,0.012764,0.001102,0.133521,1.449585,103.519405,127.415543,103.519405,7.729247,7.999423,7.999423,0.996159,0.702738,0.335033,0.389522,0.756188,0.742789,0.634422,0.007128,0.007373,0.009395,0.756188,0.742789,0.634422,-0.000884,-0.001293 
