script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, intensityPlain, intensityCipher, intensityDecipher, entropyPlain, entropyCipher, entropyDecipher, diff_NPCRscore, diff_NPCRpval, diff_UACIscore, diff_UACIpval, corr_plain_H, corr_plain_V, corr_plain_D, corr_cipher_H, corr_cipher_V, corr_cipher_D, corr_decipher_H, corr_decipher_V, corr_decipher_D, corr_keySensCipher, corr_keySensDecipher  
[27-02-17 05.29.40.125],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F1D7A,512,512,1,0.770284,0.088721,0.026675,0.003719,0.000013,0.010866,0.001226,0.131288,0.093795,0.025749,0.004179,0.000017,0.011215,0.001240,0.136270,0.068323,0.023018,0.002965,0.000012,0.010890,0.001182,0.106463,0.090762,0.026585,0.003405,0.000016,0.011885,0.001264,0.133989,0.090232,0.026908,0.002504,0.000010,0.012619,0.001267,0.133597,1.430482,226.940117,127.677029,226.940117,0.500033,7.999310,7.999310,0.995983,0.181932,0.334777,0.759250,0.427305,0.491782,-0.025049,0.003902,0.010179,-0.022178,0.427305,0.491782,-0.025049,0.000444,0.000477 
[27-02-17 05.31.08.547],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDADD1C1,512,512,1,0.781182,0.080577,0.024637,0.004039,0.000018,0.011323,0.001650,0.122335,0.091144,0.026842,0.003026,0.000013,0.011414,0.000999,0.133510,0.068477,0.021397,0.003724,0.000012,0.010591,0.001113,0.105373,0.084385,0.026622,0.004490,0.000014,0.011113,0.001199,0.127887,0.091241,0.029105,0.002588,0.000011,0.010423,0.001079,0.134501,1.422392,226.940117,127.540302,226.940117,0.500033,7.999297,7.999297,0.996147,0.669436,0.334950,0.496690,0.473736,0.448515,-0.018205,0.002600,0.015808,-0.006567,0.473736,0.448515,-0.018205,-0.001384,0.000798 
[27-02-17 05.32.36.218],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461A481,512,512,1,0.781771,0.081659,0.024044,0.004120,0.000016,0.012657,0.001203,0.123768,0.088290,0.034469,0.004430,0.000015,0.012296,0.001719,0.141288,0.072071,0.022301,0.002505,0.000011,0.011316,0.001286,0.109561,0.090161,0.027123,0.004031,0.000019,0.011072,0.000985,0.133459,0.090195,0.028053,0.002999,0.000017,0.010639,0.001301,0.133279,1.441434,226.940117,127.515266,226.940117,0.500033,7.999234,7.999234,0.996002,0.226185,0.334841,0.655944,0.414052,0.467368,-0.028196,0.004755,-0.015042,0.028089,0.414052,0.467368,-0.028196,0.003245,0.003480 
[27-02-17 05.34.04.313],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03D261,512,512,1,0.829265,0.094211,0.024460,0.004066,0.000020,0.014805,0.001652,0.139292,0.110528,0.031371,0.005639,0.000018,0.016849,0.001580,0.166080,0.096275,0.027028,0.005476,0.000018,0.016824,0.001671,0.147381,0.124743,0.035075,0.004570,0.000020,0.015905,0.001717,0.182115,0.102280,0.027706,0.003190,0.000018,0.011258,0.001207,0.145738,1.630484,226.940117,127.399578,226.940117,0.500033,7.999174,7.999174,0.996399,0.993876,0.334507,0.781648,0.415694,0.401819,-0.039295,0.016898,0.012199,-0.002124,0.415694,0.401819,-0.039295,-0.001403,0.001053 
[27-02-17 05.35.31.999],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266E112,512,512,1,0.785241,0.079797,0.024120,0.002573,0.000012,0.012883,0.001407,0.120858,0.086108,0.025160,0.004088,0.000028,0.013844,0.001297,0.130623,0.079472,0.023275,0.002585,0.000010,0.010984,0.001252,0.117635,0.087778,0.033521,0.002745,0.000012,0.011774,0.001617,0.137520,0.093726,0.029824,0.003955,0.000018,0.012936,0.001005,0.141540,1.453320,226.940117,127.687069,226.940117,0.500033,7.999323,7.999323,0.996063,0.401104,0.334564,0.877424,0.442564,0.453462,-0.012777,-0.010413,-0.009319,-0.002279,0.442564,0.453462,-0.012777,0.004201,0.002067 
[27-02-17 05.36.59.775],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C824329799C3,512,512,1,0.740273,0.082966,0.023029,0.004440,0.000019,0.012836,0.001679,0.125052,0.081630,0.025622,0.004174,0.000017,0.013687,0.001723,0.126928,0.087761,0.023076,0.002795,0.000010,0.012712,0.001213,0.127631,0.082882,0.026529,0.002545,0.000011,0.010609,0.001001,0.123645,0.089513,0.025727,0.002831,0.000012,0.010918,0.001116,0.130183,1.392866,226.940117,127.750603,226.940117,0.500033,7.999163,7.999163,0.995872,0.034681,0.335067,0.350507,0.463854,0.439426,-0.026167,0.024571,0.021583,-0.017405,0.463854,0.439426,-0.026167,-0.001339,-0.000533 
[27-02-17 05.38.26.893],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B04DDB,512,512,1,0.775106,0.088431,0.025978,0.002591,0.000017,0.012860,0.001578,0.131528,0.101660,0.025352,0.002779,0.000011,0.011240,0.001154,0.142274,0.079501,0.023200,0.003379,0.000013,0.010851,0.001269,0.118275,0.085463,0.027354,0.002540,0.000010,0.011584,0.001232,0.128243,0.081230,0.029135,0.003490,0.000013,0.011778,0.001198,0.126907,1.440410,226.940117,127.489567,226.940117,0.500033,7.999375,7.999375,0.996197,0.801057,0.335594,0.038126,0.484178,0.438505,-0.008518,-0.013255,0.026933,0.000204,0.484178,0.438505,-0.008518,-0.000405,0.000147 
[27-02-17 05.39.55.192],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3A215,512,512,1,0.779053,0.085726,0.024866,0.004240,0.000021,0.012158,0.002838,0.129936,0.086682,0.026877,0.003764,0.000013,0.011046,0.001135,0.129585,0.071341,0.024601,0.002516,0.000010,0.012121,0.001244,0.111900,0.086225,0.027175,0.002753,0.000010,0.010356,0.001757,0.128335,0.087290,0.028903,0.003812,0.000013,0.011422,0.001195,0.132703,1.430832,226.940117,127.408531,226.940117,0.500033,7.999354,7.999354,0.996075,0.437797,0.334307,0.477581,0.479487,0.467233,-0.042045,-0.010672,-0.009057,-0.000038,0.479487,0.467233,-0.042045,-0.000595,0.002131 
[27-02-17 05.41.24.367],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1C001,512,512,1,0.771397,0.086161,0.024692,0.002732,0.000012,0.011909,0.003080,0.128668,0.084995,0.027259,0.005006,0.000019,0.012568,0.001151,0.131079,0.073381,0.024857,0.003748,0.000017,0.011526,0.001192,0.114803,0.085993,0.030749,0.003964,0.000013,0.011941,0.002529,0.135266,0.091499,0.030003,0.002912,0.000012,0.011497,0.001331,0.137310,1.437100,226.940117,127.248653,226.940117,0.500033,7.999240,7.999240,0.996105,0.537419,0.334598,0.935942,0.443462,0.475965,-0.025019,-0.011586,0.007521,-0.003088,0.443462,0.475965,-0.025019,-0.002255,-0.002697 
[27-02-17 05.42.54.435],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A6DA1,512,512,1,0.769795,0.082446,0.026014,0.004280,0.000016,0.011800,0.001250,0.125890,0.088243,0.031809,0.003642,0.000013,0.011401,0.001189,0.136370,0.072599,0.023356,0.003183,0.000018,0.011324,0.001016,0.111561,0.086190,0.028306,0.002973,0.000016,0.012700,0.001707,0.131966,0.083360,0.028335,0.004069,0.000015,0.012772,0.001256,0.129894,1.422979,226.940117,127.570698,226.940117,0.500033,7.999289,7.999289,0.996159,0.702738,0.334248,0.401655,0.454456,0.475494,-0.023239,-0.006664,0.006865,-0.017015,0.454456,0.475494,-0.023239,-0.001866,-0.004872 
