script, Key, KeyS, IV, imW, imH, imD, timeKey, tc_Dec2Bin, tc_ReshArray, tc_XOR, tc_ReshapeMatrix1, tcBin2Dec, tc_ReshapeMatrix2, tc_totalTime, tc_diff_Dec2Bin, tc_diff_ReshArray, tc_diff_XOR, tc_diff_ReshapeMatrix1, tc_diff_Bin2Dec, tc_diff_ReshapeMatrix2, tc_diff_totalTime, tc_sens_Dec2Bin, tc_sens_ReshArray, tc_sens_XOR, tc_sens_ReshapeMatrix1, tc_sens_Bin2Dec, tc_sens_ReshapeMatrix2, tc_sens_totalTime, td_Dec2Bin, td_ReshArray, td_XOR, td_ReshapeMatrix1, tdBin2Dec, td_ReshapeMatrix2, td_totalTime, td_diff_Dec2Bin, td_diff_ReshArray, td_diff_XOR, td_diff_ReshapeMatrix1, td_diff_Bin2Dec, td_diff_ReshapeMatrix2, td_diff_totalTime, totalTime, intensityPlain, intensityCipher, intensityDecipher, entropyPlain, entropyCipher, entropyDecipher, diff_NPCRscore, diff_NPCRpval, diff_UACIscore, diff_UACIpval, corr_plain_H, corr_plain_V, corr_plain_D, corr_cipher_H, corr_cipher_V, corr_cipher_D, corr_decipher_H, corr_decipher_V, corr_decipher_D, corr_keySensCipher, corr_keySensDecipher  
[27-02-17 06.43.30.331],C01E624602846E39868B,C01E624602946E39868B,21E8DDD129B0766F1D7A,1024,1024,1,2.508803,0.266212,0.075791,0.010757,0.000014,0.049572,0.003604,0.406026,0.245170,0.086693,0.012988,0.000017,0.044120,0.002269,0.391338,0.250890,0.086621,0.011667,0.000017,0.044716,0.002844,0.396823,0.341780,0.106387,0.013133,0.000013,0.044893,0.002277,0.508565,0.337988,0.102589,0.010979,0.000015,0.044319,0.004160,0.500127,4.779440,124.616351,127.372900,124.616351,4.407726,7.999833,7.999833,0.996038,0.181932,0.334531,0.650387,0.761530,0.807329,0.677168,0.031399,0.009979,0.038742,0.761530,0.807329,0.677168,0.001877,0.000990 
[27-02-17 06.45.59.352],5BB10DC12798EAD4D6C6,5BB10DC1279AEAD4D6C6,0775D29293C4EDADD1C1,1024,1024,1,2.495740,0.295421,0.091738,0.017121,0.000016,0.053515,0.002938,0.460842,0.295200,0.096058,0.016260,0.000018,0.049861,0.002191,0.459674,0.291083,0.099459,0.014629,0.000018,0.051066,0.002980,0.459322,0.338585,0.106441,0.013858,0.000012,0.043587,0.002916,0.505489,0.343811,0.108824,0.012280,0.000012,0.044012,0.002824,0.511828,4.965567,124.616351,127.562799,124.616351,4.407726,7.999825,7.999825,0.995980,0.031230,0.334656,0.927914,0.740757,0.798288,0.686327,0.020267,0.002420,0.007933,0.740757,0.798288,0.686327,0.000289,0.000225 
[27-02-17 06.48.24.396],3BE0FB0EA17E14A739C6,3BE0FB0EA17E14A539C6,84FA181615300461A481,1024,1024,1,2.550630,0.300886,0.096744,0.015922,0.000012,0.048967,0.002777,0.465390,0.296219,0.097103,0.016460,0.000017,0.050741,0.003410,0.464038,0.299044,0.098656,0.012751,0.000013,0.049131,0.002417,0.462096,0.341951,0.102784,0.011009,0.000014,0.044441,0.002264,0.502534,0.347875,0.108356,0.014021,0.000013,0.043920,0.002316,0.516572,5.034643,124.616351,127.451818,124.616351,4.407726,7.999843,7.999843,0.996106,0.580637,0.334493,0.536396,0.742568,0.815810,0.680394,0.020555,-0.001006,0.004756,0.742568,0.815810,0.680394,0.000810,0.000036 
[27-02-17 06.50.52.066],2E9F643CEE9F1DC817F8,2E9F643CEE9F1D8817F8,EAFFA0A2F4E52E03D261,1024,1024,1,2.552224,0.309733,0.096581,0.016227,0.000017,0.050255,0.002805,0.475704,0.292442,0.098129,0.017077,0.000018,0.047395,0.002435,0.457579,0.290394,0.096926,0.016357,0.000018,0.050385,0.004213,0.458390,0.338387,0.106717,0.010423,0.000018,0.046127,0.002385,0.504137,0.340095,0.105403,0.011368,0.000012,0.043820,0.002428,0.503201,5.024653,124.616351,127.526093,124.616351,4.407726,7.999836,7.999836,0.996109,0.598896,0.334463,0.454721,0.783935,0.798123,0.715789,-0.013571,0.007949,0.008511,0.783935,0.798123,0.715789,-0.000830,-0.000183 
[27-02-17 06.53.18.423],9D34BE98BE3AE6CD0B0B,9D34BE98BE3AE6CF0B0B,292065959F14C266E112,1024,1024,1,2.363413,0.288642,0.094708,0.016911,0.000013,0.050868,0.002424,0.453651,0.291790,0.099424,0.013605,0.000017,0.050172,0.003330,0.458420,0.299983,0.096342,0.017801,0.000015,0.050187,0.004160,0.468568,0.384108,0.123901,0.015269,0.000017,0.047254,0.002533,0.573168,0.387527,0.120643,0.014081,0.000017,0.050733,0.002738,0.575824,4.968843,124.616351,127.471789,124.616351,4.407726,7.999833,7.999833,0.996001,0.064432,0.334647,0.959057,0.747190,0.801030,0.707586,0.017556,0.002847,0.004101,0.747190,0.801030,0.707586,0.000651,-0.000306 
[27-02-17 06.55.44.432],8B5EE728C7DE966DF875,8B5EE728C7D6966DF875,EBA66ED9C824329799C3,1024,1024,1,2.605022,0.306642,0.091643,0.011094,0.000012,0.043542,0.003547,0.456577,0.271539,0.085242,0.011405,0.000012,0.044926,0.002597,0.415804,0.264038,0.099334,0.015634,0.000014,0.045343,0.004380,0.428815,0.381543,0.111207,0.014846,0.000016,0.047733,0.004789,0.560212,0.387636,0.109790,0.014190,0.000017,0.045072,0.002785,0.559567,5.097929,124.616351,127.375043,124.616351,4.407726,7.999807,7.999807,0.996081,0.419363,0.334794,0.493539,0.766598,0.788924,0.697010,-0.002574,0.005474,0.004345,0.766598,0.788924,0.697010,-0.000546,-0.000745 
[27-02-17 06.58.09.925],4BE52A366CB9FA81D0DB,4BE52A166CB9FA81D0DB,A26BAADD094578B04DDB,1024,1024,1,2.443313,0.256582,0.085887,0.011485,0.000013,0.042664,0.003231,0.399939,0.270968,0.105526,0.016725,0.000018,0.052969,0.002469,0.448763,0.309257,0.097259,0.016566,0.000012,0.050415,0.002876,0.476459,0.397774,0.118352,0.015179,0.000013,0.047400,0.003952,0.582750,0.382923,0.117153,0.013966,0.000013,0.048297,0.002735,0.565168,4.991510,124.616351,127.420477,124.616351,4.407726,7.999823,7.999823,0.996085,0.443974,0.334420,0.351686,0.780933,0.786678,0.715827,0.005504,-0.005390,0.009977,0.780933,0.786678,0.715827,0.000303,0.000140 
[27-02-17 07.00.35.245],2BD043C29CC5AF54C748,2BD043C39CC5AF54C748,33C2C8C41E3F96B3A215,1024,1024,1,2.515671,0.298424,0.093405,0.016893,0.000017,0.050099,0.002889,0.461815,0.298083,0.095386,0.013730,0.000018,0.050080,0.002839,0.460228,0.302556,0.096106,0.015767,0.000013,0.045001,0.003582,0.463100,0.339132,0.109172,0.011062,0.000012,0.043455,0.002964,0.505873,0.344132,0.104175,0.011521,0.000012,0.042896,0.002361,0.505186,4.981498,124.616351,127.520509,124.616351,4.407726,7.999847,7.999847,0.996117,0.646443,0.334477,0.493273,0.760973,0.782666,0.704422,0.002858,0.014236,0.002908,0.760973,0.782666,0.704422,0.000714,-0.000177 
[27-02-17 07.03.01.701],793D21B42F104FA7694D,793D21B40F104FA7694D,72672B7B153A1FA1C001,1024,1024,1,2.538750,0.301507,0.096538,0.017060,0.000016,0.048665,0.004657,0.468521,0.296987,0.097049,0.017722,0.000016,0.051550,0.004330,0.467739,0.247621,0.086079,0.013845,0.000013,0.043918,0.002424,0.393984,0.346329,0.111804,0.011265,0.000012,0.044859,0.002477,0.516825,0.338757,0.109164,0.011763,0.000013,0.044652,0.002552,0.506973,4.964485,124.616351,127.548262,124.616351,4.407726,7.999841,7.999841,0.996128,0.713487,0.335043,0.078062,0.789304,0.794560,0.746654,-0.009221,-0.023746,0.012907,0.789304,0.794560,0.746654,0.000146,-0.001089 
[27-02-17 07.05.26.994],0983881000ED634215FF,098B881000ED634215FF,EE0B26CEB3E7CC5A6DA1,1024,1024,1,2.556276,0.297798,0.095540,0.018027,0.000017,0.049889,0.004194,0.465558,0.295226,0.096969,0.015151,0.000020,0.046644,0.002505,0.456601,0.300477,0.097583,0.017464,0.000018,0.049232,0.002449,0.467307,0.331802,0.105132,0.012094,0.000013,0.042132,0.003151,0.494389,0.336501,0.106313,0.010795,0.000012,0.045702,0.002411,0.501806,5.015210,124.616351,127.476877,124.616351,4.407726,7.999827,7.999827,0.996086,0.450165,0.334293,0.138045,0.734214,0.824372,0.705469,-0.008284,-0.012852,0.015799,0.734214,0.824372,0.705469,-0.000819,-0.001573 
